Title: Hydroxide salts in the clouds of Venus: their effect on the 
       sulfur cycle and cloud droplet
Authors: Rimmer P.B., Jordan S., Constantinou T., Woitke P., Shorttle O., 
         Hobbs R., Paschodimas A. 
Table: Reactions Added and Updated for STAND2020
================================================================================
Byte-by-byte Description of file: psjac0156t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label     Explanations
--------------------------------------------------------------------------------
   1- 38 A38    ---     Reaction  Reaction
  40- 47 E8.2   ---     alpha     The {alpha} value
  49- 53 A5     ---   u_alpha     alpha units
  55- 59 F5.2   ---     beta      The {beta} value
  61- 67 F7.1   K       Ea        Ea
  69- 89 A21    ---     Ref       Reference (1)
  91- 93 A3     ---     Flag      Flag (2)
--------------------------------------------------------------------------------
Note (1): References --
    Lovejoy1996       =  Lovejoy et al. (1996);
    Lu2003            =  Lu et al. (2003JPCA..10711020L);
    Markwalder1993    =  Markwalder et al. (1993);
    Martinez2000      =  Martínez et al. (2000CPL...329..191M);
    Martinotti1968    =  Martinotti et al. (1968);
    Miller2003        =  Miller et al. (2003);
    Mills1998         =  Mills (1998PhDT........17M);
    Mills2007         =  Mills et al. (2007GMS...176...73M);
    Monks1993         =  Monks et al. (1993JGR....9817115M);
    Montoya2005       =  Montoya et al. (2005JPCA..109.1057M);
    Moses2002         =  Moses et al. (2002Icar..156...76M);
    Mousavipour2003   =  Mousavipour et al. (2003JPCA..107.3752M);
    Mousavipour2009   =  Mousavipour et al. (2009JPCA..11312961M);
    Murakami2003      =  Murakami et al. (2003JPCA..10710996M);
    Natarajan1997     =  Natarajan et al. (1997);
    Nava1989          =  Nava & Stief (1989);
    Nicholas1979      =  Nicholas et al. (1979);
    Nickolaisen1994   =  Nickolaisen et al. (1994);
    Pagsberg1979      =  Pagsberg et al. (1979);
    Robertson2006     =  Robertson & Smith (2006JPCA..110.6673R);
    Roose1978         =  Roose et al. (1978);
    Rowe1998          =  Rowe et al. (1998);
    Schindler1996     =  Schindler et al. (1996);
    Seinfeld2016      =  Seinfeld & Pandis (2016);
    Sellevag2009      =  Sellevåg et al. (2009JPCA..113.4457S);
    Sendt2002         =  Sendt et al. (2002);
    Sendt2005         =  Sendt & Haynes (2005JPCA..109.8180S);
    Senosiain2006     =  Senosiain et al. (2006JPCA..110.5772S);
    Sharkey1994       =  Sharkey et al. (1994);
    Shum1985          =  Shum & Benson (1985);
    Singleton1988     =  Singleton & Cvetanović (1988JPCRD..17.1377S);
    Slack1976         =  Slack (1976JChPh..64..228S);
    Stoeckel1985      =  Stoeckel et al. (1985CP.....95..135S);
    Stone2005         =  Stone & Rowley (2005PCCP....7.2156S);
    Strausz1968       =  Strausz et al. (1968);
    Streit1976        =  Streit et al. (1976JChPh..65.4761S);
    Takahashi1977     =  Takahashi & Miyazaki (1977);
    Tizniti2010       =  Tizniti et al. (2010PCCP...1212702T);
    Toby1984          =  Toby et al. (1984);
    Tsang1986         =  Tsang & Hampson (1986JPCRD..15.1087T);
    Tsang1987         =  Tsang (1987);
    Tsang1991         =  Tsang & Herron (1991JPCRD..20..609T);
    Tsang1992         =  Tsang & Walker (1992JPCRD..21..753T);
    Tsang1992b        =  Tsang (1992);
    Tsuboi1981        =  Tsuboi & Hashimoto (1981JaJAP..20..985T);
    Tsuboi1981b       =  Tsuboi et al. (1981);
    Tsuchiya1994      =  Tsuchiya et al. (1994);
    Tsuchiya1996      =  Tsuchiya et al. (1996);
    Tsuchiya1997      =  Tsuchiya et al. (1997);
    Turanyi2012       =  Turányi et al. (2012);
    Vandeputte2010    =  Vandeputte et al. (2010JPCA..11410531V);
    Vidal2017         =  Vidal et al. (2017MNRAS.469..435V);
    Wang1990          =  Wang & Howard (1990);
    Wang2005          =  Wang & Hou (2005CPL...410..235W);
    Watson1976        =  Watson et al. (1976JChPh..65.2126W);
    Wei1975           =  Wei & Timmons (1975JChPh..62.3240W);
    Wine1988          =  Wine et al. (1988);
    Woiki1995         =  Woiki & Roth (1995);
    Wooldridge1996    =  Wooldridge et al. (1996);
    Xu1998            =  Xu & Sun (1998JPCA..102.1194X);
    Xu1999            =  Xu & Sun (1999);
    Xu2009            =  Xu & Lin (2009);
    Yasunaga2008      =  Yasunaga et al. (2008);
    Yoshimura1992     =  Yoshimura et al. (1992CPL...189..199Y);
    Yung1982          =  Yung & Demore (1982Icar...51..199Y);
    Zanchet2018       =  Zanchet et al. (2018PCCP...20.5415Z);
    Zhang1997         =  Zhang & Bauer (1997);
    Zhang2012         =  Zhang et al. (2012Icar..217..714Z).
Note (2): Flags --
    a = This reaction is not reversed;
    b = The rate constant for this reaction was miswritten in 
        Krasnopolsky (2007Icar..191...25K); Zhang et al. (2012Icar..217..714Z).
--------------------------------------------------------------------------------
C + C + M => C_2 + M                   5.46E-31 cm6/s -1.6      0.0 Slack1976                 
C + C + M => C_2 + M                   2.16E-11 cm3/s  0.0      0.0 Martinotti1968            
C + O + M => CO + M                    2.00E-34 cm6/s  0.0      0.0 Fairbairn1969             
C + O + M => CO + M                    4.82E-15 cm3/s -1.0      0.0 Est.                      
H + N + M => HN + M                    5.02E-32 cm6/s  0.0      0.0 Brown1973                 
H + N + M => HN + M                    1.21E-12 cm3/s -1.0      0.0 Est.                      
N + N + M => N_2 + M                   1.25E-32 cm6/s  0.0      0.0 Knipovich1988             
N + N + M => N_2 + M                   5.00E-16 cm3/s  0.0      0.0 Takahashi1977             
N + O + M => NO + M                    3.26E-33 cm6/s  0.0      0.0 Campbell1973              
N + O + M => NO + M                    7.87E-14 cm3/s -1.0      0.0 Est.                      
O + O + M => O_2 + M                   1.67E-33 cm6/s -1.0      0.0 Javoy2003                 
O + O + M => O_2 + M                   1.21E-11 cm3/s -2.0      0.0 Est.                      
CN + H + M => HCN + M                  9.35E-30 cm6/s -2.0    520.0 Tsang1992                 
CN + H + M => HCN + M                  1.73E-10 cm3/s -0.5      0.0 Tsang1992                 
CO + O + M => CO_2 + M                 1.20E-32 cm6/s  0.0   2160.0 Fujii1985                 
CO + O + M => CO_2 + M                 1.00E-14 cm3/s  0.0   1630.0 Toby1984                  
NO + H + M => HNO + M                  1.34E-31 cm6/s -1.32   370.0 Tsang1991                 
NO + H + M => HNO + M                  2.44E-10 cm3/s -0.41     0.0 Tsang1991                 
O_2 + H + M => HO_2 + M                4.11E-32 cm6/s -1.10     0.0 Turanyi2012               
O_2 + H + M => HO_2 + M                7.51E-11 cm3/s  0.0      0.0 Cobos1985                 
H_2N + H + M => H_3N + M               6.07E-30 cm6/s  0.0      0.0 Gordon1971                
H_2N + H + M => H_3N + M               2.66E-11 cm3/s  0.0      0.0 Pagsberg1979              
OH + O_2 + M => HO_3 + M               1.70E-33 cm6/s -3.5      0.0 Tizniti2010               
