Title: Hydroxide salts in the clouds of Venus: their effect on the 
       sulfur cycle and cloud droplet
Authors: Rimmer P.B., Jordan S., Constantinou T., Woitke P., Shorttle O., 
         Hobbs R., Paschodimas A. 
Table: Reactions Added and Updated for STAND2020
================================================================================
Byte-by-byte Description of file: psjac0156t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label     Explanations
--------------------------------------------------------------------------------
   1- 38 A38    ---     Reaction  Reaction
  40- 47 E8.2   ---     alpha     The {alpha} value
  49- 53 A5     ---   u_alpha     alpha units
  55- 59 F5.2   ---     beta      The {beta} value
  61- 67 F7.1   K       Ea        Ea
  69- 89 A21    ---     Ref       Reference (1)
  91- 93 A3     ---     Flag      Flag (2)
--------------------------------------------------------------------------------
Note (1): References --
S_3 + S_4 + M => S_7 + M               3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S + S_5 + M => S_6 + M                 1.11E-30 cm6/s -2.0      0.0 Moses2002                 
S + S_5 + M => S_6 + M                 3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S_2 + S_5 + M => S_7 + M               1.11E-30 cm6/s -2.0      0.0 Moses2002                 
S_2 + S_5 + M => S_7 + M               3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S_3 + S_5 + M => S_8 + M               1.11E-30 cm6/s -2.0      0.0 Moses2002                 
S_3 + S_5 + M => S_8 + M               3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S + S_6 + M => S_7 + M                 1.11E-30 cm6/s -2.0      0.0 Moses2002                 
S + S_6 + M => S_7 + M                 3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S_2 + S_6 + M => S_8 + M               1.11E-30 cm6/s -2.0      0.0 Moses2002                 
S_2 + S_6 + M => S_8 + M               3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S + SO + M => S_2O + M                 3.67E-31 cm6/s -2.0      0.0 Moses2002                 
S + SO + M => S_2O + M                 8.86E-13 cm3/s -3.0      0.0 Est.                      
ClS + ClS + M => Cl_2S_2 + M           1.00E-30 cm6/s  0.0      0.0 Mills2007                 
ClS + ClS + M => Cl_2S_2 + M           5.00E-11 cm3/s  0.0      0.0 Mills2007                 
ClS + ClS + M => Cl_2S_2 + M           4.00E-31 cm6/s  0.0      0.0 Mills1998                 
ClS + ClS + M => Cl_2S_2 + M           4.00E-12 cm3/s  0.0      0.0 Mills1998                 
Cl + SO + M => OSCl + M                3.00E-33 cm6/s -5.0      0.0 Mills2007             a   
Cl + SO + M => OSCl + M                7.24E-14 cm3/s -6.0      0.0 Est.                      
S + NO + M => SNO + M                  3.00E-32 cm6/s  0.0   -940.0 Kras2007              a   
S + NO + M => SNO + M                  7.24E-14 cm3/s  0.0      0.0 Est.                      
Cl + SO_2 + M => SNO + M               1.30E-34 cm6/s  0.0   -940.0 Mills1998             a   
Cl + SO_2 + M => SNO + M               7.20E-14 cm3/s -1.0      0.0 Est.                      
OSCl + M => SO + Cl + M                3.00E-31 cm3/s -5.0  35600.0 Mills1998             a   
OSCl + M => SO + Cl + M                7.24E-12 s-1   -6.0      0.0 Est.                      
ClSO_2 + M => Cl + SO_2 + M            7.00E-16 cm3/s  0.0  10500.0 DeMore1985            a   
ClSO_2 + M => Cl + SO_2 + M            1.69E+4  s-1   -1.0  10500.0 Est.                      
ClCO + O_2 + M => ClCO_3 + M           5.70E-32 cm6/s  0.0   -500.0 Yung1982              a   
ClCO + O_2 + M => ClCO_3 + M           6.00E-13 cm3/s  0.0      0.0 Est.                      
CN + N => C + N_2                      6.56E-11 cm3/s  0.0      0.0 Natarajan1997             
HN + N => H + N_2                      1.89E-11 cm3/s  0.51     0.0 Caridade2005              
HN + O => H + NO                       1.16E-10 cm3/s  0.0      0.0 Cohen1991                 
HO + N => H + NO                       4.70E-11 cm3/s  0.0      0.0 Baulch2005                
HO + O => H + O_2                      3.28E-11 cm3/s -0.32     0.0 Robertson2006             
CN + H_2 => HCN + H                    3.49E-11 cm3/s  0.0   2370.0 Jacobs1989                
O + CH_2 => CHO + H                    5.01E-11 cm3/s  0.0      0.0 Tsuboi1981b               
CO + HO => CO_2 + H                    1.43E-13 cm3/s  1.55     0.0 Lissianski1995            
H_2 + HO => H_2O + H                   5.44E-11 cm3/s  0.0   3210.0 Krasnoperov2004           
H_2N + O => HNO + H                    5.28E-11 cm3/s -0.49     0.0 Bozzelli1989              
HO + HN => HNO + H                     6.84E-11 cm3/s -0.38     0.0 Klippenstein2009          
O + HN_2 => N_2O + H                   5.27E-11 cm3/s -0.4      0.0 Bozzelli1995              
NO + HN => N_2O + H                    1.07E-12 cm3/s  0.75     0.0 Roose1978                 
H_2 + C_2H => C_2H_2 + H               2.45E-12 cm3/s  0.83   541.0 Ju2010                    
CN + HCN => NCCN + H                   4.27E-13 cm3/s  1.71   768.0 Wooldridge1996            
CN + O => CO + N                       1.45E-10 cm3/s -0.18     0.0 Andersson2003             
HN + O => HO + N                       1.16E-11 cm3/s  0.0      0.0 Cohen1991                 
N + O_2 => NO + O                      4.40E-12 cm3/s  0.0   2400.0 Atkinson1989              
HN + HN => H_2N + N                    6.63E-15 cm3/s  3.88     0.0 Klippenstein2009          
HO + HN => H_2O + N                    1.39E-13 cm3/s  1.74     0.0 Klippenstein2009          
HN + NCO => HNCO + N                   1.67E-20 cm3/s  2.21     0.0 Xu1999                    
NO + C => CN + O                       5.57E-11 cm3/s -0.31     0.0 Andersson2003             
CN + HO => HCN + O                     1.00E-11 cm3/s  0.0    997.0 Tsang1991                 
CN + O_2 => NCO + O                    1.32E-11 cm3/s  0.18     0.0 Klippenstein1993          
HO + HO => H_2O + O                    5.98E-12 cm3/s  0.83   379.0 Karkach1999               
O + NO_2 => NO + O_2                   1.04E-11 cm3/s  0.0      0.0 Estupinan2001             
O + O_3 => O_2 + O_2                   8.00E-12 cm3/s  0.0   2060.0 Atkinson2004              
HO + NCO => HNCO + O                   2.81E-13 cm3/s  2.27     0.0 Tsang1992                 
HO + H_2N => H_3N + O                  8.03E-14 cm3/s  2.41     0.0 Mousavipour2009           
CH_3 + HO => CH_4 + O                  3.22E-14 cm3/s  2.0   2230.0 Cohen1991                 
C_2H_5 + HO => C_2H_6 + O              4.26E-19 cm3/s  8.8      0.0 Cohen1991                 
C_2H + CHO => C_2H_2 + CO              1.00E-10 cm3/s  0.0      0.0 Tsang1986                 
C_2H_3 + CHO => C_2H_4 + CO            1.50E-10 cm3/s  0.0      0.0 Tsang1986                 
H_2N + HO => H_2O + HN                 1.19E-12 cm3/s  1.97   336.0 Mousavipour2009           
H_2N + NCO => HNCO + HN                5.42E-10 cm3/s  1.91     0.0 Xu1998                    
H_2N + H_2N => H_3N + HN               2.01E-15 cm3/s  3.53     0.0 Klippenstein2009          
HO_2 + NO => HO + NO_2                 8.80E-12 cm3/s  0.0      0.0 Atkinson2004              
C_2H + H_2O => C_2H_2 + HO             7.74E-14 cm3/s  3.05   376.0 Carl2005                  
HO + HCNO => HOCH + NO                 1.66E-12 cm3/s  0.0      0.0 Miller2003                
HO + CH_3O => CH_2O + H_2O             9.04E-16 cm3/s  2.5    947.0 Jasper2009                
HO + HNO_3 => NO_3 + H_2O              1.39E-13 cm3/s  0.0      0.0 Lamb1984                  
HO + CH_4O_2 => CH_3O_2 + H_2O         3.59E-12 cm3/s  0.0      0.0 Anglada2017               
HO + CH_4O_2 => CH_2O + H_2O + HO      1.89E-12 cm3/s  0.0      0.0 Anglada2017               
NO + O_3 => NO_2 + O_2                 3.00E-12 cm3/s  0.0   1500.0 Seinfeld2016              
HNO + H_2N => H_3N + NO                3.57E-12 cm3/s  0.41     0.0 Xu2009                    
C_2H_5 + HNO => C_2H_6 + NO            1.66E-12 cm3/s  0.0      0.0 Laidler1961               
HO_2 + HO_2 => H_2O_2 + O_2            2.76E-12 cm3/s  0.0      0.0 Stone2005                 
CH_3O_2 + H => CH_4 + O_2              1.17E-11 cm3/s  1.02  8340.0 Bogdanchikov2004          
CH_3 + HO_2 => CH_4 + O_2              7.31E-12 cm3/s  0.0      0.0 Hong2012                  
C_2H_5 + HO_2 => C_2H_6 + O_2          5.00E-13 cm3/s  0.0      0.0 Tsang1986                 
HCN + C_2H_3 => C_3H_3N + H            1.00E-11 cm3/s  0.0   1590.0 Est.~(Monks1993)          
CH_2O + HO => CHO + H_2O               8.50E-12 cm3/s  0.0      0.0 Est.~(Zanchet2018)        
CH_2O + NCO => HNCO + CHO              1.00E-11 cm3/s  0.0      0.0 Tsang1992                 
CH_2O + CH_3 => CH_4 + CHO             2.04E-15 cm3/s  3.92  2320.0 Li2004                    
CH_2O + CH_2OH => CH_3OH + CHO         7.72E-15 cm3/s  2.80  2940.0 Tsang1987                 
CH_2O + C_2H_5 => C_2H_6 + CHO         8.19E-14 cm3/s  2.81  2940.0 Tsang1986                 
CH_3NO + H => CH_3 + HNO               2.09E-11 cm3/s  0.84     0.0 Choi2005                  
HO_2 + O => HO + O_2                   5.90E-11 cm3/s  0.0      0.0 Est.                      
HO_2 + O_3 => HO + O_2 + O_2           1.00E-14 cm3/s  0.0    490.0 Seinfeld2016              
CH_3 + H_2O_2 => CH_4 + HO_2           5.45E-14 cm3/s  0.0      0.0 Tsang1986                 
CH_3O + CHO => CH_3OH + CO             1.50E-10 cm3/s  0.0      0.0 Tsang1986                 
C_2H_5 + H_2O_2 => C_2H_6 + HO_2       1.45E-14 cm3/s  0.0    289.0 Tsang1986                 
CH_3 + HNO_2 => CH_4 + NO_2            3.55E-7  cm3/s  0.0  10100.0 Zhang1997                 
S + O_2 => SO + O                      2.51E-11 cm3/s  0.0   1840.0 Tsuchiya1997              
S + SO_2 => SO + SO                    9.77E-12 cm3/s  0.0   4540.0 Murakami2003              
S + H_2 => H + HS                      3.04E-13 cm3/s  2.7   6460.0 Hobbs2020                 
S + OCS => CO + S_2                    1.35E-13 cm3/s  2.7   1200.0 Hobbs2020                 
S + CS_2 => CS + S_2                   2.82E-10 cm3/s  0.0   5920.0 Woiki1995                 
S + C_2H_6 => HS + C_2H_5              2.04E-10 cm3/s  0.0   7420.0 Tsuchiya1996              
S + CH_4 => HS + CH_3                  3.39E-10 cm3/s  0.0  10000.0 Tsuchiya1996              
S + HS => S_2 + H                      4.98E-12 cm3/s  0.0      0.0 Nicholas1979              
SO + O_2 => SO_2 + O                   4.37E-14 cm3/s  1.4   1870.0 Garland1998               
SO_2 + H => HO + SO                    4.58E-8  cm3/s -2.3  15600.0 Blitz2006                 
SO_2 + NO_3 => SO_3 + NO_2             1.80E-22 cm3/s  0.0      0.0 Kurten2010                
SO_2 + O_3 => SO_3 + O_2               3.01E-12 cm3/s  0.0   7000.0 Burkholder2020            
H_2S + SO_2 => H_2O + S_2O             1.09E-13 cm3/s  1.86 19000.0 Sendt2005                 
SO_2 + HO_2 => HO + SO_3               2.26E-13 cm3/s  0.0   3420.0 Hwang2010                 
SO_2 + HO_2 => O_2 + HOSO              8.60E-10 cm3/s  0.0   5230.0 Wang2005                  
SO_3 + O => SO_2 + O_2                 1.06E-13 cm3/s  2.57 14700.0 Hindiyarti2007            
SO_3 + H => SO_2 + HO                  1.46E-11 cm3/s  1.22  1670.0 Hindiyarti2007            
HS + O => SO + H                       1.30E-10 cm3/s  0.0      0.0 Tsuchiya1994              
HS + NO_2 => NO + HSO                  6.49E-11 cm3/s  0.0      0.0 Atkinson2004              
HS + N_2O => N_2 + HSO                 5.00E-16 cm3/s  0.0      0.0 Herndon1999               
HS + O_3 => O_2 + HSO                  1.10E-11 cm3/s  0.0    280.0 Wang1990                  
HS + O_2 => O + HSO                    3.11E-11 cm3/s  0.0   9020.0 Tsuchiya1997              
HS + O_2 => HO + SO                    4.00E-19 cm3/s  0.0      0.0 Burkholder2020            
HS + CO => OCS + H                     4.15E-14 cm3/s  0.0   7660.0 Kurbanov1995              
CS + O => CO + S                       2.61E-10 cm3/s  0.0    758.0 Lilenfeld1977             
CS + HO => OCS + H                     1.70E-10 cm3/s  0.0      0.0 Vidal2017                 
CS + HO => CO + HS                     3.00E-11 cm3/s  0.0      0.0 Vidal2017                 
CS + C => C_2 + S                      1.44E-11 cm3/s  0.5  20400.0 Harada2010                
CS + CH => C_2H + S                    5.00E-11 cm3/s  0.0      0.0 Vidal2017                 
CS + C_2H_3 => H_2C_3S + H             1.70E-12 cm3/s  0.0    400.0 Vidal2017                 
CS + HN => S + HNC                     1.00E-11 cm3/s  0.0   1200.0 Vidal2017                 
CS + NO_2 => OCS + NO                  7.61E-17 cm3/s  0.0      0.0 Atkinson2004              
CS + O_3 => OCS + O_2                  3.01E-16 cm3/s  0.0      0.0 Atkinson2004              
CS + O_2 => OCS + O                    2.62E-16 cm3/s  0.0   1860.0 Burkholder2020            
CS + O_2 => OCS + O                    2.62E-16 cm3/s  0.0   1860.0 Burkholder2020            
H_2S + O => HSO + H                    5.00E-10 cm3/s  0.0   3850.0 Tsuchiya1994              
H_2S + O => HO + HS                    2.01E-10 cm3/s  0.0   3850.0 Tsuchiya1994              
H_2S + H => H_2 + HS                   3.07E-12 cm3/s  2.1    352.0 Yoshimura1992             
H_2S + O_2 => HO_2 + HS                3.10E-12 cm3/s  2.76 19200.0 Montoya2005               
H_2S + HO => H_2O + HS                 1.61E-11 cm3/s  0.0    540.0 Mousavipour2003           
H_2S + HO_2 => H_2O + HSO              5.00E-12 cm3/s  0.0      0.0 Bulatov1990               
H_2S + CH_3 => CH_4 + HS               1.05E-13 cm3/s  1.2    722.0 Mousavipour2003           
H_2S + S_2O => H_2O + S_3              7.08E-13 cm3/s  1.51 17100.0 Sendt2005                 
HSO_3 + O_2 => HO_2 + SO_3             1.30E-12 cm3/s  0.0    330.0 Atkinson2004              
H_2CS + HS => H_2S + HCS               8.14E-11 cm3/s  0.0   3180.0 Vandeputte2010            
H_2CS + H => H_2 + HCS                 9.33E-11 cm3/s  0.0   3570.0 Vandeputte2010            
H_2CS + CH_3 => CH_4 + HCS             2.57E-11 cm3/s  0.0   4930.0 Vandeputte2010            
HSO + NO_2 => NO + HSO_2               9.60E-12 cm3/s  0.0      0.0 Lovejoy1987               
HSO + O_3 => O_2 + O_2 + HS            2.54E-13 cm3/s  0.0    384.0 Wang1990                  
HSO_2 + O_2 => HO_2 + SO_2             3.01E-13 cm3/s  0.0      0.0 Lovejoy1987               
HSOO + O_2 => HO_2 + SO_2              3.01E-13 cm3/s  0.0      0.0 Lovejoy1987               
CS_2 + O => CS + SO                    2.76E-11 cm3/s  0.0    644.0 Wei1975                   
CS_2 + O => CO + S_2                   1.08E-13 cm3/s  0.0      0.0 Cooper1992                
CS_2 + O => OCS + S                    3.65E-12 cm3/s  0.0   5830.0 Singleton1988             
CS_2 + HO => OCS + HS                  1.70E-15 cm3/s  0.0      0.0 Est.                      
OCS + O => CO + SO                     1.99E-11 cm3/s  0.0   2150.0 Wei1975                   
OCS + O => CO_2 + S                    8.30E-11 cm3/s  0.0   5530.0 Singleton1988             
OCS + C => CO + CS                     1.01E-11 cm3/s  0.0      0.0 Dorthe1991                
CH_3SH + H => CH_3 + H_2S              1.15E-11 cm3/s  0.0    841.0 Amano1983                 
PH_3 + H => PH_2 + H_2                 7.22E-11 cm3/s  0.0    884.0 Arthur1997                
PH_3 + O => Products                   4.75E-11 cm3/s  0.0      0.0 Nava1989                  
PH_3 + HO => PH_2 + H_2O               1.61E-11 cm3/s  0.0      0.0 Fritz1982                 
PH_3 + Cl => PH_2 + HCl                2.40E-10 cm3/s  0.0      0.0 Iyer1983                  
Cl + O_3 => ClO + O_2                  2.20E-11 cm3/s  0.0    200.0 Watson1976                
Cl + O_3 => ClO + O_2 (^1\Delta)       5.80E-13 cm3/s  0.0    260.0 Watson1976                
Cl + HO_2 => HCl + O_2                 3.17E-11 cm3/s  0.0      0.0 Est.~(Hickson2005)        
Cl + HO_2 => ClO + HO                  4.10E-11 cm3/s  0.0    450.0 Hickson2005               
Cl + H_2O_2 => HCl + HO_2              1.10E-11 cm3/s  0.0    980.0 Keyser1980                
Cl + HOCl => HO + Cl_2                 6.00E-13 cm3/s  0.0    130.0 Cook1981                  
Cl + HOCl => HCl + ClO                 1.90E-12 cm3/s  0.0    130.0 Cook1981                  
Cl + ClCO => Cl_2 + CO                 2.16E-9  cm3/s  0.0   1670.0 Baulch1981                
Cl + OCS => ClS + CO                   1.00E-16 cm3/s  0.0      0.0 Burkholder2020            
Cl + ClS_2 => Cl_2 + S_2               1.00E-12 cm3/s  0.0      0.0 Moses2002                 
O + Cl_2 => ClO + Cl                   7.40E-12 cm3/s  0.0   1650.0 Mills1998                 
O(^1D) + Cl_2 => ClO + Cl              1.55E-10 cm3/s  0.0      0.0 Burkholder2020            
ClO + O => Cl + O_2                    3.78E-11 cm3/s  0.0      0.0 Est.~(Burkholder2020)     
ClO + O => Cl + O_2 (^1\Delta)         7.58E-13 cm3/s  0.0      0.0 Est.~(Burkholder2020)     
ClO + H_2 => HCl + HO                  1.00E-12 cm3/s  0.0   4800.0 Clyne1974                 
ClO + HO => HCl + O_2                  1.29E-12 cm3/s  0.0      0.0 Est.~(Burkholder2020)     
ClO + HO_2 => HOCl + O_2               5.62E-12 cm3/s  0.0      0.0 Est.~(Burkholder2020)     
ClO + CO => CO_2 + Cl                  1.00E-12 cm3/s  0.0   3700.0 Clyne1974                 
ClO + ClO => Cl_2 + O_2                1.00E-12 cm3/s  0.0   1590.0 Nickolaisen1994           
ClO + ClO => Cl_2 + O_2 (^1\Delta)     2.00E-14 cm3/s  0.0   1590.0 Nickolaisen1994           
ClO + SO => Cl + SO_2                  2.80E-11 cm3/s  0.0      0.0 Burkholder2020            
O + HCl => HO + Cl                     1.00E-11 cm3/s  0.0   3300.0 Burkholder2020            
O(^1D) + HCl => HO + Cl                1.00E-11 cm3/s  0.0      0.0 Streit1976                
O(^1D) + HCl => ClO + H                3.60E-11 cm3/s  0.0      0.0 Streit1976                
O + HOCl => HO + ClO                   1.70E-13 cm3/s  0.0      0.0 Schindler1996             
HO + HOCl => H_2O + ClO                3.00E-12 cm3/s  0.0    500.0 Ennis1988                 
O + ClCO => Cl + CO_2                  3.00E-11 cm3/s  0.0      0.0 Yung1982                  
O + ClCO => ClO + CO                   3.00E-12 cm3/s  0.0      0.0 Yung1982                  
H + ClCO => HCl + CO                   1.00E-11 cm3/s  0.0      0.0 Yung1982                  
HO + ClCO => HOCl + CO                 1.50E-10 cm3/s  0.0      0.0 Mills1998                 
ClS + O_2 => SO + ClO                  2.00E-15 cm3/s  0.0      0.0 Mills2007                 
S + O_3 => SO + O_2                    1.20E-11 cm3/s  0.0      0.0 Clyne1975                 
SO + O_3 => SO_2 + O_2                 4.50E-12 cm3/s  0.0   1170.0 Atkinson2004              
SO + O_3 => SO_2 + O_2 (^1\Delta)      3.60E-13 cm3/s  0.0   1100.0 Burkholder2020            
SO_2 + O_3 => SO_3 + O_2 (^1\Delta)    6.00E-14 cm3/s  0.0   7000.0 Zhang2012                 
S + HO_2 => SO + HO                    5.84E-11 cm3/s  0.0      0.0 Est.~(Yung1982)           
ClS + Cl_2 => Cl_2S + Cl               7.00E-14 cm3/s  0.0      0.0 Mills2007                 
S + ClO => SO + Cl                     4.00E-11 cm3/s  0.0      0.0 Moses2002                 
S + ClCO => CO + ClS                   3.00E-12 cm3/s  0.0      0.0 Zhang2012                 
S + ClCO => OCS + Cl                   3.00E-12 cm3/s  0.0      0.0 Zhang2012                 
O + S_2 => SO + S                      2.00E-11 cm3/s  0.0     84.0 Craven1987                
ClO + S_2 => S_2O + Cl                 2.80E-11 cm3/s  0.0      0.0 Moses2002                 
O + S_3 => SO + S_2                    8.00E-11 cm3/s  0.0      0.0 Moses2002                 
S + S_3 => S_2 + S_2                   8.00E-11 cm3/s  0.0      0.0 Moses2002                 
O + S_4 => SO + S_3                    8.00E-11 cm3/s  0.0      0.0 Moses2002                 
Cl + S_4 => ClS_2 + S_2                2.00E-12 cm3/s  0.0      0.0 Mills2007                 
Cl + S_4 => ClS_2 + S_2                2.00E-12 cm3/s  0.0      0.0 Mills2007                 
S + S_4 => S_2 + S_3                   8.00E-11 cm3/s  0.0      0.0 Moses2002                 
S_3 + S_4 => S_2 + S_5                 4.00E-11 cm3/s  0.0    200.0 Moses2002                 
O + S_5 => S_4 + SO                    8.00E-11 cm3/s  0.0    200.0 Moses2002                 
S + S_5 => S_3 + S_3                   3.00E-11 cm3/s  0.0    200.0 Moses2002                 
S + S_5 => S_2 + S_4                   5.00E-11 cm3/s  0.0    200.0 Moses2002                 
S_3 + S_5 => S_2 + S_6                 4.00E-11 cm3/s  0.0    200.0 Moses2002                 
S_4 + S_5 => S_2 + S_7                 2.00E-12 cm3/s  0.0    200.0 Moses2002                 
S_4 + S_5 => S_3 + S_6                 2.00E-12 cm3/s  0.0    200.0 Moses2002                 
O + S_6 => S_5 + SO                    8.00E-11 cm3/s  0.0    300.0 Moses2002                 
S + S_6 => S_3 + S_4                   3.00E-11 cm3/s  0.0    300.0 Moses2002                 
S + S_6 => S_2 + S_5                   5.00E-11 cm3/s  0.0    300.0 Moses2002                 
S_3 + S_6 => S_2 + S_7                 4.00E-12 cm3/s  0.0    300.0 Moses2002                 
S_4 + S_6 => S_2 + S_8                 2.00E-12 cm3/s  0.0    300.0 Moses2002                 
S_4 + S_6 => S_5 + S_5                 2.00E-12 cm3/s  0.0    300.0 Moses2002                 
O + S_7 => S_6 + SO                    8.00E-11 cm3/s  0.0    200.0 Moses2002                 
S + S_7 => S_6 + S_2                   4.00E-11 cm3/s  0.0    200.0 Moses2002                 
S + S_7 => S_3 + S_5                   2.00E-11 cm3/s  0.0    200.0 Moses2002                 
S + S_7 => S_4 + S_4                   2.00E-11 cm3/s  0.0    200.0 Moses2002                 
S_3 + S_7 => S_2 + S_8                 3.00E-11 cm3/s  0.0    200.0 Moses2002                 
S_3 + S_7 => S_4 + S_6                 1.00E-11 cm3/s  0.0    200.0 Moses2002                 
S_3 + S_7 => S_5 + S_5                 1.00E-11 cm3/s  0.0    200.0 Moses2002                 
S_4 + S_7 => S_3 + S_8                 5.00E-12 cm3/s  0.0    200.0 Moses2002                 
S_4 + S_7 => S_5 + S_6                 5.00E-12 cm3/s  0.0    200.0 Moses2002                 
O + S_8 => S_7 + SO                    8.00E-11 cm3/s  0.0    400.0 Moses2002                 
S + S_8 => S_2 + S_7                   4.00E-11 cm3/s  0.0    400.0 Moses2002                 
S + S_8 => S_3 + S_6                   2.00E-11 cm3/s  0.0    400.0 Moses2002                 
S + S_8 => S_4 + S_5                   2.00E-11 cm3/s  0.0    400.0 Moses2002                 
S_2 + S_8 => S_5 + S_5                 1.00E-11 cm3/s  0.0   1400.0 Moses2002                 
HO_2 + SO => SO_2 + HO                 2.80E-11 cm3/s  0.0      0.0 Zhang2012                 
ClS + SO => S_2O + Cl                  1.00E-11 cm3/s  0.0      0.0 Moses2002                 
S_3 + SO => S_2O + S_2                 1.00E-12 cm3/s  0.0      0.0 Moses2002                 
O(^1D) + SO_2 => SO + O_2              1.30E-10 cm3/s  0.0      0.0 Moses2002                 
S + SO_3 => SO_2 + SO                  1.00E-16 cm3/s  0.0      0.0 Moses2002                 
S_2 + SO_3 => S_2O + SO_2              2.00E-16 cm3/s  0.0      0.0 Moses2002                 
SO + SO_3 => SO_2 + SO_2               2.00E-16 cm3/s  0.0      0.0 Chung1975                 
O + S_2O => SO + SO                    1.70E-12 cm3/s  0.0      0.0 Mills1998                 
S + S_2O => S_2 + SO                   1.00E-12 cm3/s  0.0   1200.0 Moses2002                 
S_2O + S_2O => S_3 + SO_2              1.00E-14 cm3/s  0.0      0.0 Mills1998                 
O + ClS => SO + Cl                     1.20E-10 cm3/s  0.0      0.0 Mills2007                 
S_2 + ClS => S_3 + Cl                  1.00E-11 cm3/s  0.0      0.0 Moses2002                 
ClS + ClS => S_2 + Cl_2                6.00E-12 cm3/s  0.0      0.0 Mills2007                 
ClS + ClS => Cl_2S + S                 7.50E-12 cm3/s  0.0      0.0 Mills1998                 
ClS + ClS => ClS_2 + Cl                5.40E-11 cm3/s  0.0      0.0 Mills2007                 
OCS + ClS => ClS_2 + CO                3.00E-16 cm3/s  0.0      0.0 Mills1998                 
O + ClS_2 => SO + ClS                  1.00E-13 cm3/s  0.0      0.0 Moses2002                 
ClS + ClS_2 => Cl_2S + S_2             1.00E-12 cm3/s  0.0      0.0 Mills1998                 
H + Cl_2S => HCl + ClS                 2.00E-11 cm3/s  0.0      0.0 Mills1998                 
Cl_2S + Cl_2S => Cl_2S_2 + Cl_2        1.00E-20 cm3/s  0.0      0.0 Mills1998                 
Cl + Cl_2S_2 => Cl_2 + ClS_2           4.30E-12 cm3/s  0.0      0.0 Mills1998                 
Cl + NO_3 => ClO + NO_2                2.40E-11 cm3/s  0.0      0.0 Becker1991                
Cl + HNO_3 => HCl + NO_3               2.00E-16 cm3/s  0.0      0.0 Wine1988                  
ClO + NO => Cl + NO_2                  1.68E-11 cm3/s  0.0      0.0 Est.~(Burkholder2020)     
ClO + N_2O => NO + NO + Cl             1.00E-12 cm3/s  0.0   4300.0 Clyne1974                 
SO + NO_2 => SO_2 + NO                 1.40E-11 cm3/s  0.0      0.0 Burkholder2020            
OCS + NO_3 => CO + SO + NO_2           1.00E-16 cm3/s  0.0      0.0 Atkinson2004              
SO + CO_2 => SO_2 + CO                 1.50E-11 cm3/s  0.0  22000.0 Kras1994                  
CO + S_3 => OCS + CO                   1.00E-11 cm3/s  0.0  20000.0 Kras2007                  
HS + HS => H_2S + S                    1.50E-11 cm3/s  0.0      0.0 Strausz1968               
H_2S + Cl => HCl + S                   7.45E-11 cm3/s  0.0      0.0 Est.~(Gao2015)            
Cl + HS => HCl + S                     1.61E-10 cm3/s  0.0      0.0 Est.~(Clyne1984)          
H + S_3 => HS + S_2                    1.20E-10 cm3/s  0.0   1950.0 Est.~(Kras2007)           
H + Cl_2 => HCl + Cl                   8.00E-11 cm3/s  0.0    416.0 Krasnoperov1984           
S + Cl_2 => ClS + Cl                   2.80E-11 cm3/s  0.0    300.0 Krasnoperov1984           
S + ClS => S_2 + Cl                    1.00E-12 cm3/s  0.0      0.0 Kras2007                  
H + ClS => HCl + S                     1.00E-11 cm3/s  0.0      0.0 Kras2007                  
HS + ClS => S_2 + HCl                  1.29E-12 cm3/s  0.0      0.0 Est.~(Kras2007)           
HS + HO => H_2O + S                    2.50E-12 cm3/s  0.0      0.0 Kras2007                  
HO + OCS => CO_2 + HS                  1.10E-13 cm3/s  0.0   1200.0 Burkholder2020            
S + HO => SO + H                       6.60E-11 cm3/s  0.0      0.0 Jourdain1979              
ClCO + Cl_2 => COCl_2 + Cl             4.18E-12 cm3/s  0.0   1490.0 Est.~(Zhang2012)      a   
ClO + OCS => OSCl + CO                 2.00E-16 cm3/s  0.0      0.0 Eibling1983           a   
ClCO + ClCO => COCl_2 + CO             5.00E-11 cm3/s  0.0      0.0 Mills1998             a   
O(^1D) + COCl_2 => Cl_2 + CO_2         3.60E-10 cm3/s  0.0      0.0 Burkholder2020        a   
O(^1D) + COCl_2 => ClCO + ClO          3.60E-10 cm3/s  0.0      0.0 Mills1998             a   
O + SOSO => S_2O + O_2                 3.00E-14 cm3/s  0.0      0.0 Mills1998             a   
O + SOSO => SO + SO_2                  3.00E-15 cm3/s  0.0      0.0 Mills1998             a   
S_2 + SOSO => S_2O + S_2O              3.30E-14 cm3/s  0.0      0.0 Mills1998             a   
SO + SOSO => S_2O + SO_2               3.30E-14 cm3/s  0.0      0.0 Mills1998             a   
O + OSCl => SO_2 + Cl                  5.00E-11 cm3/s  0.0    600.0 Moses2002             a   
O + OSCl => SO + ClO                   2.00E-11 cm3/s  0.0    600.0 Moses2002             a   
Cl + OSCl => Cl_2 + SO                 2.30E-11 cm3/s  0.0      0.0 Mills2007             a   
