Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 4.13e+12

  P6	H2O			= H	+ OH		1.885174e+12
  R512	OH	+ H2		= H2O	+ H		1.840214e+12
  M89	OH	+ CO		= CO2	+ H		2.044082e+11
  R445	O	+ OH		= O2	+ H		1.152640e+11
  P20	CH2O			= CHO	+ H		7.545340e+10
  R433	O	+ H2		= H	+ OH		2.176657e+09
  R427	O	+ CHO		= CO2	+ H		2.145181e+09
  R597	CH21	+ H2		= CH3	+ H		7.063384e+08
  P32	CH4			= CH3	+ H		6.211104e+08
  R415	O	+ CH3		= CH2O	+ H		5.672505e+08
  R416	O	+ CH3		= CO	+ H2	+ H	2.317623e+08
  P73	H2O			= H	+ H	+ O	1.546863e+08 (x2)
  P40	CH4O			= CH3O	+ H		1.034421e+08
  R455	O(1D)	+ H2		= H	+ OH		9.612354e+07
  P34	CH4			= CH	+ H2	+ H	9.089421e+07
  R202	H2	+ CH		= CH2	+ H		8.528038e+06
  R408	O	+ CH		= CO	+ H		2.254121e+06
  R33	CH	+ CH4		= C2H4	+ H		1.285648e+06
  R411	O	+ CH2		= CO	+ H	+ H	1.201916e+06 (x2)
  R203	H2	+ CH3		= CH4	+ H		8.765317e+04
  R403	O	+ C2H5		= C2H4O	+ H		6.462424e+04
  R396	O	+ C2H4		= C2H3O	+ H		2.915395e+04
  P56	C2H2			= C2H	+ H		1.668143e+04
  R449	O(1D)	+ CH4		= CH3O	+ H		1.052284e+04
  P59	C2H4			= C2H2	+ H	+ H	9.596067e+03 (x2)
  R195	H2	+ C2H		= C2H2	+ H		8.201261e+03
  P63	C2H6			= C2H4	+ H	+ H	7.295614e+03 (x2)
  R492	OH	+ CH2		= CH2O	+ H		3.130182e+03
  P71	HNO			= NO	+ H		1.955772e+03
  P60	C2H4			= C2H3	+ H		1.919213e+03
  R395	O	+ C2H3		= C2H2O	+ H		3.042597e+02
  P57	C2H3			= C2H2	+ H		2.042864e+02
  R295	N	+ OH		= NO	+ H		8.168508e+01
  T47	CH3O			= CH2O	+ H		7.232423e+01
  R304	NH	+ O		= NO	+ H		3.884510e+01
  R44	CH2	+ CH3		= C2H4	+ H		2.295074e+01
  R206	H2	+ CHO		= CH2O	+ H		2.290389e+01
  R390	O	+ C2H2		= H	+ C2HO		2.116421e+01
  R204	H2	+ CH3O		= CH4O	+ H		1.780796e+01
  R452	O(1D)	+ CH4O		= CH3O2	+ H		6.157189e+00
  P42	NH3			= NH2	+ H		5.952111e+00
  T38	C2H5O			= C2H4O	+ H		3.389579e+00
  R322	NH2	+ O		= H	+ HNO		1.507256e+00
  P41	HCN			= H	+ CN		1.956215e-01
  R198	H2	+ C2H5		= C2H6	+ H		1.027486e-01
  R308	NH	+ OH		= H	+ HNO		1.017415e-01
  R207	H2	+ CN		= HCN	+ H		5.539711e-02
  R506	OH	+ CN		= H	+ CNO		1.296172e-02
  R339	NO	+ CH		= H	+ CNO		7.244277e-03
  T18	CH3O2			= CH2O2	+ H		4.823245e-03
  R370	NO2	+ CHO		= NO	+ CO2	+ H	4.154597e-03
  R212	H2	+ NH2		= NH3	+ H		2.676640e-03
  R281	N	+ CH		= CN	+ H		1.006856e-03
  P28	CH2O2			= CHO2	+ H		6.002838e-04
  R435	O	+ HCN		= H	+ CNO		3.688064e-05
  R301	NH	+ NO		= N2O	+ H		1.003541e-06
  R327	NH3	+ CH		= HCN	+ H2	+ H	7.879267e-07
  R197	H2	+ C2H3		= C2H4	+ H		3.286893e-07
  R277	N	+ C2H3		= C2H2N	+ H		8.401731e-08
  R495	OH	+ CH3		= CH3O	+ H		4.910883e-08
  R289	N	+ NH		= N2	+ H		3.795486e-09
  R3	C	+ H2		= CH	+ H		1.119294e-10
  R209	H2	+ HO2		= H2O2	+ H		5.481227e-11
  P70	C2H5N			= HCN	+ CH3	+ H	4.940163e-12
  R527	OH	+ S		= H	+ SO		2.733461e-12
  T27	C2H5			= C2H4	+ H		4.515194e-13
  P68	N2H4			= N2H3	+ H		3.620669e-13
  T43	HSO2			= SO2	+ H		1.411971e-13
  R528	OH	+ SO		= SO2	+ H		1.283771e-13
  R266	HS	+ O		= H	+ SO		1.085587e-13
  R479	OH	+ C2H2		= C2H2O	+ H		9.245417e-14
  P45	H2S			= HS	+ H		6.008430e-14
  R213	H2	+ NO2		= H	+ HNO2		1.532587e-18
  T8	HNO			= H	+ NO		9.738519e-22
  R205	H2	+ CH3O2		= CH4O2	+ H		4.194427e-22
  R546	SO2	+ C2H		= CO	+ OCS	+ H	2.410358e-23
  T2	HO2			= O2	+ H		2.397864e-23
  T49	CHO2			= CO2	+ H		7.191028e-27
  T19	CH4O			= CH3O	+ H		2.377242e-27
  T25	C2H3			= C2H2	+ H		3.993281e-30
  R533	S	+ HS		= H	+ S2		1.229492e-32
  R10	H2	+ C2H4		= C2H5	+ H		1.178572e-44
  T42	HSO			= SO	+ H		1.110074e-46
  R41	H2	+ C2H2		= C2H3	+ H		4.067126e-49
  T59	H2S			= HS	+ H		3.667812e-50
  T28	C2H6			= C2H5	+ H		1.448811e-52
  T57	HCN			= H	+ CN		1.003346e-76
  T46	CHO			= CO	+ H		3.271224e-149
  P38	H2			= H	+ H		0.000000e+00 (x2)

H				LOSS RXS		INT RX RATE	TL = 4.13e+12

  M12	H	+ CO		= CHO			1.463145e+12
  R162	H	+ CHO		= CO	+ H2		1.383823e+12
  M10	H	+ CHO		= CH2O			2.858616e+11
  M13	H	+ H		= H2			2.282194e+11 (x2)
  R148	H	+ CH2O		= H2	+ CHO		1.325472e+11
  M17	H	+ O2		= HO2			1.283620e+11
  M16	H	+ O		= OH			1.111841e+11
  R180	H	+ HO2		= OH	+ OH		1.003748e+11
  M18	H	+ OH		= H2O			3.984253e+10
  R182	H	+ HO2		= H2	+ O2		9.619252e+09
  M57	H	+ CH3		= CH4			6.186356e+09
  R181	H	+ HO2		= O	+ H2O		2.230551e+09
  R157	H	+ CH4		= CH3	+ H2		2.161980e+09
  R152	H	+ CH3O		= CH4O			9.529769e+08
  M88	H	+ CH2O		= CH3O			7.417212e+08
  R192	H	+ O3		= OH	+ O2		7.095216e+08
  R159	H	+ CH4O		= CH3O	+ H2		5.656801e+08
  R153	H	+ CH3O		= CH3	+ OH		5.309657e+08
  R146	H	+ CH2		= CH	+ H2		1.014503e+08
  R154	H	+ CH3O		= CH2O	+ H2		3.318536e+07
  R145	H	+ CH		= C	+ H2		8.510157e+06
  M9	H	+ C2H4		= C2H5			1.107165e+06
  R140	H	+ C2H5		= CH3	+ CH3		8.931003e+05
