Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 5.33e+12

  P6	H2O			= H	+ OH		2.809754e+12
  R512	OH	+ H2		= H2O	+ H		2.065020e+12
  R445	O	+ OH		= O2	+ H		2.143799e+11
  M89	OH	+ CO		= CO2	+ H		2.102235e+11
  P20	CH2O			= CHO	+ H		1.943389e+10
  P73	H2O			= H	+ H	+ O	2.712356e+09 (x2)
  R597	CH21	+ H2		= CH3	+ H		2.305021e+09
  P32	CH4			= CH3	+ H		2.027615e+09
  R415	O	+ CH3		= CH2O	+ H		7.831996e+08
  R416	O	+ CH3		= CO	+ H2	+ H	3.199930e+08
  P34	CH4			= CH	+ H2	+ H	2.967241e+08
  R433	O	+ H2		= H	+ OH		9.923860e+07
  P40	CH4O			= CH3O	+ H		7.980683e+07
  R427	O	+ CHO		= CO2	+ H		7.117116e+07
  T46	CHO			= CO	+ H		3.857332e+07
  R455	O(1D)	+ H2		= H	+ OH		2.039539e+07
  R408	O	+ CH		= CO	+ H		1.352404e+07
  R202	H2	+ CH		= CH2	+ H		9.784493e+06
  R33	CH	+ CH4		= C2H4	+ H		4.172875e+06
  R411	O	+ CH2		= CO	+ H	+ H	1.631099e+06 (x2)
  R492	OH	+ CH2		= CH2O	+ H		7.409886e+04
  R403	O	+ C2H5		= C2H4O	+ H		6.536236e+04
  P63	C2H6			= C2H4	+ H	+ H	4.058271e+04 (x2)
  R396	O	+ C2H4		= C2H3O	+ H		3.964483e+04
  P56	C2H2			= C2H	+ H		2.385589e+04
  P59	C2H4			= C2H2	+ H	+ H	2.217177e+04 (x2)
  P71	HNO			= NO	+ H		7.711008e+03
  P60	C2H4			= C2H3	+ H		4.434355e+03
  R449	O(1D)	+ CH4		= CH3O	+ H		4.134182e+03
  R195	H2	+ C2H		= C2H2	+ H		2.739001e+03
  R203	H2	+ CH3		= CH4	+ H		1.611184e+03
  P57	C2H3			= C2H2	+ H		7.809658e+02
  R395	O	+ C2H3		= C2H2O	+ H		5.547165e+02
  R44	CH2	+ CH3		= C2H4	+ H		1.822733e+02
  T47	CH3O			= CH2O	+ H		1.710885e+02
  R452	O(1D)	+ CH4O		= CH3O2	+ H		5.813986e+01
  R390	O	+ C2H2		= H	+ C2HO		3.123296e+01
  R295	N	+ OH		= NO	+ H		1.267803e+01
  R304	NH	+ O		= NO	+ H		4.357014e+00
  P42	NH3			= NH2	+ H		1.252742e+00
  R204	H2	+ CH3O		= CH4O	+ H		6.753508e-01
  R206	H2	+ CHO		= CH2O	+ H		5.347597e-01
  R308	NH	+ OH		= H	+ HNO		4.346619e-01
  P41	HCN			= H	+ CN		1.044895e-01
  T38	C2H5O			= C2H4O	+ H		7.855565e-02
  R322	NH2	+ O		= H	+ HNO		6.306258e-02
  R506	OH	+ CN		= H	+ CNO		3.783287e-02
  R198	H2	+ C2H5		= C2H6	+ H		3.118290e-02
  T49	CHO2			= CO2	+ H		1.688701e-02
  R339	NO	+ CH		= H	+ CNO		7.081166e-03
  R207	H2	+ CN		= HCN	+ H		5.948642e-03
  R281	N	+ CH		= CN	+ H		8.985304e-04
  R212	H2	+ NH2		= NH3	+ H		7.902883e-05
  R370	NO2	+ CHO		= NO	+ CO2	+ H	5.076696e-05
  R435	O	+ HCN		= H	+ CNO		1.408505e-05
  R327	NH3	+ CH		= HCN	+ H2	+ H	7.748128e-06
  R301	NH	+ NO		= N2O	+ H		2.218527e-06
  R197	H2	+ C2H3		= C2H4	+ H		2.386479e-07
  R495	OH	+ CH3		= CH3O	+ H		6.447149e-08
  R277	N	+ C2H3		= C2H2N	+ H		8.494297e-09
  P28	CH2O2			= CHO2	+ H		8.752331e-10
  R289	N	+ NH		= N2	+ H		7.525083e-11
  P70	C2H5N			= HCN	+ CH3	+ H	2.904532e-11
  R209	H2	+ HO2		= H2O2	+ H		1.584981e-11
  R527	OH	+ S		= H	+ SO		6.476104e-12
  R528	OH	+ SO		= SO2	+ H		2.961099e-12
  T27	C2H5			= C2H4	+ H		1.180936e-12
  R479	OH	+ C2H2		= C2H2O	+ H		8.095037e-13
  R266	HS	+ O		= H	+ SO		1.277778e-13
  R3	C	+ H2		= CH	+ H		5.081588e-15
  P68	N2H4			= N2H3	+ H		1.730344e-15
  P45	H2S			= HS	+ H		8.997716e-17
