Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 3.78e+12

  P6	H2O			= H	+ OH		1.852936e+12
  R512	OH	+ H2		= H2O	+ H		1.385854e+12
  M89	OH	+ CO		= CO2	+ H		2.733951e+11
  R445	O	+ OH		= O2	+ H		2.419493e+11
  P20	CH2O			= CHO	+ H		2.208197e+10
  R597	CH21	+ H2		= CH3	+ H		9.630917e+08
  P73	H2O			= H	+ H	+ O	9.113957e+08 (x2)
  P32	CH4			= CH3	+ H		8.469598e+08
  R415	O	+ CH3		= CH2O	+ H		7.947090e+08
  R416	O	+ CH3		= CO	+ H2	+ H	3.246954e+08
  R427	O	+ CHO		= CO2	+ H		2.065302e+08
  R433	O	+ H2		= H	+ OH		1.545688e+08
  P34	CH4			= CH	+ H2	+ H	1.239453e+08
  P40	CH4O			= CH3O	+ H		5.922214e+07
  T46	CHO			= CO	+ H		4.993538e+07
  R408	O	+ CH		= CO	+ H		1.182393e+07
  R455	O(1D)	+ H2		= H	+ OH		1.141329e+07
  R411	O	+ CH2		= CO	+ H	+ H	3.888458e+06 (x2)
  R202	H2	+ CH		= CH2	+ H		2.949352e+06
  R33	CH	+ CH4		= C2H4	+ H		6.888771e+05
  R492	OH	+ CH2		= CH2O	+ H		4.816273e+04
  R403	O	+ C2H5		= C2H4O	+ H		3.538687e+04
  R396	O	+ C2H4		= C2H3O	+ H		3.461535e+04
  P56	C2H2			= C2H	+ H		1.009467e+04
  P59	C2H4			= C2H2	+ H	+ H	7.943710e+03 (x2)
  P63	C2H6			= C2H4	+ H	+ H	7.866431e+03 (x2)
  P71	HNO			= NO	+ H		5.199180e+03
  R195	H2	+ C2H		= C2H2	+ H		4.713875e+03
  P60	C2H4			= C2H3	+ H		1.588742e+03
  R449	O(1D)	+ CH4		= CH3O	+ H		1.226573e+03
  R395	O	+ C2H3		= C2H2O	+ H		7.785558e+02
  P57	C2H3			= C2H2	+ H		6.511862e+02
  R203	H2	+ CH3		= CH4	+ H		5.063224e+02
  T47	CH3O			= CH2O	+ H		2.150630e+02
  R44	CH2	+ CH3		= C2H4	+ H		1.450130e+02
  R390	O	+ C2H2		= H	+ C2HO		2.219051e+01
  R452	O(1D)	+ CH4O		= CH3O2	+ H		1.229856e+01
