# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R319	4.638961e-06
R320	6.829894e-09
R321	3.920373e-12
R322	7.338562e-02
R323	1.139589e-02
R324	8.153958e-03
R325	1.901625e-09
R326	1.202086e-05
R327	1.159459e-07
R328	4.096652e-14
R329	2.876128e-16
R330	2.885889e-20
R331	2.608885e-04
R332	4.840477e-04
R333	7.505252e-07
R334	1.123822e-06
R335	3.553146e-04
R336	2.523516e-01
R337	8.143730e-02
R338	7.786722e-04
R339	2.341871e-03
R340	1.463670e-02
R341	8.020909e-03
R342	8.196549e-03
R346	1.137292e-01
R347	1.915055e-02
R348	3.577714e+02
R350	1.077060e-12
R351	1.217887e-12
R352	6.331494e-13
R353	1.238679e-09
R354	8.365765e-05
R355	1.513863e-07
R356	1.885055e-09
R357	3.778407e-09
R358	5.246500e-06
R359	6.046259e-07
R360	2.650511e-05
R361	3.981220e-05
R362	2.671280e-06
R363	6.239115e-06
R364	1.908784e-03
R365	4.560813e-04
R366	2.605837e-08
R367	3.661266e-28
R368	5.221824e-03
R369	7.707489e-03
R370	3.402041e-04
R371	1.322833e-13
R372	8.255868e-15
R373	6.038047e-15
R374	8.133528e-16
R375	6.447308e-17
R376	8.944789e-19
R377	1.435759e-11
R378	1.590226e-10
R379	2.901390e-15
R380	2.453511e-11
R381	5.373617e-07
R382	1.310996e-09
R383	1.092497e-09
R384	2.898427e-10
R385	3.901025e-11
R387	1.303719e-23
R389	1.331366e+02
R390	2.219051e+01
R391	6.815595e+03
R392	1.124600e-08
R393	8.060459e+02
R394	8.060459e+02
R395	7.785558e+02
R396	3.461535e+04
R397	5.750822e+00
R398	8.016587e+04
R399	4.945051e+03
R400	4.854551e+04
R401	8.741190e+03
R402	5.009097e+04
R403	3.538687e+04
R404	5.009097e+03
R405	7.103980e+03
R406	1.159795e+01
R407	7.993277e+00
R408	1.182393e+07
R409	2.333075e+05
R411	3.888458e+06
R412	2.365479e+06
R413	5.366812e+07
R414	2.177826e+05
R415	7.947090e+08
R416	3.246954e+08
R417	1.211183e-07
R418	2.735932e-10
R419	5.293540e+06
R420	1.890550e+06
R421	4.480756e-11
R422	5.296487e+06
R423	5.719828e+04
R424	3.840185e+05
R425	5.513204e-01
R426	2.065302e+08
R427	2.065302e+08
R428	1.294870e+10
R429	1.563024e-31
R430	5.754754e-02
R431	1.038971e-03
R432	4.152587e-11
R433	1.545688e+08
R434	8.774847e+03
R435	4.945515e-05
R436	2.119507e-05
R437	1.067188e-12
R438	2.837211e-09
R439	1.794103e+03
R440	3.859340e-10
R441	5.567104e+10
R443	4.114065e-03
R444	3.573438e+04
R445	2.419493e+11
R446	3.444236e-27
R447	1.063799e-02
R448	2.742861e-01
R449	1.226573e+03
R450	4.620092e+03
R451	3.066432e+02
R452	1.229856e+01
R453	5.739329e+01
R454	5.976857e+07
R455	1.141329e+07
R456	6.409579e+04
R457	3.647141e-07
R458	1.520506e+11
R459	8.884836e-04
R460	1.391254e-03
