Type	Std	Rate
R1	3.528418e-84	1.158336e-82	4.146920e-83	1.213458e-84	7.617543e-87	1.229942e-89	2.580046e-92	1.153367e-94	3.573177e-97	1.577758e-98	1.566135e-98	2.232557e-98	4.579067e-98	1.149495e-97	3.540073e-97	1.289693e-96	5.355713e-96	2.465888e-95	1.237115e-94	6.821817e-94	3.873312e-93	2.186461e-92	1.131115e-91	5.242231e-91	2.185290e-90	8.411550e-90	2.976064e-89	9.790646e-89	2.980977e-88	8.550007e-88	2.332402e-87	6.163448e-87	1.602996e-86	3.978340e-86	8.283481e-86	1.487476e-85	2.257327e-85	3.138922e-85	4.184416e-85	6.330378e-85	1.681754e-84	9.001699e-84	7.454294e-83	7.675195e-82	9.613014e-81	1.003625e-79	6.746003e-79	2.795577e-78	7.417046e-78	1.330546e-77	1.708707e-77	1.681485e-77	2.805643e-76	1.786471e-70	
R3	1.882300e-40	2.220391e-39	3.045483e-39	1.075085e-39	1.561001e-40	1.019518e-41	7.130015e-43	6.409792e-44	2.751308e-45	3.171100e-46	2.126695e-46	2.025843e-46	2.741563e-46	4.580488e-46	9.346925e-46	2.224467e-45	5.951883e-45	1.744780e-44	5.513680e-44	1.889172e-43	6.654120e-43	2.347993e-42	7.787089e-42	2.386127e-41	6.773887e-41	1.818486e-40	4.594126e-40	1.102378e-39	2.500345e-39	5.436507e-39	1.140788e-38	2.337307e-38	4.730034e-38	9.180722e-38	1.527658e-37	2.168482e-37	2.514356e-37	2.503643e-37	2.274375e-37	2.342036e-37	4.297256e-37	1.386260e-36	4.277345e-36	1.100576e-35	2.845340e-35	6.629084e-35	1.250590e-34	1.874773e-34	2.271177e-34	2.276877e-34	1.936844e-34	1.442602e-34	1.963251e-33	9.590986e-28	
R4	1.541748e-28	8.298550e-27	4.387879e-26	6.860307e-26	5.652892e-26	2.946304e-26	1.373035e-26	3.810720e-27	1.181336e-28	6.664397e-31	3.563011e-33	2.974440e-35	6.236069e-36	5.017389e-36	5.745031e-36	8.196974e-36	1.349238e-35	2.378931e-35	4.213050e-35	7.421072e-35	1.229225e-34	1.964761e-34	2.972654e-34	4.341690e-34	6.221383e-34	8.897888e-34	1.256499e-33	1.754932e-33	2.423830e-33	3.375788e-33	4.850185e-33	7.569867e-33	1.277539e-32	2.053233e-32	2.424225e-32	2.059827e-32	1.114215e-32	4.090488e-33	1.166667e-33	3.474380e-34	1.799790e-34	1.661811e-34	1.539635e-34	1.351282e-34	1.748306e-34	3.681564e-34	8.010800e-34	1.287458e-33	1.437324e-33	1.154524e-33	7.176223e-34	3.837862e-34	4.127791e-33	2.225814e-27	
R6	5.188494e-30	2.915984e-26	2.131080e-24	3.147044e-23	2.192394e-22	9.440720e-22	3.530254e-21	1.335441e-20	3.122523e-20	4.521259e-20	7.619358e-20	1.474875e-19	3.410062e-19	8.709149e-19	2.484213e-18	7.811799e-18	2.654813e-17	9.630612e-17	3.706616e-16	1.525275e-15	6.428794e-15	2.693992e-14	1.058542e-13	3.827639e-13	1.276258e-12	3.992629e-12	1.169975e-11	3.236116e-11	8.431694e-11	2.093216e-10	4.983268e-10	1.154631e-09	2.630279e-09	5.730102e-09	1.066910e-08	1.715375e-08	2.277239e-08	2.619488e-08	2.768441e-08	3.334497e-08	7.184336e-08	2.728352e-07	9.921604e-07	3.007347e-06	9.137867e-06	2.490709e-05	5.457376e-05	9.403315e-05	1.291050e-04	1.440773e-04	1.334854e-04	1.056015e-04	1.486958e-03	7.373847e+02	
R8	3.796959e-29	6.064125e-27	1.254222e-25	7.899881e-25	2.804865e-24	6.703443e-24	1.481696e-23	2.853849e-23	1.782403e-23	4.733688e-24	1.756824e-24	8.411551e-25	5.655203e-25	4.793780e-25	5.275752e-25	7.178816e-25	1.163133e-24	2.171560e-24	4.553636e-24	1.084216e-23	2.746218e-23	7.323551e-23	1.929864e-22	4.976772e-22	1.258879e-21	3.168265e-21	7.785366e-21	1.862405e-20	4.270892e-20	9.446382e-20	2.017260e-19	4.194292e-19	8.582170e-19	1.685348e-18	2.849135e-18	4.170184e-18	5.081440e-18	5.422867e-18	5.365684e-18	6.093584e-18	1.246795e-17	4.536389e-17	1.597788e-16	4.750087e-16	1.434788e-15	3.938997e-15	8.785073e-15	1.547415e-14	2.158130e-14	2.398374e-14	2.141535e-14	1.565586e-14	1.940491e-13	8.039273e-08	
R9	1.606814e-29	1.003298e-25	2.420983e-24	1.075811e-23	2.308411e-23	3.218693e-23	4.181049e-23	5.809627e-23	1.093614e-22	1.779530e-22	2.177343e-22	2.362994e-22	2.321858e-22	1.961986e-22	1.420269e-22	9.134446e-23	5.469015e-23	3.149328e-23	1.779563e-23	1.005591e-23	5.716661e-24	3.276885e-24	1.878346e-24	1.069499e-24	6.016802e-25	3.327528e-25	1.801608e-25	9.471373e-26	4.822012e-26	2.370373e-26	1.135798e-26	5.519320e-27	2.655331e-27	1.124939e-27	3.654536e-28	9.456131e-29	2.095328e-29	4.871274e-30	1.383769e-30	6.681717e-31	9.952032e-31	2.624387e-30	6.280248e-30	1.294509e-29	2.995013e-29	8.504402e-29	2.764675e-28	7.997101e-28	1.775732e-27	2.999490e-27	3.967265e-27	4.273963e-27	4.197408e-27	5.745568e-27	
R10	5.096317e-44	1.976613e-46	1.445430e-49	2.490359e-53	1.143363e-57	1.398520e-62	2.664502e-67	1.537875e-71	2.043593e-75	2.660711e-77	1.368281e-77	7.293620e-78	3.971098e-78	2.114729e-78	1.095537e-78	5.555896e-79	2.779663e-79	1.377154e-79	6.768790e-80	3.309844e-80	1.609499e-80	7.797813e-81	3.761158e-81	1.806335e-81	8.638143e-82	4.113899e-82	1.951863e-82	9.224401e-83	4.352411e-83	2.055051e-83	9.756435e-84	4.724512e-84	2.314584e-84	1.105160e-84	4.892978e-85	2.067654e-85	8.593501e-86	3.772148e-86	1.806785e-86	9.255078e-87	4.916375e-87	2.655394e-87	1.448867e-87	8.081583e-88	4.965562e-88	4.022863e-88	4.487792e-88	5.427292e-88	5.894954e-88	5.434755e-88	4.249934e-88	2.879986e-88	1.782845e-88	1.191229e-88	
R11	1.896740e-22	7.415727e-19	1.288703e-17	3.873650e-17	5.785311e-17	7.227030e-17	9.127655e-17	1.170898e-16	1.757421e-16	2.279398e-16	2.500413e-16	2.690393e-16	2.762392e-16	2.509973e-16	1.992270e-16	1.406284e-16	9.075881e-17	5.489867e-17	3.183712e-17	1.816400e-17	1.032595e-17	5.893172e-18	3.358172e-18	1.900341e-18	1.062572e-18	5.840996e-19	3.142761e-19	1.641484e-19	8.299113e-20	4.049761e-20	1.925028e-20	9.265229e-21	4.410539e-21	1.853346e-21	6.009005e-22	1.563105e-22	3.503104e-23	8.248425e-24	2.366566e-24	1.149408e-24	1.715396e-24	4.514566e-24	1.069355e-23	2.125277e-23	4.265921e-23	7.879647e-23	1.194575e-22	1.457367e-22	1.477095e-22	1.294055e-22	1.004410e-22	7.092832e-23	5.168762e-23	9.180056e-23	
R12	9.290118e-15	2.552878e-12	2.434163e-11	9.223648e-11	2.426181e-10	5.430897e-10	1.134331e-09	2.322128e-09	5.490263e-09	9.591775e-09	1.177510e-08	1.323504e-08	1.377263e-08	1.294171e-08	1.093027e-08	8.402320e-09	5.999730e-09	4.061994e-09	2.660207e-09	1.724231e-09	1.119568e-09	7.328960e-10	4.812913e-10	3.154573e-10	2.053894e-10	1.322122e-10	8.372082e-11	5.173584e-11	3.102737e-11	1.796657e-11	1.008849e-11	5.626267e-12	3.068972e-12	1.516635e-12	6.238371e-13	2.154126e-13	6.505060e-14	1.950083e-14	6.512146e-15	3.432168e-15	5.341065e-15	1.436697e-14	3.444351e-14	6.893807e-14	1.389253e-13	2.568899e-13	3.882165e-13	4.687256e-13	4.648346e-13	3.920188e-13	2.863938e-13	1.836408e-13	1.112316e-13	8.742542e-14	
R13	1.504600e-28	1.183431e-24	1.627825e-23	5.706209e-23	1.255171e-22	2.167603e-22	3.573688e-22	6.175702e-22	1.236531e-21	2.211865e-21	3.434619e-21	5.104514e-21	6.950721e-21	8.329835e-21	8.844988e-21	8.555635e-21	7.689116e-21	6.559266e-21	5.431736e-21	4.471570e-21	3.678334e-21	2.993681e-21	2.355672e-21	1.759854e-21	1.232123e-21	7.964133e-22	4.668389e-22	2.425025e-22	1.104929e-22	4.405999e-23	1.567510e-23	5.238175e-24	1.638872e-24	4.440230e-25	9.430600e-26	1.650424e-26	2.536777e-27	4.036019e-28	7.576426e-29	2.356937e-29	2.241220e-29	3.792025e-29	6.031458e-29	9.428603e-29	2.346185e-28	8.752745e-28	2.865917e-27	6.437714e-27	9.867902e-27	1.089856e-26	9.098416e-27	5.996048e-27	3.474504e-27	2.612255e-27	
