Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

O				PRODUCTION RXS		INT RX RATE	TP = 9.51e+12

  R458	O(1D)	+ N2		= O	+ N2		6.341698e+12
  P36	CO2			= CO	+ O		1.636397e+12
  P3	O3			= O2	+ O		1.064795e+12
  R454	O(1D)	+ CO2		= CO2	+ O		2.290866e+11
  P1	O2			= O	+ O		8.106672e+10 (x2)
  P2	O2			= O	+ O(1D)		5.491855e+10
  P5	HO2			= O	+ OH		1.716992e+10
  R181	H	+ HO2		= O	+ H2O		1.774296e+09
  R6	C	+ O2		= CO	+ O		9.583678e+07
  P35	CO			= C	+ O		9.583451e+07
  R464	O(1D)	+ O2		= O	+ O2		6.767811e+07
  R526	OH	+ OH		= H2O	+ O		8.833146e+06
  P8	NO2			= NO	+ O		5.186095e+05
  P10	NO3			= NO2	+ O		5.562169e+04
  P73	H2O			= H	+ H	+ O	2.020095e+04
  R466	O(1D)	+ O3		= O2	+ O	+ O	9.416890e+03 (x2)
  P44	NO			= N	+ O		3.065913e+02
  P16	HNO3			= HNO2	+ O		3.781171e+01
  R293	N	+ O2		= NO	+ O		1.243717e+00
  T1	O3			= O2	+ O		9.711700e-01
  R291	N	+ NO		= O	+ N2		2.657777e-01
  R292	N	+ NO2		= N2O	+ O		3.895363e-03
  R341	NO	+ CH		= O	+ HCN		5.839138e-05
  P13	N2O5			= NO3	+ NO	+ O	1.969237e-05
  R332	NO	+ C		= CN	+ O		1.401686e-05
  R644	NH2	+ OH		= NH3	+ O		2.726356e-06
  R478	OH	+ C2H		= C2H2	+ O		1.284501e-07
  R307	NH	+ O2		= O	+ HNO		1.619050e-08
  R164	H	+ CNO		= HCN	+ O		2.291862e-10
  R352	NO	+ CNO		= CO	+ N2	+ O	9.274370e-11
  R509	OH	+ CNO		= HCNO	+ O		3.202874e-11
  R507	OH	+ CN		= O	+ HCN		3.366549e-12
  P51	SO			= S	+ O		1.408082e-14
  R536	S	+ O2		= SO	+ O		1.407849e-14
  R174	H	+ HNO		= NH2	+ O		9.787417e-15
  R40	NH	+ OH		= NH2	+ O		6.124978e-15
  P46	SO2			= SO	+ O		5.548079e-15
  R544	SO	+ O2		= SO2	+ O		3.752936e-17
  P30	SO3			= SO2	+ O		3.858625e-18
  P49	HSO			= HS	+ O		1.878035e-20
  R562	SO21	+ O2		= O	+ SO3		1.671107e-23
  T4	N2O			= N2	+ O		1.155457e-23
  T5	NO2			= NO	+ O		2.171780e-38
  R540	CS	+ O2		= OCS	+ O		3.997095e-42
  R187	H	+ NO		= NH	+ O		9.637347e-45
  T41	SO3			= SO2	+ O		1.068807e-101

O				LOSS RXS		INT RX RATE	TL = 9.51e+12

  M35	O	+ O2		= O3			7.575302e+12
  R441	O	+ HO2		= OH	+ O2		1.464319e+12
  R445	O	+ OH		= O2	+ H		1.421171e+11
  M34	O	+ O		= O2			9.875306e+10 (x2)
  R428	O	+ CHO2		= CO2	+ OH		6.415610e+10
  M16	H	+ O		= OH			3.199542e+10
  R426	O	+ CHO		= CO	+ OH		9.717863e+09
  R427	O	+ CHO		= CO2	+ H		9.717863e+09
  R433	O	+ H2		= H	+ OH		7.688493e+09
  M31	O	+ CO		= CO2			2.813623e+09
  R413	O	+ CH2O		= CHO	+ OH		2.294629e+09
  R415	O	+ CH3		= CH2O	+ H		3.050306e+08
  R416	O	+ CH3		= CO	+ H2	+ H	1.246268e+08
  R444	O	+ O3		= O2	+ O2		1.229873e+08
  R423	O	+ CH4		= CH3	+ OH		3.168167e+07
  R424	O	+ CH4O		= CH3O	+ OH		1.520835e+07
  R419	O	+ CH3O		= CH2O	+ OH		5.530079e+06
  R420	O	+ CH3O		= CH3	+ O2		1.975028e+06
  R434	O	+ H2O2		= OH	+ HO2		1.512149e+06
  R408	O	+ CH		= CO	+ H		8.821795e+05
  M32	O	+ NO		= NO2			6.201413e+05
  M90	O	+ NO2		= NO	+ O2		5.407621e+05
  R411	O	+ CH2		= CO	+ H	+ H	5.022237e+05
  R412	O	+ CH2		= CO	+ H2		3.055194e+05
  R401	O	+ C2H4O		= C2H3O	+ OH		2.004733e+05
  R439	O	+ HNO		= OH	+ NO		1.443860e+05
