
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 1.000   F_CH4= 6.2765E-07  F_CO2= 1.1820E-04  F_O2= 6.7210E-10  F_N2= 9.6989E-01  F_H2= 3.1293E-04  F_AR= 1.9800E-02  IO3 =  1   IUP=  1
 ICONSERV= 1  FAC= 4.0  ND=101  SRFALB= 0.230  G= 980.0  IMW= 0  INVERSE= 0

 FNO2 = 1.000E-72

 NST=     1 JCONV= 90 CHG=3.83E-03 dt0=7.50E+03 DIVF(1)=-5.99E-02 DIVFrms= 5.74E-02 DT(ND)= 4.15E-02 T(ND)=2.8004E+02

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP = 0.2449

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 31 1.4675E-03 3.8029E+01 1.7998E+02  0.00E+00  -1.9484E-02  1.8000E+02  1.9686E-06  1.9686E-06  2.9057E-16 -7.4412E-01  4.0634E-01
 32 1.6908E-03 3.7259E+01 1.7998E+02  0.00E+00  -1.7168E-02  1.8000E+02  2.0074E-06  2.0074E-06  2.7630E-16 -7.0492E-01  4.0832E-01
 33 1.9454E-03 3.6496E+01 1.7999E+02  0.00E+00  -1.4680E-02  1.8000E+02  2.0509E-06  2.0509E-06  2.6029E-16 -6.6129E-01  4.0788E-01
 34 2.2352E-03 3.5741E+01 1.7999E+02  0.00E+00  -1.2202E-02  1.8000E+02  2.0955E-06  2.0955E-06  2.4391E-16 -6.1585E-01  4.0486E-01
 35 2.5647E-03 3.4994E+01 1.7999E+02  0.00E+00  -9.9417E-03  1.8000E+02  2.1225E-06  2.1225E-06  2.3430E-16 -5.7104E-01  3.9962E-01
 36 2.9386E-03 3.4254E+01 1.7999E+02  0.00E+00  -8.0666E-03  1.8000E+02  2.1528E-06  2.1528E-06  2.2351E-16 -5.3282E-01  3.9385E-01
 37 3.3623E-03 3.3522E+01 1.7999E+02  0.00E+00  -6.6206E-03  1.8000E+02  2.1815E-06  2.1815E-06  2.1246E-16 -5.0320E-01  3.8903E-01
 38 3.8418E-03 3.2798E+01 1.7999E+02  0.00E+00  -5.5598E-03  1.8000E+02  2.2003E-06  2.2003E-06  2.0272E-16 -4.8201E-01  3.8610E-01
 39 4.3836E-03 3.2082E+01 1.8000E+02  0.00E+00  -4.7745E-03  1.8000E+02  2.2213E-06  2.2213E-06  1.9180E-16 -4.6800E-01  3.8538E-01
 40 4.9948E-03 3.1373E+01 1.8000E+02  0.00E+00  -4.1502E-03  1.8000E+02  2.2400E-06  2.2400E-06  1.8089E-16 -4.5802E-01  3.8601E-01
