  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
 17 0.0000E+00 0.0000E+00 0.0000E+00
 18 0.0000E+00 0.0000E+00 0.0000E+00
 19 0.0000E+00 0.0000E+00 0.0000E+00
 20 0.0000E+00 0.0000E+00 0.0000E+00
 21 0.0000E+00 0.0000E+00 0.0000E+00
 22 0.0000E+00 0.0000E+00 0.0000E+00
 23 0.0000E+00 0.0000E+00 0.0000E+00
 24 0.0000E+00 0.0000E+00 0.0000E+00
 25 0.0000E+00 0.0000E+00 0.0000E+00
 26 0.0000E+00 0.0000E+00 0.0000E+00
 27 0.0000E+00 0.0000E+00 0.0000E+00
 28 0.0000E+00 0.0000E+00 0.0000E+00
 29 0.0000E+00 0.0000E+00 0.0000E+00
 30 0.0000E+00 0.0000E+00 0.0000E+00
 31 0.0000E+00 0.0000E+00 0.0000E+00
 32 0.0000E+00 0.0000E+00 0.0000E+00
 33 0.0000E+00 0.0000E+00 0.0000E+00
 34 0.0000E+00 0.0000E+00 0.0000E+00
 35 0.0000E+00 0.0000E+00 0.0000E+00
 36 0.0000E+00 0.0000E+00 0.0000E+00
 37 0.0000E+00 0.0000E+00 0.0000E+00
 38 0.0000E+00 0.0000E+00 0.0000E+00
 39 0.0000E+00 0.0000E+00 0.0000E+00
 40 0.0000E+00 0.0000E+00 0.0000E+00
 41 0.0000E+00 0.0000E+00 0.0000E+00
 42 0.0000E+00 0.0000E+00 0.0000E+00
 43 0.0000E+00 0.0000E+00 0.0000E+00
 44 0.0000E+00 0.0000E+00 0.0000E+00
 45 0.0000E+00 0.0000E+00 0.0000E+00
 46 0.0000E+00 0.0000E+00 0.0000E+00
 47 0.0000E+00 0.0000E+00 0.0000E+00
 48 0.0000E+00 0.0000E+00 0.0000E+00
 49 0.0000E+00 0.0000E+00 0.0000E+00
 50 0.0000E+00 0.0000E+00 0.0000E+00
 51 0.0000E+00 0.0000E+00 0.0000E+00
 52 0.0000E+00 0.0000E+00 0.0000E+00
 53 0.0000E+00 0.0000E+00 0.0000E+00
 54 0.0000E+00 0.0000E+00 0.0000E+00
 55 0.0000E+00 0.0000E+00 0.0000E+00
 56 0.0000E+00 0.0000E+00 0.0000E+00
 57 0.0000E+00 0.0000E+00 0.0000E+00
 58 1.0422E-04 3.4642E-04 2.1037E+04
 59 1.0276E-04 3.4155E-04 2.4324E+04
 60 1.0141E-04 3.3706E-04 2.7935E+04
 61 1.0008E-04 3.3264E-04 3.2019E+04
 62 9.8751E-05 3.2823E-04 3.6669E+04
 63 9.7438E-05 3.2387E-04 4.1938E+04
 64 9.6215E-05 3.1981E-04 4.7762E+04
 65 9.4944E-05 3.1558E-04 5.4409E+04
 66 9.3719E-05 3.1151E-04 6.1784E+04
 67 9.2542E-05 3.0760E-04 6.9934E+04
 68 9.1406E-05 3.0382E-04 7.8919E+04
 69 9.0291E-05 3.0012E-04 8.8894E+04
 70 8.9191E-05 2.9646E-04 9.9986E+04
 71 8.8129E-05 2.9293E-04 1.1212E+05
 72 8.7132E-05 2.8962E-04 1.2514E+05
 73 8.6203E-05 2.8653E-04 1.3894E+05
 74 8.5442E-05 2.8400E-04 1.5244E+05
 75 8.4835E-05 2.8198E-04 1.6533E+05
 76 8.4204E-05 2.7988E-04 1.7927E+05
 77 8.6526E-05 2.8760E-04 1.7493E+05
 78 9.4594E-05 3.1442E-04 1.4150E+05
 79 9.9320E-05 3.3013E-04 1.2893E+05
 80 9.9464E-05 3.3061E-04 1.3503E+05
 81 9.9058E-05 3.2926E-04 1.4329E+05
 82 9.7635E-05 3.2453E-04 1.5618E+05
 83 9.5861E-05 3.1863E-04 1.7126E+05
 84 9.3893E-05 3.1209E-04 1.8789E+05
 85 9.1879E-05 3.0539E-04 2.0512E+05
 86 8.9804E-05 2.9850E-04 2.2270E+05
 87 8.7806E-05 2.9186E-04 2.3914E+05
 88 8.5947E-05 2.8568E-04 2.5313E+05
 89 8.4484E-05 2.8081E-04 2.6133E+05
 90 8.2943E-05 2.7569E-04 2.6710E+05
 91 8.1632E-05 2.7133E-04 2.6673E+05
 92 8.0581E-05 2.6784E-04 2.5910E+05
 93 7.9787E-05 2.6520E-04 2.4369E+05
 94 7.8527E-05 2.6101E-04 2.2744E+05
 95 7.7192E-05 2.5658E-04 2.0486E+05
 96 7.3976E-05 2.4589E-04 1.8766E+05
 97 7.0612E-05 2.3471E-04 1.5713E+05
 98 6.7007E-05 2.2272E-04 1.0746E+05
 99 6.4432E-05 2.1416E-04 2.6557E+04
100 0.0000E+00 0.0000E+00 0.0000E+00

  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1 0.0000E+00 0.0000E+00 0.0000E+00
  2 0.0000E+00 0.0000E+00 0.0000E+00
  3 0.0000E+00 0.0000E+00 0.0000E+00
  4 0.0000E+00 0.0000E+00 0.0000E+00
  5 0.0000E+00 0.0000E+00 0.0000E+00
  6 0.0000E+00 0.0000E+00 0.0000E+00
  7 0.0000E+00 0.0000E+00 0.0000E+00
  8 0.0000E+00 0.0000E+00 0.0000E+00
  9 0.0000E+00 0.0000E+00 0.0000E+00
 10 0.0000E+00 0.0000E+00 0.0000E+00
 11 0.0000E+00 0.0000E+00 0.0000E+00
 12 0.0000E+00 0.0000E+00 0.0000E+00
 13 0.0000E+00 0.0000E+00 0.0000E+00
 14 0.0000E+00 0.0000E+00 0.0000E+00
 15 0.0000E+00 0.0000E+00 0.0000E+00
 16 0.0000E+00 0.0000E+00 0.0000E+00
 17 0.0000E+00 0.0000E+00 0.0000E+00
 18 0.0000E+00 0.0000E+00 0.0000E+00
 19 0.0000E+00 0.0000E+00 0.0000E+00
 20 0.0000E+00 0.0000E+00 0.0000E+00
 21 0.0000E+00 0.0000E+00 0.0000E+00
 22 0.0000E+00 0.0000E+00 0.0000E+00
 23 0.0000E+00 0.0000E+00 0.0000E+00
 24 0.0000E+00 0.0000E+00 0.0000E+00
 25 0.0000E+00 0.0000E+00 0.0000E+00
 26 0.0000E+00 0.0000E+00 0.0000E+00
 27 0.0000E+00 0.0000E+00 0.0000E+00
 28 0.0000E+00 0.0000E+00 0.0000E+00
 29 0.0000E+00 0.0000E+00 0.0000E+00
 30 0.0000E+00 0.0000E+00 0.0000E+00
 31 0.0000E+00 0.0000E+00 0.0000E+00
 32 0.0000E+00 0.0000E+00 0.0000E+00
 33 0.0000E+00 0.0000E+00 0.0000E+00
 34 0.0000E+00 0.0000E+00 0.0000E+00
 35 0.0000E+00 0.0000E+00 0.0000E+00
 36 0.0000E+00 0.0000E+00 0.0000E+00
 37 0.0000E+00 0.0000E+00 0.0000E+00
 38 0.0000E+00 0.0000E+00 0.0000E+00
 39 0.0000E+00 0.0000E+00 0.0000E+00
 40 0.0000E+00 0.0000E+00 0.0000E+00
 41 0.0000E+00 0.0000E+00 0.0000E+00
 42 0.0000E+00 0.0000E+00 0.0000E+00
