  i  Z(km)      P(bar)      T(K)  
 17 0.0000E+00 2.8805E-06 4.4249E-06
 18 0.0000E+00 2.8805E-06 4.5438E-06
 19 0.0000E+00 2.8805E-06 4.6350E-06
 20 0.0000E+00 2.8805E-06 4.7351E-06
 21 0.0000E+00 2.8805E-06 4.8155E-06
 22 0.0000E+00 1.0837E-02 4.8989E-06
 23 0.0000E+00 1.0837E-02 4.9593E-06
 24 0.0000E+00 1.0837E-02 5.0164E-06
 25 0.0000E+00 1.0837E-02 5.0500E-06
 26 0.0000E+00 1.0837E-02 5.0773E-06
 27 0.0000E+00 1.0837E-02 5.0867E-06
 28 0.0000E+00 1.0837E-02 5.0849E-06
 29 0.0000E+00 1.0837E-02 5.0632E-06
 30 0.0000E+00 1.0837E-02 5.0336E-06
 31 0.0000E+00 1.0837E-02 4.9934E-06
 32 0.0000E+00 1.0837E-02 4.9488E-06
 33 0.0000E+00 1.0837E-02 4.8995E-06
 34 0.0000E+00 1.0837E-02 4.8472E-06
 35 0.0000E+00 1.0837E-02 4.7930E-06
 36 0.0000E+00 1.0837E-02 4.7377E-06
 37 0.0000E+00 1.0837E-02 4.6880E-06
 38 0.0000E+00 1.0837E-02 4.6340E-06
 39 1.6549E-04 1.0837E-02 4.5870E-06
 40 4.4132E-03 1.0841E-02 4.5341E-06
 41 7.0446E-03 1.0852E-02 4.4914E-06
 42 8.6349E-03 1.0867E-02 4.4470E-06
 43 9.5788E-03 1.0884E-02 4.4065E-06
 44 1.0133E-02 1.0903E-02 4.3772E-06
 45 1.0459E-02 1.0922E-02 4.3444E-06
 46 1.0655E-02 1.0942E-02 4.3214E-06
 47 1.0778E-02 1.0961E-02 4.3002E-06
 48 1.0859E-02 1.0981E-02 4.2765E-06
 49 1.0917E-02 1.1001E-02 4.2475E-06
 50 1.0960E-02 1.1021E-02 4.2154E-06
 51 1.0996E-02 1.1040E-02 4.1796E-06
 52 1.1026E-02 1.1060E-02 4.1365E-06
 53 1.1053E-02 1.1080E-02 4.0889E-06
 54 1.1077E-02 1.1100E-02 4.0363E-06
 55 1.1100E-02 1.1119E-02 3.9784E-06
 56 1.1122E-02 1.1139E-02 3.9148E-06
 57 1.1144E-02 1.1158E-02 3.8450E-06
 58 1.1165E-02 1.1178E-02 3.7797E-06
 59 1.1185E-02 1.1197E-02 3.7145E-06
 60 1.1205E-02 1.1217E-02 3.6432E-06
 61 1.1225E-02 1.1237E-02 3.6151E-06
 62 1.1244E-02 1.1256E-02 3.7353E-06
 63 1.1264E-02 1.1276E-02 3.8660E-06
 64 1.1282E-02 1.1296E-02 4.0079E-06
 65 1.1301E-02 1.1316E-02 4.2449E-06
 66 1.1320E-02 1.1336E-02 4.5346E-06
 67 1.1339E-02 1.1356E-02 4.8476E-06
 68 1.1358E-02 1.1376E-02 5.1985E-06
 69 1.1377E-02 1.1396E-02 5.7906E-06
 70 1.1396E-02 1.1416E-02 6.4272E-06
 71 1.1415E-02 1.1437E-02 7.1109E-06
 72 1.1434E-02 1.1458E-02 8.1989E-06
 73 1.1452E-02 1.1479E-02 1.0428E-05
 74 1.1469E-02 1.1500E-02 1.2808E-05
 75 1.1483E-02 1.1521E-02 1.5345E-05
 76 1.1495E-02 1.1543E-02 2.0776E-05
 77 1.1503E-02 1.1565E-02 3.2604E-05
 78 1.1504E-02 1.1587E-02 4.5146E-05
 79 1.1494E-02 1.1610E-02 5.8434E-05
 80 1.1456E-02 1.1633E-02 8.3288E-05
 81 1.1380E-02 1.1657E-02 1.3739E-04
 82 1.1259E-02 1.1682E-02 1.9438E-04
 83 1.1085E-02 1.1706E-02 2.5429E-04
 84 1.0846E-02 1.1732E-02 3.3224E-04
 85 1.0536E-02 1.1757E-02 4.7307E-04
 86 1.0151E-02 1.1783E-02 6.2029E-04
 87 9.6905E-03 1.1809E-02 7.7397E-04
 88 9.1581E-03 1.1835E-02 9.3730E-04
 89 8.5585E-03 1.1861E-02 1.1738E-03
 90 7.8977E-03 1.1886E-02 1.4192E-03
 91 7.1821E-03 1.1911E-02 1.6734E-03
 92 6.3871E-03 1.1935E-02 1.9362E-03
 93 5.6197E-03 1.1959E-02 3.1785E-03
 94 4.7983E-03 1.1982E-02 4.8926E-03
 95 3.9451E-03 1.2003E-02 6.6544E-03
 96 3.0648E-03 1.2022E-02 8.4611E-03
 97 2.1612E-03 1.2035E-02 1.0265E-02
 98 1.2446E-03 1.2044E-02 1.0265E-02
 99 3.1998E-04 1.2047E-02 1.0265E-02
100 0.0000E+00 1.2048E-02 1.0265E-02

  i  Z(km)      P(bar)      T(K)  
  1 7.3282E+06 1.0000E+01 1.8794E+02
  2 7.2286E+06 1.2023E+01 1.7720E+02
  3 7.1326E+06 1.4436E+01 1.7757E+02
  4 7.0361E+06 1.7308E+01 1.8183E+02
  5 6.9381E+06 2.0724E+01 1.8626E+02
  6 6.8387E+06 2.4778E+01 1.9005E+02
  7 6.7382E+06 2.9585E+01 1.9332E+02
  8 6.6370E+06 3.5275E+01 1.9630E+02
  9 6.5351E+06 4.2001E+01 1.9909E+02
 10 6.4326E+06 4.9940E+01 2.0174E+02
 11 6.3297E+06 5.9296E+01 2.0427E+02
 12 6.2265E+06 7.0308E+01 2.0671E+02
 13 6.1229E+06 8.3249E+01 2.0905E+02
