  i  Z(km)      P(bar)      T(K)  
 97 2.3216E-03 1.1681E-02 1.0265E-02
 98 1.3425E-03 1.1690E-02 1.0265E-02
 99 3.5159E-04 1.1694E-02 1.0265E-02
100 0.0000E+00 1.1695E-02 1.0265E-02

  i  Z(km)      P(bar)      T(K)  
  1 7.8528E+06 1.0000E+01 2.0825E+02
  2 7.7398E+06 1.2023E+01 2.0543E+02
  3 7.6284E+06 1.4436E+01 2.0563E+02
  4 7.5174E+06 1.7308E+01 2.0719E+02
  5 7.4063E+06 2.0724E+01 2.0921E+02
  6 7.2951E+06 2.4778E+01 2.1140E+02
  7 7.1835E+06 2.9585E+01 2.1370E+02
  8 7.0717E+06 3.5275E+01 2.1609E+02
  9 6.9595E+06 4.2001E+01 2.1852E+02
 10 6.8471E+06 4.9940E+01 2.2096E+02
 11 6.7343E+06 5.9296E+01 2.2338E+02
 12 6.6213E+06 7.0308E+01 2.2574E+02
 13 6.5081E+06 8.3249E+01 2.2804E+02
 14 6.3948E+06 9.8434E+01 2.3026E+02
 15 6.2813E+06 1.1623E+02 2.3240E+02
 16 6.1679E+06 1.3705E+02 2.3447E+02
 17 6.0545E+06 1.6137E+02 2.3647E+02
 18 5.9411E+06 1.8974E+02 2.3841E+02
 19 5.8278E+06 2.2280E+02 2.4031E+02
 20 5.7147E+06 2.6125E+02 2.4217E+02
 21 5.6018E+06 3.0590E+02 2.4400E+02
 22 5.4891E+06 3.5770E+02 2.4579E+02
 23 5.3766E+06 4.1768E+02 2.4757E+02
 24 5.2644E+06 4.8703E+02 2.4932E+02
 25 5.1524E+06 5.6712E+02 2.5106E+02
 26 5.0407E+06 6.5945E+02 2.5278E+02
 27 4.9294E+06 7.6576E+02 2.5448E+02
 28 4.8184E+06 8.8796E+02 2.5617E+02
 29 4.7078E+06 1.0282E+03 2.5784E+02
 30 4.5976E+06 1.1890E+03 2.5949E+02
 31 4.4877E+06 1.3730E+03 2.6128E+02
 32 4.3783E+06 1.5833E+03 2.6266E+02
 33 4.2696E+06 1.8232E+03 2.6306E+02
 34 4.1621E+06 2.0965E+03 2.6239E+02
 35 4.0562E+06 2.4075E+03 2.6083E+02
 36 3.9521E+06 2.7608E+03 2.5864E+02
 37 3.8500E+06 3.1615E+03 2.5602E+02
 38 3.7502E+06 3.6153E+03 2.5312E+02
 39 3.6525E+06 4.1285E+03 2.5002E+02
 40 3.5572E+06 4.7081E+03 2.4679E+02
 41 3.4641E+06 5.3614E+03 2.4350E+02
 42 3.3733E+06 6.0970E+03 2.4025E+02
 43 3.2847E+06 6.9239E+03 2.3713E+02
 44 3.1982E+06 7.8519E+03 2.3420E+02
 45 3.1137E+06 8.8919E+03 2.3149E+02
 46 3.0311E+06 1.0056E+04 2.2908E+02
 47 2.9502E+06 1.1356E+04 2.2698E+02
 48 2.8710E+06 1.2806E+04 2.2517E+02
 49 2.7933E+06 1.4422E+04 2.2360E+02
 50 2.7171E+06 1.6219E+04 2.2222E+02
 51 2.6422E+06 1.8215E+04 2.2100E+02
 52 2.5686E+06 2.0427E+04 2.1990E+02
 53 2.4963E+06 2.2877E+04 2.1892E+02
 54 2.4252E+06 2.5584E+04 2.1804E+02
 55 2.3553E+06 2.8572E+04 2.1724E+02
 56 2.2865E+06 3.1865E+04 2.1652E+02
 57 2.2188E+06 3.5488E+04 2.1589E+02
 58 2.1523E+06 3.9468E+04 2.1533E+02
 59 2.0867E+06 4.3833E+04 2.1487E+02
 60 2.0222E+06 4.8612E+04 2.1450E+02
 61 1.9586E+06 5.3839E+04 2.1420E+02
 62 1.8961E+06 5.9544E+04 2.1395E+02
 63 1.8344E+06 6.5761E+04 2.1371E+02
 64 1.7738E+06 7.2527E+04 2.1345E+02
 65 1.7140E+06 7.9878E+04 2.1318E+02
 66 1.6553E+06 8.7852E+04 2.1288E+02
 67 1.5975E+06 9.6487E+04 2.1250E+02
 68 1.5407E+06 1.0582E+05 2.1200E+02
 69 1.4849E+06 1.1590E+05 2.1146E+02
 70 1.4301E+06 1.2676E+05 2.1092E+02
 71 1.3763E+06 1.3845E+05 2.1039E+02
 72 1.3236E+06 1.5100E+05 2.0993E+02
 73 1.2717E+06 1.6447E+05 2.0967E+02
 74 1.2208E+06 1.7888E+05 2.0968E+02
 75 1.1707E+06 1.9428E+05 2.1005E+02
 76 1.1213E+06 2.1072E+05 2.1055E+02
 77 1.0726E+06 2.2824E+05 2.1135E+02
 78 1.0245E+06 2.4686E+05 2.1331E+02
 79 9.7653E+05 2.6663E+05 2.1801E+02
 80 9.2840E+05 2.8759E+05 2.2272E+02
 81 8.8017E+05 3.0976E+05 2.2740E+02
 82 8.3188E+05 3.3317E+05 2.3204E+02
 83 7.8357E+05 3.5786E+05 2.3660E+02
 84 7.3531E+05 3.8384E+05 2.4104E+02
 85 6.8717E+05 4.1113E+05 2.4534E+02
 86 6.3919E+05 4.3975E+05 2.4945E+02
 87 5.9147E+05 4.6971E+05 2.5337E+02
 88 5.4405E+05 5.0101E+05 2.5707E+02
 89 4.9703E+05 5.3366E+05 2.6055E+02
 90 4.5046E+05 5.6764E+05 2.6383E+02
 91 4.0440E+05 6.0294E+05 2.6690E+02
 92 3.5891E+05 6.3955E+05 2.6980E+02
 93 3.1404E+05 6.7744E+05 2.7253E+02
 94 2.6982E+05 7.1657E+05 2.7537E+02
 95 2.2626E+05 7.5691E+05 2.7808E+02
 96 1.8338E+05 7.9841E+05 2.8066E+02
 97 1.4124E+05 8.4101E+05 2.8313E+02
 98 9.9874E+04 8.8465E+05 2.8547E+02
 99 5.9328E+04 9.2926E+05 2.8770E+02
100 1.9652E+04 9.7477E+05 2.8982E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 6.3435E-06 2.4411E-06
  2 0.0000E+00 6.3435E-06 2.6611E-06
  3 0.0000E+00 6.3435E-06 2.7820E-06
  4 0.0000E+00 6.3435E-06 2.9188E-06
  5 0.0000E+00 6.3435E-06 3.0166E-06
  6 0.0000E+00 6.3435E-06 3.1187E-06
  7 0.0000E+00 6.3435E-06 3.2217E-06
  8 0.0000E+00 6.3435E-06 3.3381E-06
  9 0.0000E+00 6.3435E-06 3.4512E-06
 10 0.0000E+00 6.3435E-06 3.5771E-06
 11 0.0000E+00 6.3435E-06 3.6973E-06
 12 0.0000E+00 6.3435E-06 3.8315E-06
 13 0.0000E+00 6.3435E-06 3.9498E-06
 14 0.0000E+00 6.3435E-06 4.0814E-06
 15 0.0000E+00 6.3435E-06 4.1931E-06
 16 0.0000E+00 6.3435E-06 4.3196E-06
 17 0.0000E+00 6.3435E-06 4.4249E-06
 18 0.0000E+00 6.3435E-06 4.5438E-06
 19 0.0000E+00 6.3435E-06 4.6350E-06
 20 0.0000E+00 6.3435E-06 4.7351E-06
 21 0.0000E+00 6.3435E-06 4.8155E-06
 22 0.0000E+00 6.3435E-06 4.8989E-06
 23 0.0000E+00 6.3435E-06 4.9593E-06
 24 0.0000E+00 6.3435E-06 5.0164E-06
 25 0.0000E+00 6.3435E-06 5.0500E-06
 26 0.0000E+00 6.3435E-06 5.0773E-06
 27 0.0000E+00 6.3435E-06 5.0867E-06
 28 0.0000E+00 6.3435E-06 5.0849E-06
 29 0.0000E+00 6.3435E-06 5.0632E-06
 30 0.0000E+00 6.3435E-06 5.0336E-06
 31 0.0000E+00 6.3435E-06 4.9934E-06
 32 0.0000E+00 6.3435E-06 4.9488E-06
 33 0.0000E+00 6.3435E-06 4.8995E-06
 34 0.0000E+00 6.3435E-06 4.8472E-06
 35 0.0000E+00 6.3435E-06 4.7930E-06
 36 0.0000E+00 6.3435E-06 4.7377E-06
 37 0.0000E+00 6.3435E-06 4.6880E-06
 38 0.0000E+00 6.3435E-06 4.6340E-06
 39 0.0000E+00 6.3435E-06 4.5870E-06
 40 0.0000E+00 6.3435E-06 4.5341E-06
 41 0.0000E+00 6.3435E-06 4.4914E-06
 42 0.0000E+00 6.3435E-06 4.4470E-06
 43 0.0000E+00 6.3435E-06 4.4065E-06
 44 0.0000E+00 6.3435E-06 4.3772E-06
 45 0.0000E+00 6.3435E-06 4.3444E-06
 46 0.0000E+00 6.3435E-06 4.3214E-06
 47 0.0000E+00 6.3435E-06 4.3002E-06
 48 0.0000E+00 6.3435E-06 4.2765E-06
 49 0.0000E+00 6.3435E-06 4.2475E-06
 50 0.0000E+00 6.3435E-06 4.2154E-06
 51 0.0000E+00 6.3435E-06 4.1796E-06
 52 0.0000E+00 6.3435E-06 4.1365E-06
 53 0.0000E+00 6.3435E-06 4.0889E-06
 54 0.0000E+00 6.3435E-06 4.0363E-06
 55 0.0000E+00 6.3435E-06 3.9784E-06
 56 0.0000E+00 6.3435E-06 3.9148E-06
 57 0.0000E+00 6.3435E-06 3.8450E-06
 58 0.0000E+00 6.3435E-06 3.7797E-06
 59 0.0000E+00 6.3435E-06 3.7145E-06
 60 0.0000E+00 6.3435E-06 3.6432E-06
 61 0.0000E+00 6.3435E-06 3.6151E-06
 62 0.0000E+00 6.3435E-06 3.7353E-06
 63 0.0000E+00 6.3435E-06 3.8660E-06
 64 0.0000E+00 6.3435E-06 4.0079E-06
 65 0.0000E+00 6.3435E-06 4.2449E-06
 66 0.0000E+00 6.3435E-06 4.5346E-06
 67 0.0000E+00 6.3435E-06 4.8476E-06
 68 0.0000E+00 6.3435E-06 5.1985E-06
 69 0.0000E+00 6.3435E-06 5.7906E-06
 70 0.0000E+00 6.3435E-06 6.4272E-06
 71 0.0000E+00 6.3435E-06 7.1109E-06
 72 0.0000E+00 6.3435E-06 8.1989E-06
 73 0.0000E+00 6.3435E-06 1.0428E-05
 74 0.0000E+00 6.3435E-06 1.2808E-05
 75 1.1130E-02 1.1152E-02 1.5345E-05
 76 1.1150E-02 1.1173E-02 2.0776E-05
 77 1.1169E-02 1.1194E-02 3.2604E-05
 78 1.1179E-02 1.1215E-02 4.5146E-05
 79 1.1176E-02 1.1237E-02 5.8434E-05
 80 1.1158E-02 1.1260E-02 8.3288E-05
 81 1.1118E-02 1.1283E-02 1.3739E-04
 82 1.1048E-02 1.1307E-02 1.9438E-04
 83 1.0935E-02 1.1331E-02 2.5429E-04
 84 1.0770E-02 1.1356E-02 3.3224E-04
 85 1.0540E-02 1.1381E-02 4.7307E-04
 86 1.0236E-02 1.1407E-02 6.2029E-04
 87 9.8540E-03 1.1433E-02 7.7397E-04
 88 9.3902E-03 1.1459E-02 9.3730E-04
 89 8.8460E-03 1.1486E-02 1.1738E-03
 90 8.2248E-03 1.1512E-02 1.4192E-03
 91 7.5314E-03 1.1538E-02 1.6734E-03
 92 6.7717E-03 1.1563E-02 1.9362E-03
 93 5.9320E-03 1.1588E-02 3.1785E-03
 94 5.0896E-03 1.1612E-02 4.8926E-03
 95 4.2036E-03 1.1635E-02 6.6544E-03
 96 3.2781E-03 1.1655E-02 8.4611E-03
 97 2.3201E-03 1.1669E-02 1.0265E-02
 98 1.3415E-03 1.1678E-02 1.0265E-02
 99 3.5110E-04 1.1683E-02 1.0265E-02
100 0.0000E+00 1.1683E-02 1.0265E-02

  i  Z(km)      P(bar)      T(K)  
  1 7.8547E+06 1.0000E+01 2.0845E+02
  2 7.7416E+06 1.2023E+01 2.0549E+02
  3 7.6302E+06 1.4436E+01 2.0565E+02
  4 7.5192E+06 1.7308E+01 2.0721E+02
  5 7.4081E+06 2.0724E+01 2.0923E+02
  6 7.2968E+06 2.4778E+01 2.1142E+02
  7 7.1853E+06 2.9585E+01 2.1372E+02
  8 7.0734E+06 3.5275E+01 2.1611E+02
  9 6.9612E+06 4.2001E+01 2.1854E+02
 10 6.8487E+06 4.9940E+01 2.2098E+02
 11 6.7360E+06 5.9296E+01 2.2340E+02
 12 6.6230E+06 7.0308E+01 2.2576E+02
 13 6.5097E+06 8.3249E+01 2.2806E+02
 14 6.3964E+06 9.8434E+01 2.3028E+02
 15 6.2830E+06 1.1623E+02 2.3242E+02
 16 6.1695E+06 1.3705E+02 2.3449E+02
 17 6.0561E+06 1.6137E+02 2.3649E+02
 18 5.9427E+06 1.8974E+02 2.3844E+02
 19 5.8294E+06 2.2280E+02 2.4034E+02
 20 5.7163E+06 2.6125E+02 2.4220E+02
 21 5.6034E+06 3.0590E+02 2.4402E+02
 22 5.4906E+06 3.5770E+02 2.4582E+02
 23 5.3781E+06 4.1768E+02 2.4760E+02
 24 5.2659E+06 4.8703E+02 2.4935E+02
 25 5.1539E+06 5.6712E+02 2.5109E+02
 26 5.0422E+06 6.5945E+02 2.5281E+02
 27 4.9309E+06 7.6576E+02 2.5452E+02
 28 4.8199E+06 8.8796E+02 2.5620E+02
 29 4.7092E+06 1.0282E+03 2.5787E+02
 30 4.5990E+06 1.1890E+03 2.5952E+02
 31 4.4891E+06 1.3730E+03 2.6131E+02
 32 4.3797E+06 1.5833E+03 2.6269E+02
 33 4.2710E+06 1.8232E+03 2.6309E+02
 34 4.1635E+06 2.0965E+03 2.6243E+02
 35 4.0575E+06 2.4075E+03 2.6087E+02
 36 3.9534E+06 2.7608E+03 2.5869E+02
 37 3.8513E+06 3.1615E+03 2.5607E+02
 38 3.7514E+06 3.6153E+03 2.5318E+02
 39 3.6538E+06 4.1285E+03 2.5008E+02
 40 3.5584E+06 4.7081E+03 2.4685E+02
 41 3.4653E+06 5.3614E+03 2.4357E+02
 42 3.3745E+06 6.0970E+03 2.4033E+02
 43 3.2858E+06 6.9239E+03 2.3722E+02
 44 3.1993E+06 7.8519E+03 2.3429E+02
 45 3.1147E+06 8.8919E+03 2.3160E+02
 46 3.0321E+06 1.0056E+04 2.2920E+02
 47 2.9512E+06 1.1356E+04 2.2711E+02
 48 2.8719E+06 1.2806E+04 2.2530E+02
 49 2.7942E+06 1.4422E+04 2.2374E+02
 50 2.7179E+06 1.6219E+04 2.2237E+02
 51 2.6430E+06 1.8215E+04 2.2115E+02
 52 2.5694E+06 2.0427E+04 2.2007E+02
 53 2.4970E+06 2.2877E+04 2.1909E+02
 54 2.4258E+06 2.5584E+04 2.1821E+02
 55 2.3559E+06 2.8572E+04 2.1742E+02
 56 2.2870E+06 3.1865E+04 2.1670E+02
 57 2.2193E+06 3.5488E+04 2.1606E+02
 58 2.1527E+06 3.9468E+04 2.1551E+02
 59 2.0871E+06 4.3833E+04 2.1505E+02
 60 2.0225E+06 4.8612E+04 2.1468E+02
 61 1.9589E+06 5.3839E+04 2.1438E+02
 62 1.8963E+06 5.9544E+04 2.1412E+02
 63 1.8346E+06 6.5761E+04 2.1387E+02
 64 1.7739E+06 7.2527E+04 2.1361E+02
 65 1.7141E+06 7.9878E+04 2.1333E+02
 66 1.6553E+06 8.7852E+04 2.1302E+02
 67 1.5975E+06 9.6487E+04 2.1262E+02
 68 1.5407E+06 1.0582E+05 2.1211E+02
 69 1.4848E+06 1.1590E+05 2.1155E+02
 70 1.4300E+06 1.2676E+05 2.1099E+02
 71 1.3762E+06 1.3845E+05 2.1044E+02
 72 1.3234E+06 1.5100E+05 2.0997E+02
 73 1.2716E+06 1.6447E+05 2.0967E+02
 74 1.2207E+06 1.7888E+05 2.0970E+02
 75 1.1705E+06 1.9428E+05 2.1000E+02
 76 1.1212E+06 2.1072E+05 2.1059E+02
 77 1.0725E+06 2.2824E+05 2.1127E+02
 78 1.0244E+06 2.4686E+05 2.1328E+02
 79 9.7644E+05 2.6663E+05 2.1798E+02
 80 9.2832E+05 2.8759E+05 2.2268E+02
 81 8.8009E+05 3.0976E+05 2.2737E+02
 82 8.3180E+05 3.3317E+05 2.3201E+02
 83 7.8351E+05 3.5786E+05 2.3657E+02
 84 7.3525E+05 3.8384E+05 2.4101E+02
 85 6.8711E+05 4.1113E+05 2.4531E+02
 86 6.3914E+05 4.3975E+05 2.4943E+02
 87 5.9142E+05 4.6971E+05 2.5334E+02
 88 5.4402E+05 5.0101E+05 2.5704E+02
 89 4.9700E+05 5.3366E+05 2.6053E+02
 90 4.5043E+05 5.6764E+05 2.6380E+02
 91 4.0437E+05 6.0294E+05 2.6688E+02
 92 3.5889E+05 6.3955E+05 2.6978E+02
 93 3.1403E+05 6.7744E+05 2.7251E+02
 94 2.6981E+05 7.1657E+05 2.7535E+02
 95 2.2624E+05 7.5691E+05 2.7806E+02
 96 1.8337E+05 7.9841E+05 2.8065E+02
 97 1.4124E+05 8.4101E+05 2.8311E+02
 98 9.9869E+04 8.8465E+05 2.8546E+02
 99 5.9325E+04 9.2926E+05 2.8768E+02
100 1.9651E+04 9.7477E+05 2.8980E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 7.7911E-06 2.4411E-06
  2 0.0000E+00 7.7911E-06 2.6611E-06
  3 0.0000E+00 7.7911E-06 2.7820E-06
  4 0.0000E+00 7.7911E-06 2.9188E-06
  5 0.0000E+00 7.7911E-06 3.0166E-06
  6 0.0000E+00 7.7911E-06 3.1187E-06
  7 0.0000E+00 7.7911E-06 3.2217E-06
  8 0.0000E+00 7.7911E-06 3.3381E-06
  9 0.0000E+00 7.7911E-06 3.4512E-06
 10 0.0000E+00 7.7911E-06 3.5771E-06
 11 0.0000E+00 7.7911E-06 3.6973E-06
 12 0.0000E+00 7.7911E-06 3.8315E-06
 13 0.0000E+00 7.7911E-06 3.9498E-06
 14 0.0000E+00 7.7911E-06 4.0814E-06
 15 0.0000E+00 7.7911E-06 4.1931E-06
 16 0.0000E+00 7.7911E-06 4.3196E-06
 17 0.0000E+00 7.7911E-06 4.4249E-06
 18 0.0000E+00 7.7911E-06 4.5438E-06
 19 0.0000E+00 7.7911E-06 4.6350E-06
 20 0.0000E+00 7.7911E-06 4.7351E-06
 21 0.0000E+00 7.7911E-06 4.8155E-06
 22 0.0000E+00 7.7911E-06 4.8989E-06
 23 0.0000E+00 7.7911E-06 4.9593E-06
 24 0.0000E+00 7.7911E-06 5.0164E-06
 25 0.0000E+00 7.7911E-06 5.0500E-06
 26 0.0000E+00 7.7911E-06 5.0773E-06
 27 0.0000E+00 7.7911E-06 5.0867E-06
 28 0.0000E+00 7.7911E-06 5.0849E-06
 29 0.0000E+00 7.7911E-06 5.0632E-06
 30 0.0000E+00 7.7911E-06 5.0336E-06
 31 0.0000E+00 7.7911E-06 4.9934E-06
 32 0.0000E+00 7.7911E-06 4.9488E-06
 33 0.0000E+00 7.7911E-06 4.8995E-06
 34 0.0000E+00 7.7911E-06 4.8472E-06
 35 0.0000E+00 7.7911E-06 4.7930E-06
 36 0.0000E+00 7.7911E-06 4.7377E-06
 37 0.0000E+00 7.7911E-06 4.6880E-06
 38 0.0000E+00 7.7911E-06 4.6340E-06
 39 0.0000E+00 7.7911E-06 4.5870E-06
 40 0.0000E+00 7.7911E-06 4.5341E-06
 41 0.0000E+00 7.7911E-06 4.4914E-06
 42 0.0000E+00 7.7911E-06 4.4470E-06
 43 0.0000E+00 7.7911E-06 4.4065E-06
 44 0.0000E+00 7.7911E-06 4.3772E-06
 45 0.0000E+00 7.7911E-06 4.3444E-06
 46 0.0000E+00 7.7911E-06 4.3214E-06
 47 0.0000E+00 7.7911E-06 4.3002E-06
 48 0.0000E+00 7.7911E-06 4.2765E-06
 49 0.0000E+00 7.7911E-06 4.2475E-06
 50 0.0000E+00 7.7911E-06 4.2154E-06
 51 0.0000E+00 7.7911E-06 4.1796E-06
 52 0.0000E+00 7.7911E-06 4.1365E-06
 53 0.0000E+00 7.7911E-06 4.0889E-06
 54 0.0000E+00 7.7911E-06 4.0363E-06
 55 0.0000E+00 7.7911E-06 3.9784E-06
 56 0.0000E+00 7.7911E-06 3.9148E-06
 57 0.0000E+00 7.7911E-06 3.8450E-06
 58 0.0000E+00 7.7911E-06 3.7797E-06
 59 0.0000E+00 7.7911E-06 3.7145E-06
 60 0.0000E+00 7.7911E-06 3.6432E-06
 61 0.0000E+00 7.7911E-06 3.6151E-06
 62 0.0000E+00 7.7911E-06 3.7353E-06
 63 0.0000E+00 7.7911E-06 3.8660E-06
 64 0.0000E+00 7.7911E-06 4.0079E-06
 65 0.0000E+00 7.7911E-06 4.2449E-06
 66 0.0000E+00 7.7911E-06 4.5346E-06
 67 0.0000E+00 7.7911E-06 4.8476E-06
 68 0.0000E+00 7.7911E-06 5.1985E-06
 69 0.0000E+00 7.7911E-06 5.7906E-06
 70 0.0000E+00 7.7911E-06 6.4272E-06
 71 0.0000E+00 7.7911E-06 7.1109E-06
 72 0.0000E+00 7.7911E-06 8.1989E-06
 73 0.0000E+00 7.7911E-06 1.0428E-05
 74 0.0000E+00 7.7911E-06 1.2808E-05
 75 0.0000E+00 7.7911E-06 1.5345E-05
 76 1.1139E-02 1.1161E-02 2.0776E-05
 77 1.1158E-02 1.1182E-02 3.2604E-05
 78 1.1168E-02 1.1204E-02 4.5146E-05
 79 1.1165E-02 1.1226E-02 5.8434E-05
 80 1.1147E-02 1.1248E-02 8.3288E-05
 81 1.1108E-02 1.1272E-02 1.3739E-04
 82 1.1037E-02 1.1295E-02 1.9438E-04
 83 1.0925E-02 1.1320E-02 2.5429E-04
 84 1.0760E-02 1.1344E-02 3.3224E-04
 85 1.0531E-02 1.1370E-02 4.7307E-04
 86 1.0228E-02 1.1395E-02 6.2029E-04
 87 9.8465E-03 1.1422E-02 7.7397E-04
 88 9.3835E-03 1.1448E-02 9.3730E-04
 89 8.8401E-03 1.1474E-02 1.1738E-03
 90 8.2196E-03 1.1500E-02 1.4192E-03
 91 7.5270E-03 1.1526E-02 1.6734E-03
 92 6.7681E-03 1.1552E-02 1.9362E-03
 93 5.9281E-03 1.1577E-02 3.1785E-03
 94 5.0863E-03 1.1601E-02 4.8926E-03
 95 4.2009E-03 1.1624E-02 6.6544E-03
 96 3.2760E-03 1.1643E-02 8.4611E-03
 97 2.3187E-03 1.1658E-02 1.0265E-02
 98 1.3406E-03 1.1667E-02 1.0265E-02
 99 3.5061E-04 1.1671E-02 1.0265E-02
100 0.0000E+00 1.1672E-02 1.0265E-02

  i  Z(km)      P(bar)      T(K)  
  1 7.8564E+06 1.0000E+01 2.0836E+02
  2 7.7434E+06 1.2023E+01 2.0549E+02
  3 7.6319E+06 1.4436E+01 2.0568E+02
  4 7.5209E+06 1.7308E+01 2.0724E+02
  5 7.4098E+06 2.0724E+01 2.0926E+02
  6 7.2985E+06 2.4778E+01 2.1145E+02
  7 7.1869E+06 2.9585E+01 2.1375E+02
  8 7.0751E+06 3.5275E+01 2.1613E+02
  9 6.9629E+06 4.2001E+01 2.1857E+02
 10 6.8504E+06 4.9940E+01 2.2101E+02
 11 6.7376E+06 5.9296E+01 2.2342E+02
 12 6.6246E+06 7.0308E+01 2.2579E+02
 13 6.5113E+06 8.3249E+01 2.2809E+02
 14 6.3980E+06 9.8434E+01 2.3030E+02
 15 6.2845E+06 1.1623E+02 2.3245E+02
 16 6.1711E+06 1.3705E+02 2.3452E+02
 17 6.0576E+06 1.6137E+02 2.3652E+02
 18 5.9442E+06 1.8974E+02 2.3847E+02
 19 5.8309E+06 2.2280E+02 2.4037E+02
 20 5.7178E+06 2.6125E+02 2.4222E+02
 21 5.6048E+06 3.0590E+02 2.4405E+02
 22 5.4921E+06 3.5770E+02 2.4585E+02
 23 5.3796E+06 4.1768E+02 2.4763E+02
 24 5.2673E+06 4.8703E+02 2.4938E+02
 25 5.1553E+06 5.6712E+02 2.5112E+02
 26 5.0437E+06 6.5945E+02 2.5284E+02
 27 4.9323E+06 7.6576E+02 2.5455E+02
 28 4.8213E+06 8.8796E+02 2.5623E+02
 29 4.7106E+06 1.0282E+03 2.5790E+02
 30 4.6004E+06 1.1890E+03 2.5956E+02
 31 4.4905E+06 1.3730E+03 2.6135E+02
 32 4.3810E+06 1.5833E+03 2.6272E+02
 33 4.2723E+06 1.8232E+03 2.6313E+02
 34 4.1648E+06 2.0965E+03 2.6246E+02
 35 4.0588E+06 2.4075E+03 2.6091E+02
 36 3.9547E+06 2.7608E+03 2.5873E+02
 37 3.8526E+06 3.1615E+03 2.5612E+02
 38 3.7527E+06 3.6153E+03 2.5323E+02
 39 3.6550E+06 4.1285E+03 2.5014E+02
 40 3.5596E+06 4.7081E+03 2.4692E+02
 41 3.4665E+06 5.3614E+03 2.4364E+02
 42 3.3756E+06 6.0970E+03 2.4041E+02
 43 3.2869E+06 6.9239E+03 2.3730E+02
 44 3.2004E+06 7.8519E+03 2.3439E+02
 45 3.1158E+06 8.8919E+03 2.3170E+02
 46 3.0331E+06 1.0056E+04 2.2931E+02
 47 2.9522E+06 1.1356E+04 2.2723E+02
 48 2.8729E+06 1.2806E+04 2.2543E+02
 49 2.7951E+06 1.4422E+04 2.2387E+02
 50 2.7187E+06 1.6219E+04 2.2251E+02
 51 2.6438E+06 1.8215E+04 2.2130E+02
 52 2.5701E+06 2.0427E+04 2.2022E+02
 53 2.4977E+06 2.2877E+04 2.1925E+02
 54 2.4265E+06 2.5584E+04 2.1838E+02
 55 2.3564E+06 2.8572E+04 2.1759E+02
 56 2.2875E+06 3.1865E+04 2.1687E+02
 57 2.2198E+06 3.5488E+04 2.1624E+02
 58 2.1531E+06 3.9468E+04 2.1569E+02
 59 2.0874E+06 4.3833E+04 2.1522E+02
 60 2.0228E+06 4.8612E+04 2.1485E+02
 61 1.9591E+06 5.3839E+04 2.1454E+02
 62 1.8964E+06 5.9544E+04 2.1429E+02
 63 1.8347E+06 6.5761E+04 2.1403E+02
 64 1.7740E+06 7.2527E+04 2.1376E+02
 65 1.7142E+06 7.9878E+04 2.1347E+02
 66 1.6553E+06 8.7852E+04 2.1315E+02
 67 1.5975E+06 9.6487E+04 2.1273E+02
 68 1.5406E+06 1.0582E+05 2.1221E+02
 69 1.4848E+06 1.1590E+05 2.1164E+02
 70 1.4300E+06 1.2676E+05 2.1106E+02
 71 1.3761E+06 1.3845E+05 2.1050E+02
 72 1.3233E+06 1.5100E+05 2.1000E+02
 73 1.2715E+06 1.6447E+05 2.0970E+02
 74 1.2205E+06 1.7888E+05 2.0969E+02
 75 1.1704E+06 1.9428E+05 2.1004E+02
 76 1.1210E+06 2.1072E+05 2.1051E+02
 77 1.0724E+06 2.2824E+05 2.1125E+02
 78 1.0243E+06 2.4686E+05 2.1325E+02
 79 9.7635E+05 2.6663E+05 2.1795E+02
 80 9.2823E+05 2.8759E+05 2.2265E+02
 81 8.8001E+05 3.0976E+05 2.2734E+02
 82 8.3173E+05 3.3317E+05 2.3198E+02
 83 7.8344E+05 3.5786E+05 2.3654E+02
 84 7.3520E+05 3.8384E+05 2.4098E+02
 85 6.8706E+05 4.1113E+05 2.4528E+02
 86 6.3910E+05 4.3975E+05 2.4940E+02
 87 5.9138E+05 4.6971E+05 2.5331E+02
 88 5.4398E+05 5.0101E+05 2.5702E+02
 89 4.9696E+05 5.3366E+05 2.6050E+02
 90 4.5040E+05 5.6764E+05 2.6378E+02
 91 4.0435E+05 6.0294E+05 2.6686E+02
 92 3.5886E+05 6.3955E+05 2.6976E+02
 93 3.1401E+05 6.7744E+05 2.7249E+02
 94 2.6979E+05 7.1657E+05 2.7534E+02
 95 2.2623E+05 7.5691E+05 2.7804E+02
 96 1.8336E+05 7.9841E+05 2.8063E+02
 97 1.4123E+05 8.4101E+05 2.8309E+02
 98 9.9864E+04 8.8465E+05 2.8544E+02
 99 5.9322E+04 9.2926E+05 2.8767E+02
100 1.9650E+04 9.7477E+05 2.8979E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 6.3435E-06 2.4411E-06
  2 0.0000E+00 6.3435E-06 2.6611E-06
  3 0.0000E+00 6.3435E-06 2.7820E-06
  4 0.0000E+00 6.3435E-06 2.9188E-06
  5 0.0000E+00 6.3435E-06 3.0166E-06
  6 0.0000E+00 6.3435E-06 3.1187E-06
  7 0.0000E+00 6.3435E-06 3.2217E-06
  8 0.0000E+00 6.3435E-06 3.3381E-06
