                  1         2         3         4         5         6         7         8         9
  1.37E-04  1.06E-06  4.27E-07  1.60E-06  1.82E-06  9.88E-07  2.83E-06  2.75E-06  2.49E-06  1.62E-07
  1.61E-04  1.06E-06  4.27E-07  1.60E-06  1.82E-06  9.88E-07  2.83E-06  2.75E-06  2.50E-06  1.62E-07
  1.89E-04  1.05E-06  4.27E-07  1.60E-06  1.82E-06  9.88E-07  2.83E-06  2.75E-06  2.50E-06  1.62E-07
  2.22E-04  1.05E-06  4.27E-07  1.60E-06  1.82E-06  9.88E-07  2.83E-06  2.75E-06  2.50E-06  1.62E-07
  2.60E-04  1.05E-06  4.27E-07  1.60E-06  1.82E-06  9.88E-07  2.83E-06  2.75E-06  2.50E-06  1.62E-07
  3.05E-04  1.05E-06  4.27E-07  1.60E-06  1.82E-06  9.88E-07  2.83E-06  2.75E-06  2.50E-06  1.63E-07
  3.57E-04  1.05E-06  4.27E-07  1.60E-06  1.82E-06  9.88E-07  2.83E-06  2.75E-06  2.50E-06  1.63E-07
  4.16E-04  1.05E-06  4.26E-07  1.60E-06  1.82E-06  9.88E-07  2.83E-06  2.75E-06  2.50E-06  1.63E-07
  4.85E-04  1.05E-06  4.26E-07  1.60E-06  1.81E-06  9.88E-07  2.83E-06  2.75E-06  2.50E-06  1.63E-07
  5.65E-04  1.05E-06  4.26E-07  1.60E-06  1.81E-06  9.88E-07  2.83E-06  2.75E-06  2.50E-06  1.63E-07
  6.57E-04  1.05E-06  4.25E-07  1.60E-06  1.81E-06  9.87E-07  2.83E-06  2.75E-06  2.50E-06  1.63E-07
  7.63E-04  1.05E-06  4.25E-07  1.59E-06  1.81E-06  9.87E-07  2.83E-06  2.75E-06  2.50E-06  1.63E-07
  8.84E-04  1.04E-06  4.24E-07  1.59E-06  1.81E-06  9.87E-07  2.83E-06  2.75E-06  2.50E-06  1.64E-07
  1.02E-03  1.04E-06  4.24E-07  1.59E-06  1.81E-06  9.86E-07  2.83E-06  2.75E-06  2.50E-06  1.64E-07
  1.18E-03  1.04E-06  4.23E-07  1.59E-06  1.81E-06  9.85E-07  2.83E-06  2.75E-06  2.50E-06  1.64E-07
  1.37E-03  1.04E-06  4.22E-07  1.59E-06  1.81E-06  9.85E-07  2.83E-06  2.75E-06  2.50E-06  1.65E-07
  1.58E-03  1.03E-06  4.21E-07  1.58E-06  1.80E-06  9.83E-07  2.82E-06  2.75E-06  2.50E-06  1.65E-07
  1.81E-03  1.03E-06  4.20E-07  1.58E-06  1.80E-06  9.82E-07  2.82E-06  2.75E-06  2.50E-06  1.65E-07
  2.09E-03  1.02E-06  4.19E-07  1.58E-06  1.80E-06  9.81E-07  2.82E-06  2.74E-06  2.50E-06  1.66E-07
  2.40E-03  1.02E-06  4.17E-07  1.57E-06  1.79E-06  9.79E-07  2.81E-06  2.74E-06  2.50E-06  1.66E-07
  2.75E-03  1.01E-06  4.16E-07  1.57E-06  1.79E-06  9.77E-07  2.81E-06  2.74E-06  2.50E-06  1.66E-07
  3.15E-03  1.01E-06  4.14E-07  1.56E-06  1.78E-06  9.75E-07  2.81E-06  2.74E-06  2.50E-06  1.66E-07
  3.60E-03  9.98E-07  4.11E-07  1.55E-06  1.78E-06  9.73E-07  2.80E-06  2.74E-06  2.49E-06  1.66E-07
  4.11E-03  9.89E-07  4.09E-07  1.55E-06  1.77E-06  9.70E-07  2.80E-06  2.73E-06  2.49E-06  1.66E-07
  4.68E-03  9.79E-07  4.06E-07  1.54E-06  1.77E-06  9.67E-07  2.79E-06  2.73E-06  2.49E-06  1.66E-07
  5.33E-03  9.68E-07  4.03E-07  1.53E-06  1.76E-06  9.63E-07  2.78E-06  2.72E-06  2.49E-06  1.66E-07
  6.06E-03  9.56E-07  3.99E-07  1.52E-06  1.75E-06  9.59E-07  2.77E-06  2.72E-06  2.49E-06  1.67E-07
  6.88E-03  9.43E-07  3.96E-07  1.51E-06  1.74E-06  9.55E-07  2.77E-06  2.71E-06  2.48E-06  1.67E-07
  7.81E-03  9.28E-07  3.91E-07  1.49E-06  1.73E-06  9.50E-07  2.76E-06  2.71E-06  2.48E-06  1.67E-07
  8.84E-03  9.12E-07  3.87E-07  1.48E-06  1.72E-06  9.44E-07  2.74E-06  2.70E-06  2.48E-06  1.68E-07
  9.99E-03  8.95E-07  3.81E-07  1.46E-06  1.70E-06  9.38E-07  2.73E-06  2.70E-06  2.48E-06  1.69E-07
  1.13E-02  8.76E-07  3.76E-07  1.45E-06  1.69E-06  9.31E-07  2.72E-06  2.69E-06  2.47E-06  1.70E-07
  1.27E-02  8.55E-07  3.70E-07  1.43E-06  1.67E-06  9.24E-07  2.70E-06  2.68E-06  2.47E-06  1.72E-07
  1.43E-02  8.33E-07  3.63E-07  1.41E-06  1.65E-06  9.16E-07  2.68E-06  2.67E-06  2.47E-06  1.74E-07
  1.61E-02  8.09E-07  3.55E-07  1.38E-06  1.63E-06  9.06E-07  2.67E-06  2.66E-06  2.47E-06  1.76E-07
  1.81E-02  7.84E-07  3.48E-07  1.36E-06  1.61E-06  8.97E-07  2.65E-06  2.65E-06  2.47E-06  1.79E-07
  2.03E-02  7.58E-07  3.39E-07  1.33E-06  1.59E-06  8.86E-07  2.62E-06  2.63E-06  2.47E-06  1.82E-07
  2.27E-02  7.29E-07  3.30E-07  1.30E-06  1.56E-06  8.74E-07  2.60E-06  2.62E-06  2.47E-06  1.85E-07
  2.54E-02  7.00E-07  3.20E-07  1.27E-06  1.53E-06  8.61E-07  2.57E-06  2.60E-06  2.47E-06  1.86E-07
  2.84E-02  6.70E-07  3.10E-07  1.24E-06  1.50E-06  8.48E-07  2.54E-06  2.59E-06  2.46E-06  1.88E-07
  3.16E-02  6.38E-07  2.99E-07  1.20E-06  1.47E-06  8.33E-07  2.51E-06  2.57E-06  2.46E-06  1.90E-07
  3.52E-02  6.06E-07  2.88E-07  1.17E-06  1.43E-06  8.17E-07  2.48E-06  2.55E-06  2.45E-06  1.91E-07
  3.92E-02  5.74E-07  2.77E-07  1.13E-06  1.40E-06  8.00E-07  2.44E-06  2.52E-06  2.44E-06  1.92E-07
  4.35E-02  5.41E-07  2.65E-07  1.09E-06  1.36E-06  7.82E-07  2.40E-06  2.50E-06  2.43E-06  1.93E-07
  4.82E-02  5.09E-07  2.52E-07  1.05E-06  1.32E-06  7.62E-07  2.36E-06  2.48E-06  2.42E-06  1.93E-07
  5.34E-02  4.77E-07  2.40E-07  1.00E-06  1.28E-06  7.42E-07  2.31E-06  2.45E-06  2.41E-06  1.94E-07
  5.91E-02  4.46E-07  2.27E-07  9.58E-07  1.23E-06  7.21E-07  2.26E-06  2.42E-06  2.40E-06  1.95E-07
  6.52E-02  4.16E-07  2.14E-07  9.13E-07  1.19E-06  6.98E-07  2.21E-06  2.39E-06  2.39E-06  1.95E-07
  7.20E-02  3.87E-07  2.02E-07  8.66E-07  1.14E-06  6.75E-07  2.16E-06  2.35E-06  2.37E-06  1.97E-07
  7.92E-02  3.60E-07  1.89E-07  8.20E-07  1.09E-06  6.51E-07  2.10E-06  2.32E-06  2.36E-06  1.99E-07
  8.71E-02  3.35E-07  1.77E-07  7.74E-07  1.04E-06  6.26E-07  2.04E-06  2.28E-06  2.34E-06  2.01E-07
  9.57E-02  3.13E-07  1.66E-07  7.29E-07  9.90E-07  6.00E-07  1.98E-06  2.24E-06  2.33E-06  2.03E-07
  1.05E-01  2.92E-07  1.55E-07  6.84E-07  9.39E-07  5.74E-07  1.92E-06  2.19E-06  2.31E-06  2.03E-07
  1.15E-01  2.74E-07  1.44E-07  6.41E-07  8.89E-07  5.48E-07  1.85E-06  2.15E-06  2.29E-06  2.03E-07
  1.26E-01  2.57E-07  1.34E-07  5.99E-07  8.39E-07  5.21E-07  1.78E-06  2.10E-06  2.26E-06  2.02E-07
  1.37E-01  2.43E-07  1.25E-07  5.59E-07  7.90E-07  4.94E-07  1.71E-06  2.05E-06  2.24E-06  2.02E-07
  1.50E-01  2.31E-07  1.17E-07  5.22E-07  7.42E-07  4.68E-07  1.64E-06  2.00E-06  2.24E-06  2.16E-07
  1.63E-01  2.20E-07  1.09E-07  4.87E-07  6.96E-07  4.42E-07  1.57E-06  1.95E-06  2.27E-06  2.47E-07
  1.77E-01  2.11E-07  1.03E-07  4.54E-07  6.51E-07  4.16E-07  1.50E-06  1.90E-06  2.30E-06  2.81E-07
  1.93E-01  2.04E-07  9.66E-08  4.24E-07  6.09E-07  3.91E-07  1.43E-06  1.85E-06  2.34E-06  3.20E-07
  2.09E-01  1.97E-07  9.13E-08  3.97E-07  5.69E-07  3.67E-07  1.36E-06  1.80E-06  2.54E-06  4.33E-07
  2.26E-01  1.91E-07  8.67E-08  3.73E-07  5.31E-07  3.44E-07  1.29E-06  1.81E-06  3.28E-06  8.34E-07
  2.45E-01  1.86E-07  8.26E-08  3.51E-07  4.96E-07  3.22E-07  1.22E-06  1.82E-06  4.14E-06  1.29E-06
  2.64E-01  1.81E-07  7.91E-08  3.31E-07  4.64E-07  3.01E-07  1.15E-06  1.85E-06  5.11E-06  1.76E-06
  2.85E-01  1.77E-07  7.60E-08  3.14E-07  4.35E-07  2.82E-07  1.08E-06  1.90E-06  6.44E-06  2.40E-06
  3.07E-01  1.72E-07  7.33E-08  2.99E-07  4.08E-07  2.64E-07  1.02E-06  2.33E-06  1.23E-05  5.21E-06
  3.30E-01  1.68E-07  7.08E-08  2.85E-07  3.84E-07  2.47E-07  9.57E-07  2.89E-06  1.96E-05  8.71E-06
  3.55E-01  1.64E-07  6.86E-08  2.73E-07  3.63E-07  2.32E-07  8.99E-07  3.51E-06  2.72E-05  1.23E-05
  3.80E-01  1.60E-07  6.65E-08  2.63E-07  3.43E-07  2.18E-07  8.44E-07  4.18E-06  3.58E-05  1.63E-05
  4.07E-01  1.55E-07  6.46E-08  2.53E-07  3.26E-07  2.05E-07  7.92E-07  5.90E-06  5.64E-05  2.61E-05
