  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 45 1.1112E-02 2.7163E+03 4.2626E+07
 46 1.2571E-02 2.7163E+03 4.1067E+07
 47 1.4202E-02 2.7163E+03 3.9652E+07
 48 1.6021E-02 2.7163E+03 3.8352E+07
 49 1.8048E-02 2.7163E+03 3.7395E+07
 50 2.0303E-02 2.7163E+03 3.6749E+07
 51 2.2807E-02 2.7163E+03 3.6044E+07
 52 2.5583E-02 4.5508E+03 4.1882E+07
 53 2.8657E-02 7.7272E+03 4.8734E+07
 54 3.2055E-02 1.2353E+04 5.5400E+07
 55 3.5806E-02 1.7928E+04 6.0788E+07
 56 3.9939E-02 2.4275E+04 6.4998E+07
 57 4.4486E-02 3.1167E+04 6.8124E+07
 58 4.9481E-02 3.8302E+04 7.0234E+07
 59 5.4959E-02 4.5636E+04 7.1553E+07
 60 6.0957E-02 5.3203E+04 7.2272E+07
 61 6.7515E-02 6.1035E+04 7.2521E+07
 62 7.4672E-02 6.9085E+04 7.2365E+07
 63 8.2472E-02 7.7165E+04 7.1816E+07
 64 9.0957E-02 8.4881E+04 7.0837E+07
 65 1.0017E-01 9.2004E+04 6.9459E+07
 66 1.1017E-01 9.8361E+04 6.7727E+07
 67 1.2099E-01 1.0379E+05 6.5681E+07
 68 1.3269E-01 1.0862E+05 6.3480E+07
 69 1.4531E-01 1.1331E+05 6.1234E+07
 70 1.5891E-01 1.1813E+05 5.8983E+07
 71 1.7354E-01 1.2346E+05 5.6784E+07
 72 1.8924E-01 1.2941E+05 5.4643E+07
 73 2.0608E-01 1.3601E+05 5.2549E+07
 74 2.2409E-01 1.4301E+05 5.0460E+07
 75 2.4334E-01 1.4999E+05 4.8327E+07
 76 2.6387E-01 1.5654E+05 4.6119E+07
 77 2.8572E-01 1.6221E+05 4.3815E+07
 78 3.0895E-01 1.6668E+05 4.1413E+07
 79 3.3359E-01 1.6982E+05 3.8934E+07
 80 3.5970E-01 1.7159E+05 3.6401E+07
 81 3.8729E-01 1.7215E+05 3.3847E+07
 82 4.1642E-01 1.7168E+05 3.1302E+07
 83 4.4710E-01 1.7039E+05 2.8792E+07
 84 4.7937E-01 1.6851E+05 2.6338E+07
 85 5.1324E-01 1.6621E+05 2.3955E+07
 86 5.4873E-01 1.6363E+05 2.1654E+07
 87 5.8584E-01 1.6087E+05 1.9441E+07
 88 6.2459E-01 1.5800E+05 1.7322E+07
 89 6.6495E-01 1.5506E+05 1.5297E+07
 90 7.0692E-01 1.5211E+05 1.3371E+07
 91 7.5048E-01 1.4915E+05 1.1544E+07
 92 7.9560E-01 1.4619E+05 9.8174E+06
 93 8.4225E-01 1.4325E+05 8.1939E+06
 94 8.9037E-01 1.4037E+05 6.6758E+06
 95 9.3991E-01 1.3753E+05 5.2655E+06
 96 9.9080E-01 1.3458E+05 5.1272E+06
 97 1.0430E+00 1.3146E+05 5.0262E+06
 98 1.0964E+00 1.2817E+05 4.9267E+06
 99 1.1508E+00 1.2508E+05 4.8332E+06
100 1.2063E+00 1.2229E+05 8.1612E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8054E+08
  2 1.4513E-05 2.7163E+03 4.6299E+08
  3 1.7446E-05 2.7163E+03 4.4247E+08
  4 2.0943E-05 2.7163E+03 4.1815E+08
  5 2.5106E-05 2.7163E+03 3.9147E+08
  6 3.0053E-05 2.7163E+03 3.6455E+08
  7 3.5924E-05 2.7163E+03 3.3889E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9373E+08
 10 6.0842E-05 2.7163E+03 2.7424E+08
 11 7.2318E-05 2.7163E+03 2.5653E+08
 12 8.5838E-05 2.7163E+03 2.4035E+08
 13 1.0174E-04 2.7163E+03 2.2550E+08
 14 1.2042E-04 2.7163E+03 2.1182E+08
 15 1.4233E-04 2.7163E+03 1.9918E+08
 16 1.6799E-04 2.7163E+03 1.8747E+08
 17 1.9799E-04 2.7163E+03 1.7660E+08
 18 2.3302E-04 2.7163E+03 1.6650E+08
 19 2.7386E-04 2.7163E+03 1.5710E+08
 20 3.2141E-04 2.7163E+03 1.4835E+08
 21 3.7668E-04 2.7163E+03 1.4022E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2565E+08
 24 6.0121E-04 2.7163E+03 1.1910E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0710E+08
 27 9.4745E-04 2.7163E+03 1.0154E+08
 28 1.0994E-03 2.7163E+03 9.6226E+07
 29 1.2740E-03 2.7163E+03 9.1147E+07
 30 1.4742E-03 2.7163E+03 8.6311E+07
 31 1.7035E-03 2.7163E+03 8.1735E+07
 32 1.9657E-03 2.7163E+03 7.7443E+07
 33 2.2649E-03 2.7163E+03 7.3450E+07
 34 2.6061E-03 2.7163E+03 6.9759E+07
 35 2.9945E-03 2.7163E+03 6.6361E+07
 36 3.4358E-03 2.7163E+03 6.3227E+07
 37 3.9366E-03 2.7163E+03 6.0315E+07
 38 4.5041E-03 2.7163E+03 5.7577E+07
 39 5.1461E-03 2.7163E+03 5.5032E+07
 40 5.8713E-03 2.7163E+03 5.2675E+07
 41 6.6892E-03 2.7163E+03 5.0423E+07
 42 7.6103E-03 2.7163E+03 4.8255E+07
 43 8.6461E-03 2.7163E+03 4.6259E+07
 44 9.8089E-03 2.7163E+03 4.4348E+07
 45 1.1112E-02 2.7163E+03 4.2626E+07
 46 1.2571E-02 2.7163E+03 4.1067E+07
 47 1.4202E-02 2.7163E+03 3.9652E+07
 48 1.6021E-02 2.7163E+03 3.8351E+07
 49 1.8048E-02 2.7163E+03 3.7393E+07
 50 2.0303E-02 2.7163E+03 3.6746E+07
 51 2.2807E-02 2.7163E+03 3.6041E+07
 52 2.5583E-02 4.5581E+03 4.1902E+07
 53 2.8657E-02 7.7335E+03 4.8745E+07
 54 3.2055E-02 1.2359E+04 5.5405E+07
 55 3.5806E-02 1.7932E+04 6.0790E+07
 56 3.9939E-02 2.4278E+04 6.4999E+07
 57 4.4486E-02 3.1169E+04 6.8124E+07
 58 4.9481E-02 3.8304E+04 7.0234E+07
 59 5.4959E-02 4.5637E+04 7.1553E+07
 60 6.0957E-02 5.3204E+04 7.2272E+07
 61 6.7515E-02 6.1036E+04 7.2521E+07
 62 7.4672E-02 6.9085E+04 7.2365E+07
 63 8.2472E-02 7.7166E+04 7.1816E+07
 64 9.0957E-02 8.4881E+04 7.0837E+07
 65 1.0017E-01 9.2004E+04 6.9458E+07
 66 1.1017E-01 9.8361E+04 6.7727E+07
 67 1.2099E-01 1.0379E+05 6.5681E+07
 68 1.3269E-01 1.0862E+05 6.3480E+07
 69 1.4531E-01 1.1331E+05 6.1234E+07
 70 1.5891E-01 1.1813E+05 5.8982E+07
 71 1.7354E-01 1.2346E+05 5.6784E+07
 72 1.8924E-01 1.2941E+05 5.4643E+07
 73 2.0608E-01 1.3601E+05 5.2549E+07
 74 2.2409E-01 1.4301E+05 5.0460E+07
 75 2.4334E-01 1.4999E+05 4.8327E+07
 76 2.6387E-01 1.5654E+05 4.6119E+07
 77 2.8572E-01 1.6221E+05 4.3815E+07
 78 3.0895E-01 1.6668E+05 4.1413E+07
 79 3.3359E-01 1.6981E+05 3.8934E+07
 80 3.5970E-01 1.7159E+05 3.6401E+07
 81 3.8729E-01 1.7215E+05 3.3847E+07
 82 4.1642E-01 1.7168E+05 3.1303E+07
 83 4.4710E-01 1.7039E+05 2.8792E+07
 84 4.7937E-01 1.6851E+05 2.6338E+07
 85 5.1324E-01 1.6621E+05 2.3956E+07
 86 5.4873E-01 1.6362E+05 2.1654E+07
 87 5.8584E-01 1.6087E+05 1.9441E+07
 88 6.2459E-01 1.5800E+05 1.7322E+07
 89 6.6495E-01 1.5506E+05 1.5297E+07
 90 7.0692E-01 1.5211E+05 1.3371E+07
 91 7.5048E-01 1.4915E+05 1.1544E+07
 92 7.9560E-01 1.4619E+05 9.8174E+06
 93 8.4225E-01 1.4325E+05 8.1939E+06
 94 8.9037E-01 1.4037E+05 6.6758E+06
 95 9.3991E-01 1.3753E+05 5.2655E+06
 96 9.9080E-01 1.3458E+05 5.1272E+06
 97 1.0430E+00 1.3146E+05 5.0262E+06
 98 1.0964E+00 1.2817E+05 4.9267E+06
 99 1.1508E+00 1.2508E+05 4.8332E+06
100 1.2063E+00 1.2229E+05 8.1613E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8050E+08
  2 1.4513E-05 2.7163E+03 4.6294E+08
  3 1.7446E-05 2.7163E+03 4.4242E+08
  4 2.0943E-05 2.7163E+03 4.1813E+08
  5 2.5106E-05 2.7163E+03 3.9146E+08
  6 3.0053E-05 2.7163E+03 3.6455E+08
  7 3.5924E-05 2.7163E+03 3.3889E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9373E+08
 10 6.0842E-05 2.7163E+03 2.7424E+08
 11 7.2318E-05 2.7163E+03 2.5653E+08
 12 8.5838E-05 2.7163E+03 2.4035E+08
 13 1.0174E-04 2.7163E+03 2.2550E+08
 14 1.2042E-04 2.7163E+03 2.1182E+08
 15 1.4233E-04 2.7163E+03 1.9918E+08
 16 1.6799E-04 2.7163E+03 1.8747E+08
 17 1.9799E-04 2.7163E+03 1.7660E+08
 18 2.3302E-04 2.7163E+03 1.6650E+08
 19 2.7386E-04 2.7163E+03 1.5709E+08
 20 3.2141E-04 2.7163E+03 1.4835E+08
 21 3.7668E-04 2.7163E+03 1.4022E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2565E+08
 24 6.0121E-04 2.7163E+03 1.1910E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0710E+08
 27 9.4745E-04 2.7163E+03 1.0154E+08
 28 1.0994E-03 2.7163E+03 9.6227E+07
 29 1.2740E-03 2.7163E+03 9.1147E+07
 30 1.4742E-03 2.7163E+03 8.6311E+07
 31 1.7035E-03 2.7163E+03 8.1735E+07
 32 1.9657E-03 2.7163E+03 7.7443E+07
 33 2.2649E-03 2.7163E+03 7.3449E+07
 34 2.6061E-03 2.7163E+03 6.9759E+07
 35 2.9945E-03 2.7163E+03 6.6361E+07
 36 3.4358E-03 2.7163E+03 6.3228E+07
 37 3.9366E-03 2.7163E+03 6.0315E+07
 38 4.5041E-03 2.7163E+03 5.7577E+07
 39 5.1461E-03 2.7163E+03 5.5032E+07
 40 5.8713E-03 2.7163E+03 5.2675E+07
 41 6.6892E-03 2.7163E+03 5.0424E+07
 42 7.6103E-03 2.7163E+03 4.8255E+07
 43 8.6461E-03 2.7163E+03 4.6258E+07
 44 9.8089E-03 2.7163E+03 4.4349E+07
 45 1.1112E-02 2.7163E+03 4.2626E+07
 46 1.2571E-02 2.7163E+03 4.1066E+07
 47 1.4202E-02 2.7163E+03 3.9652E+07
 48 1.6021E-02 2.7163E+03 3.8350E+07
 49 1.8048E-02 2.7163E+03 3.7390E+07
 50 2.0303E-02 2.7163E+03 3.6744E+07
 51 2.2807E-02 2.7163E+03 3.6039E+07
 52 2.5583E-02 4.5649E+03 4.1921E+07
 53 2.8657E-02 7.7393E+03 4.8755E+07
 54 3.2055E-02 1.2363E+04 5.5410E+07
 55 3.5806E-02 1.7936E+04 6.0793E+07
 56 3.9939E-02 2.4281E+04 6.5000E+07
 57 4.4486E-02 3.1172E+04 6.8125E+07
 58 4.9481E-02 3.8305E+04 7.0234E+07
 59 5.4959E-02 4.5638E+04 7.1553E+07
 60 6.0957E-02 5.3205E+04 7.2272E+07
 61 6.7515E-02 6.1036E+04 7.2520E+07
 62 7.4672E-02 6.9086E+04 7.2364E+07
 63 8.2472E-02 7.7166E+04 7.1816E+07
 64 9.0957E-02 8.4881E+04 7.0837E+07
 65 1.0017E-01 9.2004E+04 6.9458E+07
 66 1.1017E-01 9.8361E+04 6.7727E+07
 67 1.2099E-01 1.0379E+05 6.5681E+07
 68 1.3269E-01 1.0862E+05 6.3480E+07
 69 1.4531E-01 1.1330E+05 6.1234E+07
 70 1.5891E-01 1.1813E+05 5.8982E+07
 71 1.7354E-01 1.2346E+05 5.6784E+07
 72 1.8924E-01 1.2941E+05 5.4643E+07
 73 2.0608E-01 1.3601E+05 5.2549E+07
 74 2.2409E-01 1.4301E+05 5.0460E+07
 75 2.4334E-01 1.4999E+05 4.8327E+07
 76 2.6387E-01 1.5654E+05 4.6120E+07
 77 2.8572E-01 1.6221E+05 4.3815E+07
 78 3.0895E-01 1.6667E+05 4.1413E+07
 79 3.3359E-01 1.6981E+05 3.8934E+07
 80 3.5970E-01 1.7159E+05 3.6401E+07
 81 3.8729E-01 1.7214E+05 3.3847E+07
 82 4.1642E-01 1.7168E+05 3.1303E+07
 83 4.4710E-01 1.7039E+05 2.8792E+07
 84 4.7937E-01 1.6851E+05 2.6338E+07
 85 5.1324E-01 1.6621E+05 2.3956E+07
 86 5.4873E-01 1.6362E+05 2.1654E+07
 87 5.8584E-01 1.6087E+05 1.9441E+07
 88 6.2459E-01 1.5800E+05 1.7322E+07
 89 6.6495E-01 1.5506E+05 1.5298E+07
 90 7.0692E-01 1.5211E+05 1.3371E+07
 91 7.5048E-01 1.4915E+05 1.1544E+07
 92 7.9560E-01 1.4619E+05 9.8175E+06
 93 8.4225E-01 1.4325E+05 8.1940E+06
 94 8.9037E-01 1.4037E+05 6.6759E+06
 95 9.3991E-01 1.3753E+05 5.2655E+06
 96 9.9080E-01 1.3458E+05 5.1273E+06
 97 1.0430E+00 1.3146E+05 5.0262E+06
 98 1.0964E+00 1.2817E+05 4.9267E+06
 99 1.1508E+00 1.2508E+05 4.8333E+06
100 1.2063E+00 1.2229E+05 8.1613E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8066E+08
  2 1.4513E-05 2.7163E+03 4.6302E+08
  3 1.7446E-05 2.7163E+03 4.4243E+08
  4 2.0943E-05 2.7163E+03 4.1812E+08
  5 2.5106E-05 2.7163E+03 3.9146E+08
  6 3.0053E-05 2.7163E+03 3.6456E+08
  7 3.5924E-05 2.7163E+03 3.3890E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9373E+08
 10 6.0842E-05 2.7163E+03 2.7424E+08
 11 7.2318E-05 2.7163E+03 2.5653E+08
 12 8.5838E-05 2.7163E+03 2.4035E+08
 13 1.0174E-04 2.7163E+03 2.2550E+08
 14 1.2042E-04 2.7163E+03 2.1182E+08
 15 1.4233E-04 2.7163E+03 1.9918E+08
 16 1.6799E-04 2.7163E+03 1.8747E+08
 17 1.9799E-04 2.7163E+03 1.7660E+08
 18 2.3302E-04 2.7163E+03 1.6649E+08
 19 2.7386E-04 2.7163E+03 1.5709E+08
 20 3.2141E-04 2.7163E+03 1.4835E+08
 21 3.7668E-04 2.7163E+03 1.4022E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2565E+08
 24 6.0121E-04 2.7163E+03 1.1910E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0710E+08
 27 9.4745E-04 2.7163E+03 1.0154E+08
 28 1.0994E-03 2.7163E+03 9.6227E+07
 29 1.2740E-03 2.7163E+03 9.1148E+07
 30 1.4742E-03 2.7163E+03 8.6311E+07
 31 1.7035E-03 2.7163E+03 8.1736E+07
 32 1.9657E-03 2.7163E+03 7.7443E+07
 33 2.2649E-03 2.7163E+03 7.3449E+07
 34 2.6061E-03 2.7163E+03 6.9759E+07
 35 2.9945E-03 2.7163E+03 6.6362E+07
 36 3.4358E-03 2.7163E+03 6.3228E+07
 37 3.9366E-03 2.7163E+03 6.0315E+07
 38 4.5041E-03 2.7163E+03 5.7576E+07
 39 5.1461E-03 2.7163E+03 5.5032E+07
 40 5.8713E-03 2.7163E+03 5.2675E+07
 41 6.6892E-03 2.7163E+03 5.0424E+07
 42 7.6103E-03 2.7163E+03 4.8255E+07
 43 8.6461E-03 2.7163E+03 4.6258E+07
 44 9.8089E-03 2.7163E+03 4.4349E+07
 45 1.1112E-02 2.7163E+03 4.2625E+07
 46 1.2571E-02 2.7163E+03 4.1066E+07
 47 1.4202E-02 2.7163E+03 3.9651E+07
 48 1.6021E-02 2.7163E+03 3.8348E+07
 49 1.8048E-02 2.7163E+03 3.7388E+07
 50 2.0303E-02 2.7163E+03 3.6742E+07
 51 2.2807E-02 2.7163E+03 3.6038E+07
 52 2.5583E-02 4.5709E+03 4.1937E+07
 53 2.8657E-02 7.7445E+03 4.8764E+07
 54 3.2055E-02 1.2368E+04 5.5415E+07
 55 3.5806E-02 1.7939E+04 6.0795E+07
 56 3.9939E-02 2.4284E+04 6.5001E+07
 57 4.4486E-02 3.1174E+04 6.8125E+07
 58 4.9481E-02 3.8307E+04 7.0234E+07
 59 5.4959E-02 4.5639E+04 7.1553E+07
 60 6.0957E-02 5.3205E+04 7.2271E+07
 61 6.7515E-02 6.1037E+04 7.2520E+07
 62 7.4672E-02 6.9086E+04 7.2364E+07
 63 8.2472E-02 7.7166E+04 7.1815E+07
 64 9.0957E-02 8.4881E+04 7.0836E+07
 65 1.0017E-01 9.2004E+04 6.9458E+07
 66 1.1017E-01 9.8361E+04 6.7726E+07
 67 1.2099E-01 1.0378E+05 6.5680E+07
 68 1.3269E-01 1.0862E+05 6.3480E+07
 69 1.4531E-01 1.1330E+05 6.1233E+07
 70 1.5891E-01 1.1813E+05 5.8982E+07
 71 1.7354E-01 1.2346E+05 5.6784E+07
 72 1.8924E-01 1.2941E+05 5.4643E+07
 73 2.0608E-01 1.3601E+05 5.2549E+07
 74 2.2409E-01 1.4300E+05 5.0460E+07
 75 2.4334E-01 1.4999E+05 4.8327E+07
 76 2.6387E-01 1.5654E+05 4.6120E+07
 77 2.8572E-01 1.6220E+05 4.3815E+07
 78 3.0895E-01 1.6667E+05 4.1413E+07
 79 3.3359E-01 1.6981E+05 3.8934E+07
 80 3.5970E-01 1.7159E+05 3.6401E+07
 81 3.8729E-01 1.7214E+05 3.3847E+07
 82 4.1642E-01 1.7168E+05 3.1303E+07
 83 4.4710E-01 1.7039E+05 2.8792E+07
 84 4.7937E-01 1.6851E+05 2.6338E+07
 85 5.1324E-01 1.6621E+05 2.3956E+07
 86 5.4873E-01 1.6362E+05 2.1654E+07
 87 5.8584E-01 1.6087E+05 1.9441E+07
 88 6.2459E-01 1.5800E+05 1.7322E+07
 89 6.6495E-01 1.5506E+05 1.5298E+07
 90 7.0692E-01 1.5211E+05 1.3371E+07
 91 7.5048E-01 1.4915E+05 1.1544E+07
 92 7.9560E-01 1.4619E+05 9.8175E+06
 93 8.4225E-01 1.4325E+05 8.1941E+06
 94 8.9037E-01 1.4037E+05 6.6759E+06
 95 9.3991E-01 1.3753E+05 5.2655E+06
 96 9.9080E-01 1.3458E+05 5.1273E+06
 97 1.0430E+00 1.3146E+05 5.0262E+06
 98 1.0964E+00 1.2817E+05 4.9268E+06
 99 1.1508E+00 1.2508E+05 4.8333E+06
100 1.2063E+00 1.2229E+05 8.1614E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8065E+08
  2 1.4513E-05 2.7163E+03 4.6303E+08
  3 1.7446E-05 2.7163E+03 4.4245E+08
  4 2.0943E-05 2.7163E+03 4.1813E+08
  5 2.5106E-05 2.7163E+03 3.9147E+08
  6 3.0053E-05 2.7163E+03 3.6456E+08
  7 3.5924E-05 2.7163E+03 3.3890E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9373E+08
 10 6.0842E-05 2.7163E+03 2.7424E+08
 11 7.2318E-05 2.7163E+03 2.5653E+08
 12 8.5838E-05 2.7163E+03 2.4035E+08
 13 1.0174E-04 2.7163E+03 2.2550E+08
 14 1.2042E-04 2.7163E+03 2.1182E+08
 15 1.4233E-04 2.7163E+03 1.9918E+08
 16 1.6799E-04 2.7163E+03 1.8747E+08
 17 1.9799E-04 2.7163E+03 1.7660E+08
 18 2.3302E-04 2.7163E+03 1.6649E+08
 19 2.7386E-04 2.7163E+03 1.5709E+08
 20 3.2141E-04 2.7163E+03 1.4835E+08
 21 3.7668E-04 2.7163E+03 1.4022E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2565E+08
 24 6.0121E-04 2.7163E+03 1.1910E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0710E+08
 27 9.4745E-04 2.7163E+03 1.0154E+08
 28 1.0994E-03 2.7163E+03 9.6227E+07
 29 1.2740E-03 2.7163E+03 9.1148E+07
 30 1.4742E-03 2.7163E+03 8.6311E+07
 31 1.7035E-03 2.7163E+03 8.1736E+07
 32 1.9657E-03 2.7163E+03 7.7443E+07
 33 2.2649E-03 2.7163E+03 7.3449E+07
 34 2.6061E-03 2.7163E+03 6.9759E+07
 35 2.9945E-03 2.7163E+03 6.6362E+07
 36 3.4358E-03 2.7163E+03 6.3228E+07
 37 3.9366E-03 2.7163E+03 6.0315E+07
 38 4.5041E-03 2.7163E+03 5.7575E+07
 39 5.1461E-03 2.7163E+03 5.5032E+07
 40 5.8713E-03 2.7163E+03 5.2675E+07
 41 6.6892E-03 2.7163E+03 5.0425E+07
 42 7.6103E-03 2.7163E+03 4.8255E+07
 43 8.6461E-03 2.7163E+03 4.6257E+07
 44 9.8089E-03 2.7163E+03 4.4349E+07
 45 1.1112E-02 2.7163E+03 4.2625E+07
 46 1.2571E-02 2.7163E+03 4.1065E+07
 47 1.4202E-02 2.7163E+03 3.9651E+07
 48 1.6021E-02 2.7163E+03 3.8347E+07
 49 1.8048E-02 2.7163E+03 3.7386E+07
 50 2.0303E-02 2.7163E+03 3.6740E+07
 51 2.2807E-02 2.7163E+03 3.6036E+07
 52 2.5583E-02 4.5749E+03 4.1947E+07
 53 2.8657E-02 7.7476E+03 4.8769E+07
 54 3.2055E-02 1.2370E+04 5.5417E+07
 55 3.5806E-02 1.7941E+04 6.0796E+07
 56 3.9939E-02 2.4285E+04 6.5001E+07
 57 4.4486E-02 3.1174E+04 6.8124E+07
 58 4.9481E-02 3.8307E+04 7.0233E+07
 59 5.4959E-02 4.5639E+04 7.1552E+07
 60 6.0957E-02 5.3205E+04 7.2271E+07
 61 6.7515E-02 6.1037E+04 7.2520E+07
 62 7.4672E-02 6.9086E+04 7.2364E+07
 63 8.2472E-02 7.7166E+04 7.1815E+07
 64 9.0957E-02 8.4881E+04 7.0836E+07
 65 1.0017E-01 9.2003E+04 6.9458E+07
 66 1.1017E-01 9.8360E+04 6.7726E+07
 67 1.2099E-01 1.0378E+05 6.5680E+07
 68 1.3269E-01 1.0862E+05 6.3480E+07
 69 1.4531E-01 1.1330E+05 6.1234E+07
 70 1.5891E-01 1.1813E+05 5.8982E+07
 71 1.7354E-01 1.2346E+05 5.6784E+07
 72 1.8924E-01 1.2941E+05 5.4643E+07
 73 2.0608E-01 1.3601E+05 5.2549E+07
 74 2.2409E-01 1.4300E+05 5.0460E+07
 75 2.4334E-01 1.4998E+05 4.8327E+07
 76 2.6387E-01 1.5654E+05 4.6120E+07
 77 2.8572E-01 1.6220E+05 4.3815E+07
 78 3.0895E-01 1.6667E+05 4.1413E+07
 79 3.3359E-01 1.6981E+05 3.8934E+07
 80 3.5970E-01 1.7158E+05 3.6401E+07
 81 3.8729E-01 1.7214E+05 3.3847E+07
 82 4.1642E-01 1.7168E+05 3.1303E+07
 83 4.4710E-01 1.7039E+05 2.8792E+07
 84 4.7937E-01 1.6851E+05 2.6338E+07
 85 5.1324E-01 1.6621E+05 2.3956E+07
 86 5.4873E-01 1.6362E+05 2.1654E+07
 87 5.8584E-01 1.6087E+05 1.9442E+07
 88 6.2459E-01 1.5800E+05 1.7322E+07
 89 6.6495E-01 1.5506E+05 1.5298E+07
 90 7.0692E-01 1.5211E+05 1.3371E+07
 91 7.5048E-01 1.4915E+05 1.1544E+07
 92 7.9560E-01 1.4619E+05 9.8176E+06
 93 8.4225E-01 1.4325E+05 8.1941E+06
 94 8.9037E-01 1.4037E+05 6.6760E+06
 95 9.3991E-01 1.3753E+05 5.2655E+06
 96 9.9080E-01 1.3458E+05 5.1273E+06
 97 1.0430E+00 1.3146E+05 5.0263E+06
 98 1.0964E+00 1.2817E+05 4.9268E+06
 99 1.1508E+00 1.2508E+05 4.8334E+06
100 1.2063E+00 1.2229E+05 8.1615E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8088E+08
  2 1.4513E-05 2.7163E+03 4.6320E+08
  3 1.7446E-05 2.7163E+03 4.4256E+08
  4 2.0943E-05 2.7163E+03 4.1818E+08
  5 2.5106E-05 2.7163E+03 3.9148E+08
  6 3.0053E-05 2.7163E+03 3.6456E+08
  7 3.5924E-05 2.7163E+03 3.3890E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9373E+08
 10 6.0842E-05 2.7163E+03 2.7424E+08
 11 7.2318E-05 2.7163E+03 2.5653E+08
 12 8.5838E-05 2.7163E+03 2.4035E+08
 13 1.0174E-04 2.7163E+03 2.2550E+08
 14 1.2042E-04 2.7163E+03 2.1182E+08
 15 1.4233E-04 2.7163E+03 1.9918E+08
 16 1.6799E-04 2.7163E+03 1.8747E+08
 17 1.9799E-04 2.7163E+03 1.7660E+08
 18 2.3302E-04 2.7163E+03 1.6649E+08
 19 2.7386E-04 2.7163E+03 1.5709E+08
 20 3.2141E-04 2.7163E+03 1.4835E+08
 21 3.7668E-04 2.7163E+03 1.4022E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2565E+08
 24 6.0121E-04 2.7163E+03 1.1910E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0710E+08
 27 9.4745E-04 2.7163E+03 1.0154E+08
 28 1.0994E-03 2.7163E+03 9.6227E+07
 29 1.2740E-03 2.7163E+03 9.1148E+07
 30 1.4742E-03 2.7163E+03 8.6311E+07
 31 1.7035E-03 2.7163E+03 8.1736E+07
 32 1.9657E-03 2.7163E+03 7.7443E+07
 33 2.2649E-03 2.7163E+03 7.3449E+07
 34 2.6061E-03 2.7163E+03 6.9760E+07
 35 2.9945E-03 2.7163E+03 6.6362E+07
 36 3.4358E-03 2.7163E+03 6.3229E+07
 37 3.9366E-03 2.7163E+03 6.0315E+07
 38 4.5041E-03 2.7163E+03 5.7575E+07
 39 5.1461E-03 2.7163E+03 5.5032E+07
 40 5.8713E-03 2.7163E+03 5.2675E+07
 41 6.6892E-03 2.7163E+03 5.0425E+07
 42 7.6103E-03 2.7163E+03 4.8255E+07
 43 8.6461E-03 2.7163E+03 4.6257E+07
 44 9.8089E-03 2.7163E+03 4.4349E+07
 45 1.1112E-02 2.7163E+03 4.2625E+07
 46 1.2571E-02 2.7163E+03 4.1064E+07
 47 1.4202E-02 2.7163E+03 3.9651E+07
 48 1.6021E-02 2.7163E+03 3.8346E+07
 49 1.8048E-02 2.7163E+03 3.7384E+07
 50 2.0303E-02 2.7163E+03 3.6739E+07
 51 2.2807E-02 2.7163E+03 3.6035E+07
 52 2.5583E-02 4.5793E+03 4.1960E+07
 53 2.8657E-02 7.7513E+03 4.8776E+07
 54 3.2055E-02 1.2373E+04 5.5420E+07
 55 3.5806E-02 1.7943E+04 6.0797E+07
