  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 17 1.9799E-04 2.7163E+03 1.7665E+08
 18 2.3302E-04 2.7163E+03 1.6654E+08
 19 2.7386E-04 2.7163E+03 1.5713E+08
 20 3.2141E-04 2.7163E+03 1.4838E+08
 21 3.7668E-04 2.7163E+03 1.4025E+08
 22 4.4083E-04 2.7163E+03 1.3269E+08
 23 5.1517E-04 2.7163E+03 1.2567E+08
 24 6.0121E-04 2.7163E+03 1.1911E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0710E+08
 27 9.4745E-04 2.7163E+03 1.0153E+08
 28 1.0994E-03 2.7163E+03 9.6218E+07
 29 1.2740E-03 2.7163E+03 9.1138E+07
 30 1.4742E-03 2.7163E+03 8.6302E+07
 31 1.7035E-03 2.7163E+03 8.1727E+07
 32 1.9657E-03 2.7163E+03 7.7436E+07
 33 2.2649E-03 2.7163E+03 7.3444E+07
 34 2.6061E-03 2.7163E+03 6.9756E+07
 35 2.9945E-03 2.7163E+03 6.6361E+07
 36 3.4358E-03 2.7163E+03 6.3222E+07
 37 3.9366E-03 2.7163E+03 6.0305E+07
 38 4.5041E-03 2.7163E+03 5.7578E+07
 39 5.1461E-03 2.7163E+03 5.5029E+07
 40 5.8713E-03 2.7163E+03 5.2658E+07
 41 6.6892E-03 2.7163E+03 5.0421E+07
 42 7.6103E-03 2.7163E+03 4.8244E+07
 43 8.6461E-03 2.7163E+03 4.6241E+07
 44 9.8089E-03 2.7163E+03 4.4334E+07
 45 1.1112E-02 2.7163E+03 4.2612E+07
 46 1.2571E-02 2.7163E+03 4.1039E+07
 47 1.4202E-02 2.7163E+03 3.9629E+07
 48 1.6021E-02 2.7163E+03 3.8399E+07
 49 1.8048E-02 2.7163E+03 3.7481E+07
 50 2.0303E-02 2.7163E+03 3.6832E+07
 51 2.2807E-02 3.5739E+03 3.9586E+07
 52 2.5583E-02 5.9605E+03 4.5927E+07
 53 2.8657E-02 9.1375E+03 5.1645E+07
 54 3.2055E-02 1.3759E+04 5.7539E+07
 55 3.5806E-02 1.9320E+04 6.2434E+07
 56 3.9939E-02 2.5648E+04 6.6309E+07
 57 4.4486E-02 3.2522E+04 6.9199E+07
 58 4.9481E-02 3.9649E+04 7.1143E+07
 59 5.4959E-02 4.6978E+04 7.2336E+07
 60 6.0957E-02 5.4531E+04 7.2949E+07
 61 6.7515E-02 6.2326E+04 7.3102E+07
 62 7.4672E-02 7.0315E+04 7.2858E+07
 63 8.2472E-02 7.8320E+04 7.2231E+07
 64 9.0957E-02 8.5954E+04 7.1185E+07
 65 1.0017E-01 9.2991E+04 6.9751E+07
 66 1.1017E-01 9.9258E+04 6.7970E+07
 67 1.2099E-01 1.0458E+05 6.5880E+07
 68 1.3269E-01 1.0932E+05 6.3640E+07
 69 1.4531E-01 1.1390E+05 6.1361E+07
 70 1.5891E-01 1.1864E+05 5.9082E+07
 71 1.7354E-01 1.2389E+05 5.6861E+07
 72 1.8924E-01 1.2977E+05 5.4702E+07
 73 2.0608E-01 1.3631E+05 5.2593E+07
 74 2.2409E-01 1.4326E+05 5.0492E+07
 75 2.4334E-01 1.5019E+05 4.8349E+07
 76 2.6387E-01 1.5669E+05 4.6133E+07
 77 2.8572E-01 1.6231E+05 4.3821E+07
 78 3.0895E-01 1.6674E+05 4.1414E+07
 79 3.3359E-01 1.6984E+05 3.8931E+07
 80 3.5970E-01 1.7158E+05 3.6395E+07
 81 3.8729E-01 1.7212E+05 3.3838E+07
 82 4.1642E-01 1.7164E+05 3.1293E+07
 83 4.4710E-01 1.7034E+05 2.8782E+07
 84 4.7937E-01 1.6845E+05 2.6328E+07
 85 5.1324E-01 1.6615E+05 2.3946E+07
 86 5.4873E-01 1.6356E+05 2.1645E+07
 87 5.8584E-01 1.6081E+05 1.9433E+07
