 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
 53   1.780E-05   1.695E-05
 54   1.677E-05   1.584E-05
 55   1.579E-05   1.481E-05
 56   1.481E-05   1.380E-05
 57   1.386E-05   1.279E-05
 58   1.288E-05   1.178E-05
 59   1.187E-05   1.077E-05
 60   1.087E-05   9.767E-06
 61   9.880E-06   8.751E-06
 62   8.886E-06   7.728E-06
 63   7.933E-06   6.724E-06
 64   7.080E-06   5.776E-06
 65   6.224E-06   4.918E-06
 66   5.370E-06   4.254E-06
 67   4.716E-06   3.602E-06
 68   4.140E-06   2.745E-06
 69   3.529E-06   2.276E-06
 70   2.947E-06   2.164E-06
 71   2.667E-06   1.737E-06
 72   2.405E-06   1.424E-06
 73   2.137E-06   1.395E-06
 74   1.946E-06   1.639E-06
 75   1.950E-06   1.925E-06
 76   1.963E-06   2.106E-06
 77   1.976E-06   2.264E-06
 78   2.118E-06   2.311E-06
 79   2.480E-06   4.710E-06
 80   2.789E-06   8.620E-06
 81   3.032E-06   1.107E-05
 82   3.488E-06   1.435E-05
 83   4.316E-06   1.848E-05
 84   4.854E-06   1.991E-05
 85   5.207E-06   2.025E-05
 86   5.625E-06   2.086E-05
 87   6.337E-06   2.230E-05
 88   6.648E-06   2.211E-05
 89   6.694E-06   2.146E-05
 90   6.673E-06   2.085E-05
 91   6.852E-06   2.069E-05
 92   6.893E-06   2.001E-05
 93   6.815E-06   1.914E-05
 94   6.852E-06   1.923E-05
 95   8.713E-06   2.421E-05
 96   1.027E-05   2.610E-05
 97   1.070E-05   2.433E-05
 98   1.052E-05   2.282E-05
 99   1.001E-05   2.260E-05
100   8.563E-06   2.063E-05
101   7.472E-08   1.942E-07
 NST=   114

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.716E-04
  3   2.113E-04   5.762E-04
  4   7.509E-05   4.036E-04
  5   4.522E-05   2.867E-04
  6   4.031E-05   2.029E-04
  7   4.003E-05   1.423E-04
  8   4.053E-05   1.001E-04
  9   4.102E-05   7.364E-05
 10   4.157E-05   5.790E-05
 11   4.195E-05   4.910E-05
 12   4.236E-05   4.481E-05
 13   4.279E-05   4.317E-05
 14   4.336E-05   4.329E-05
 15   4.427E-05   4.460E-05
 16   4.559E-05   4.702E-05
 17   4.734E-05   5.008E-05
 18   4.944E-05   5.373E-05
 19   5.198E-05   5.766E-05
 20   5.492E-05   6.190E-05
 21   5.830E-05   6.614E-05
 22   6.209E-05   7.041E-05
 23   6.628E-05   7.448E-05
 24   7.083E-05   7.829E-05
 25   7.575E-05   8.163E-05
 26   8.094E-05   8.424E-05
 27   8.641E-05   8.631E-05
 28   9.186E-05   8.796E-05
 29   9.724E-05   8.939E-05
 30   1.023E-04   9.174E-05
 31   1.066E-04   9.588E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.057E-04
 34   1.071E-04   1.053E-04
 35   1.017E-04   1.009E-04
 36   9.401E-05   9.377E-05
 37   8.550E-05   8.560E-05
 38   7.762E-05   7.753E-05
 39   6.994E-05   6.992E-05
 40   6.362E-05   6.323E-05
 41   5.733E-05   5.708E-05
 42   5.196E-05   5.154E-05
 43   4.663E-05   4.635E-05
 44   4.181E-05   4.154E-05
 45   3.744E-05   3.703E-05
 46   3.341E-05   3.287E-05
 47   2.990E-05   2.962E-05
 48   2.689E-05   2.642E-05
 49   2.433E-05   2.372E-05
 50   2.218E-05   2.151E-05
 51   2.049E-05   1.970E-05
 52   1.905E-05   1.821E-05
 53   1.780E-05   1.697E-05
 54   1.677E-05   1.587E-05
 55   1.579E-05   1.484E-05
 56   1.481E-05   1.383E-05
 57   1.386E-05   1.282E-05
 58   1.288E-05   1.181E-05
 59   1.187E-05   1.080E-05
 60   1.087E-05   9.795E-06
 61   9.880E-06   8.779E-06
 62   8.886E-06   7.756E-06
 63   7.933E-06   6.752E-06
 64   7.080E-06   5.803E-06
 65   6.224E-06   4.944E-06
 66   5.370E-06   4.278E-06
 67   4.716E-06   3.624E-06
 68   4.140E-06   2.765E-06
 69   3.529E-06   2.295E-06
 70   2.947E-06   2.177E-06
 71   2.667E-06   1.748E-06
 72   2.405E-06   1.433E-06
 73   2.137E-06   1.386E-06
 74   1.946E-06   1.661E-06
 75   1.950E-06   1.886E-06
 76   1.962E-06   2.142E-06
 77   1.976E-06   2.261E-06
 78   2.118E-06   2.274E-06
 79   2.480E-06   4.786E-06
 80   2.788E-06   8.569E-06
 81   3.032E-06   1.105E-05
 82   3.488E-06   1.433E-05
 83   4.316E-06   1.847E-05
 84   4.854E-06   1.990E-05
 85   5.207E-06   2.024E-05
 86   5.625E-06   2.086E-05
 87   6.337E-06   2.230E-05
 88   6.648E-06   2.211E-05
 89   6.694E-06   2.146E-05
 90   6.673E-06   2.085E-05
 91   6.852E-06   2.069E-05
 92   6.893E-06   2.000E-05
 93   6.815E-06   1.914E-05
 94   6.852E-06   1.923E-05
 95   8.713E-06   2.421E-05
 96   1.027E-05   2.609E-05
 97   1.070E-05   2.433E-05
 98   1.052E-05   2.282E-05
 99   1.001E-05   2.260E-05
100   8.563E-06   2.062E-05
101   7.472E-08   1.942E-07
 NST=   115

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.622E-04
  3   2.113E-04   5.777E-04
  4   7.510E-05   4.042E-04
  5   4.523E-05   2.887E-04
  6   4.032E-05   2.047E-04
  7   4.003E-05   1.421E-04
  8   4.053E-05   1.005E-04
  9   4.102E-05   7.375E-05
 10   4.157E-05   5.787E-05
 11   4.195E-05   4.917E-05
 12   4.236E-05   4.476E-05
 13   4.279E-05   4.319E-05
 14   4.336E-05   4.328E-05
 15   4.427E-05   4.460E-05
 16   4.560E-05   4.703E-05
 17   4.734E-05   5.008E-05
 18   4.945E-05   5.373E-05
 19   5.198E-05   5.767E-05
 20   5.492E-05   6.190E-05
 21   5.830E-05   6.614E-05
 22   6.209E-05   7.042E-05
 23   6.628E-05   7.449E-05
 24   7.083E-05   7.830E-05
 25   7.575E-05   8.163E-05
 26   8.094E-05   8.425E-05
 27   8.641E-05   8.632E-05
 28   9.186E-05   8.796E-05
 29   9.724E-05   8.940E-05
 30   1.023E-04   9.174E-05
 31   1.066E-04   9.588E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.057E-04
 34   1.071E-04   1.053E-04
 35   1.017E-04   1.009E-04
 36   9.401E-05   9.377E-05
 37   8.550E-05   8.561E-05
 38   7.762E-05   7.753E-05
 39   6.994E-05   6.992E-05
 40   6.362E-05   6.324E-05
 41   5.733E-05   5.709E-05
 42   5.196E-05   5.155E-05
 43   4.663E-05   4.636E-05
 44   4.182E-05   4.156E-05
 45   3.744E-05   3.704E-05
 46   3.341E-05   3.288E-05
 47   2.990E-05   2.964E-05
 48   2.689E-05   2.643E-05
 49   2.433E-05   2.374E-05
 50   2.218E-05   2.153E-05
 51   2.049E-05   1.972E-05
 52   1.905E-05   1.824E-05
 53   1.780E-05   1.699E-05
 54   1.677E-05   1.589E-05
 55   1.579E-05   1.486E-05
 56   1.481E-05   1.385E-05
 57   1.386E-05   1.284E-05
 58   1.288E-05   1.183E-05
 59   1.187E-05   1.083E-05
 60   1.087E-05   9.822E-06
 61   9.880E-06   8.806E-06
 62   8.886E-06   7.783E-06
 63   7.933E-06   6.779E-06
 64   7.080E-06   5.830E-06
 65   6.224E-06   4.969E-06
 66   5.370E-06   4.301E-06
 67   4.716E-06   3.646E-06
 68   4.140E-06   2.786E-06
 69   3.529E-06   2.312E-06
 70   2.947E-06   2.190E-06
 71   2.668E-06   1.762E-06
 72   2.405E-06   1.433E-06
 73   2.137E-06   1.400E-06
 74   1.946E-06   1.650E-06
 75   1.950E-06   1.882E-06
 76   1.962E-06   2.193E-06
 77   1.976E-06   2.220E-06
 78   2.118E-06   2.221E-06
 79   2.480E-06   4.803E-06
 80   2.788E-06   8.574E-06
 81   3.032E-06   1.105E-05
 82   3.488E-06   1.433E-05
 83   4.316E-06   1.847E-05
 84   4.854E-06   1.989E-05
 85   5.207E-06   2.023E-05
 86   5.625E-06   2.085E-05
 87   6.337E-06   2.229E-05
 88   6.648E-06   2.210E-05
 89   6.693E-06   2.145E-05
 90   6.673E-06   2.085E-05
 91   6.852E-06   2.068E-05
 92   6.893E-06   2.000E-05
 93   6.815E-06   1.914E-05
 94   6.852E-06   1.923E-05
 95   8.713E-06   2.421E-05
 96   1.027E-05   2.609E-05
 97   1.070E-05   2.433E-05
 98   1.052E-05   2.282E-05
 99   1.001E-05   2.259E-05
100   8.563E-06   2.062E-05
101   7.472E-08   1.941E-07
 NST=   116

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.710E-04
  3   2.113E-04   5.756E-04
  4   7.509E-05   4.023E-04
  5   4.523E-05   2.868E-04
  6   4.031E-05   2.037E-04
  7   4.003E-05   1.417E-04
  8   4.053E-05   1.004E-04
  9   4.102E-05   7.369E-05
 10   4.157E-05   5.775E-05
 11   4.195E-05   4.914E-05
 12   4.236E-05   4.481E-05
 13   4.279E-05   4.317E-05
 14   4.336E-05   4.331E-05
 15   4.427E-05   4.461E-05
 16   4.560E-05   4.703E-05
 17   4.734E-05   5.009E-05
 18   4.945E-05   5.374E-05
 19   5.198E-05   5.767E-05
 20   5.492E-05   6.191E-05
 21   5.830E-05   6.615E-05
 22   6.209E-05   7.042E-05
 23   6.628E-05   7.449E-05
 24   7.083E-05   7.830E-05
 25   7.575E-05   8.164E-05
 26   8.094E-05   8.425E-05
 27   8.641E-05   8.632E-05
 28   9.186E-05   8.797E-05
 29   9.724E-05   8.940E-05
 30   1.023E-04   9.174E-05
 31   1.066E-04   9.589E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.057E-04
 34   1.071E-04   1.053E-04
 35   1.017E-04   1.009E-04
 36   9.401E-05   9.378E-05
 37   8.550E-05   8.561E-05
 38   7.762E-05   7.754E-05
 39   6.994E-05   6.993E-05
 40   6.362E-05   6.325E-05
 41   5.733E-05   5.710E-05
 42   5.196E-05   5.156E-05
 43   4.663E-05   4.637E-05
 44   4.182E-05   4.157E-05
 45   3.744E-05   3.705E-05
 46   3.341E-05   3.289E-05
 47   2.990E-05   2.965E-05
 48   2.689E-05   2.645E-05
 49   2.433E-05   2.376E-05
 50   2.218E-05   2.154E-05
 51   2.049E-05   1.974E-05
 52   1.905E-05   1.826E-05
 53   1.780E-05   1.701E-05
 54   1.677E-05   1.592E-05
 55   1.579E-05   1.488E-05
 56   1.481E-05   1.388E-05
 57   1.386E-05   1.287E-05
 58   1.288E-05   1.186E-05
 59   1.187E-05   1.085E-05
 60   1.087E-05   9.849E-06
 61   9.880E-06   8.833E-06
 62   8.886E-06   7.810E-06
 63   7.932E-06   6.805E-06
 64   7.080E-06   5.856E-06
 65   6.224E-06   4.994E-06
 66   5.370E-06   4.325E-06
 67   4.716E-06   3.667E-06
 68   4.140E-06   2.807E-06
 69   3.529E-06   2.329E-06
 70   2.947E-06   2.206E-06
 71   2.668E-06   1.769E-06
 72   2.405E-06   1.444E-06
 73   2.137E-06   1.404E-06
 74   1.946E-06   1.641E-06
 75   1.950E-06   1.924E-06
 76   1.963E-06   2.107E-06
 77   1.976E-06   2.262E-06
 78   2.118E-06   2.289E-06
 79   2.480E-06   4.677E-06
 80   2.788E-06   8.595E-06
 81   3.032E-06   1.105E-05
 82   3.488E-06   1.433E-05
 83   4.316E-06   1.846E-05
 84   4.854E-06   1.989E-05
 85   5.206E-06   2.023E-05
 86   5.625E-06   2.084E-05
 87   6.337E-06   2.228E-05
 88   6.648E-06   2.210E-05
 89   6.693E-06   2.145E-05
 90   6.673E-06   2.084E-05
 91   6.852E-06   2.068E-05
 92   6.893E-06   2.000E-05
 93   6.815E-06   1.914E-05
 94   6.852E-06   1.923E-05
 95   8.713E-06   2.421E-05
 96   1.027E-05   2.609E-05
 97   1.070E-05   2.433E-05
 98   1.052E-05   2.282E-05
 99   1.001E-05   2.259E-05
100   8.563E-06   2.062E-05
101   7.472E-08   1.941E-07
 NST=   117

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.638E-04
  3   2.113E-04   5.720E-04
  4   7.510E-05   4.032E-04
  5   4.523E-05   2.877E-04
  6   4.032E-05   2.032E-04
  7   4.003E-05   1.423E-04
  8   4.053E-05   1.006E-04
  9   4.102E-05   7.368E-05
 10   4.157E-05   5.795E-05
 11   4.195E-05   4.908E-05
 12   4.236E-05   4.478E-05
 13   4.279E-05   4.319E-05
 14   4.336E-05   4.327E-05
 15   4.427E-05   4.461E-05
 16   4.560E-05   4.703E-05
 17   4.734E-05   5.009E-05
 18   4.945E-05   5.374E-05
 19   5.198E-05   5.767E-05
 20   5.492E-05   6.191E-05
 21   5.830E-05   6.615E-05
 22   6.209E-05   7.043E-05
 23   6.628E-05   7.450E-05
 24   7.083E-05   7.831E-05
 25   7.575E-05   8.165E-05
 26   8.094E-05   8.426E-05
 27   8.641E-05   8.633E-05
 28   9.186E-05   8.797E-05
 29   9.724E-05   8.940E-05
 30   1.023E-04   9.174E-05
 31   1.066E-04   9.589E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.057E-04
 34   1.071E-04   1.053E-04
 35   1.017E-04   1.009E-04
 36   9.401E-05   9.378E-05
 37   8.551E-05   8.562E-05
 38   7.762E-05   7.754E-05
 39   6.994E-05   6.994E-05
 40   6.362E-05   6.326E-05
 41   5.733E-05   5.710E-05
 42   5.196E-05   5.156E-05
 43   4.663E-05   4.638E-05
 44   4.182E-05   4.158E-05
 45   3.744E-05   3.707E-05
 46   3.341E-05   3.291E-05
 47   2.990E-05   2.967E-05
 48   2.689E-05   2.647E-05
 49   2.433E-05   2.378E-05
 50   2.218E-05   2.156E-05
 51   2.049E-05   1.976E-05
 52   1.905E-05   1.828E-05
 53   1.780E-05   1.704E-05
 54   1.677E-05   1.594E-05
 55   1.579E-05   1.491E-05
 56   1.481E-05   1.390E-05
 57   1.386E-05   1.289E-05
 58   1.288E-05   1.188E-05
 59   1.187E-05   1.088E-05
 60   1.087E-05   9.875E-06
 61   9.879E-06   8.860E-06
 62   8.886E-06   7.836E-06
 63   7.932E-06   6.831E-06
 64   7.079E-06   5.881E-06
 65   6.224E-06   5.019E-06
 66   5.370E-06   4.347E-06
 67   4.716E-06   3.688E-06
 68   4.140E-06   2.826E-06
 69   3.529E-06   2.346E-06
 70   2.947E-06   2.219E-06
 71   2.668E-06   1.780E-06
 72   2.405E-06   1.454E-06
 73   2.137E-06   1.396E-06
 74   1.946E-06   1.664E-06
 75   1.950E-06   1.887E-06
 76   1.962E-06   2.142E-06
 77   1.976E-06   2.259E-06
 78   2.118E-06   2.253E-06
 79   2.480E-06   4.752E-06
 80   2.788E-06   8.545E-06
 81   3.032E-06   1.103E-05
 82   3.488E-06   1.431E-05
 83   4.316E-06   1.845E-05
 84   4.854E-06   1.988E-05
 85   5.206E-06   2.023E-05
 86   5.625E-06   2.084E-05
 87   6.337E-06   2.228E-05
 88   6.648E-06   2.210E-05
 89   6.693E-06   2.145E-05
 90   6.673E-06   2.084E-05
 91   6.852E-06   2.068E-05
 92   6.893E-06   2.000E-05
 93   6.815E-06   1.914E-05
 94   6.852E-06   1.923E-05
 95   8.713E-06   2.421E-05
 96   1.027E-05   2.609E-05
 97   1.070E-05   2.433E-05
 98   1.052E-05   2.282E-05
 99   1.001E-05   2.259E-05
100   8.563E-06   2.062E-05
101   7.472E-08   1.941E-07
 NST=   118

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.663E-04
  3   2.113E-04   5.754E-04
  4   7.510E-05   4.032E-04
  5   4.523E-05   2.883E-04
  6   4.032E-05   2.029E-04
  7   4.004E-05   1.424E-04
  8   4.053E-05   1.001E-04
  9   4.102E-05   7.370E-05
 10   4.157E-05   5.780E-05
 11   4.195E-05   4.902E-05
 12   4.236E-05   4.474E-05
 13   4.279E-05   4.315E-05
 14   4.337E-05   4.332E-05
 15   4.427E-05   4.462E-05
 16   4.560E-05   4.703E-05
 17   4.734E-05   5.009E-05
 18   4.945E-05   5.374E-05
 19   5.199E-05   5.768E-05
 20   5.492E-05   6.192E-05
 21   5.830E-05   6.616E-05
 22   6.209E-05   7.043E-05
 23   6.628E-05   7.450E-05
 24   7.083E-05   7.832E-05
 25   7.575E-05   8.165E-05
 26   8.094E-05   8.426E-05
 27   8.641E-05   8.633E-05
 28   9.186E-05   8.797E-05
 29   9.724E-05   8.941E-05
 30   1.023E-04   9.175E-05
 31   1.066E-04   9.589E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.057E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.009E-04
 36   9.401E-05   9.379E-05
 37   8.551E-05   8.562E-05
 38   7.762E-05   7.755E-05
 39   6.994E-05   6.994E-05
 40   6.362E-05   6.326E-05
 41   5.734E-05   5.711E-05
 42   5.196E-05   5.157E-05
 43   4.663E-05   4.639E-05
 44   4.182E-05   4.159E-05
 45   3.744E-05   3.708E-05
 46   3.341E-05   3.292E-05
 47   2.990E-05   2.968E-05
 48   2.689E-05   2.648E-05
 49   2.433E-05   2.379E-05
 50   2.218E-05   2.158E-05
 51   2.049E-05   1.978E-05
 52   1.905E-05   1.830E-05
 53   1.780E-05   1.706E-05
 54   1.677E-05   1.596E-05
 55   1.579E-05   1.493E-05
 56   1.481E-05   1.392E-05
 57   1.386E-05   1.292E-05
 58   1.288E-05   1.191E-05
 59   1.187E-05   1.091E-05
 60   1.087E-05   9.900E-06
 61   9.879E-06   8.885E-06
 62   8.886E-06   7.862E-06
 63   7.932E-06   6.856E-06
 64   7.079E-06   5.906E-06
 65   6.224E-06   5.043E-06
 66   5.370E-06   4.370E-06
 67   4.716E-06   3.708E-06
 68   4.140E-06   2.846E-06
 69   3.529E-06   2.363E-06
 70   2.947E-06   2.232E-06
 71   2.668E-06   1.793E-06
 72   2.405E-06   1.454E-06
 73   2.137E-06   1.410E-06
 74   1.946E-06   1.654E-06
 75   1.950E-06   1.884E-06
 76   1.962E-06   2.193E-06
 77   1.976E-06   2.218E-06
 78   2.118E-06   2.200E-06
 79   2.480E-06   4.769E-06
 80   2.788E-06   8.550E-06
 81   3.032E-06   1.103E-05
 82   3.488E-06   1.431E-05
 83   4.316E-06   1.845E-05
 84   4.854E-06   1.987E-05
 85   5.206E-06   2.022E-05
 86   5.625E-06   2.083E-05
 87   6.337E-06   2.227E-05
 88   6.648E-06   2.209E-05
 89   6.693E-06   2.144E-05
 90   6.673E-06   2.084E-05
 91   6.852E-06   2.068E-05
 92   6.893E-06   2.000E-05
 93   6.815E-06   1.913E-05
 94   6.852E-06   1.923E-05
 95   8.713E-06   2.421E-05
 96   1.027E-05   2.609E-05
 97   1.070E-05   2.433E-05
 98   1.052E-05   2.282E-05
 99   1.001E-05   2.259E-05
100   8.563E-06   2.062E-05
101   7.472E-08   1.941E-07
 NST=   119

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.703E-04
  3   2.113E-04   5.706E-04
  4   7.510E-05   4.036E-04
  5   4.523E-05   2.874E-04
  6   4.032E-05   2.038E-04
  7   4.004E-05   1.426E-04
  8   4.053E-05   9.969E-05
  9   4.102E-05   7.384E-05
 10   4.157E-05   5.796E-05
 11   4.195E-05   4.913E-05
 12   4.236E-05   4.471E-05
 13   4.279E-05   4.318E-05
 14   4.337E-05   4.331E-05
 15   4.427E-05   4.462E-05
 16   4.560E-05   4.704E-05
 17   4.734E-05   5.010E-05
 18   4.945E-05   5.375E-05
 19   5.199E-05   5.768E-05
 20   5.492E-05   6.192E-05
 21   5.830E-05   6.616E-05
 22   6.209E-05   7.044E-05
 23   6.629E-05   7.451E-05
 24   7.083E-05   7.832E-05
 25   7.575E-05   8.166E-05
 26   8.094E-05   8.427E-05
 27   8.641E-05   8.633E-05
 28   9.186E-05   8.798E-05
 29   9.724E-05   8.941E-05
 30   1.023E-04   9.175E-05
 31   1.066E-04   9.589E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.057E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.009E-04
 36   9.401E-05   9.379E-05
 37   8.551E-05   8.563E-05
 38   7.762E-05   7.756E-05
 39   6.995E-05   6.995E-05
 40   6.362E-05   6.327E-05
 41   5.734E-05   5.712E-05
 42   5.196E-05   5.158E-05
 43   4.663E-05   4.640E-05
 44   4.182E-05   4.160E-05
 45   3.744E-05   3.709E-05
 46   3.341E-05   3.293E-05
 47   2.990E-05   2.970E-05
 48   2.689E-05   2.649E-05
 49   2.433E-05   2.381E-05
 50   2.218E-05   2.160E-05
 51   2.049E-05   1.980E-05
 52   1.905E-05   1.832E-05
 53   1.780E-05   1.708E-05
 54   1.677E-05   1.598E-05
 55   1.579E-05   1.495E-05
 56   1.481E-05   1.395E-05
 57   1.386E-05   1.294E-05
 58   1.288E-05   1.193E-05
 59   1.187E-05   1.093E-05
 60   1.087E-05   9.925E-06
 61   9.879E-06   8.910E-06
 62   8.886E-06   7.887E-06
 63   7.932E-06   6.881E-06
 64   7.079E-06   5.930E-06
 65   6.224E-06   5.066E-06
 66   5.370E-06   4.391E-06
 67   4.716E-06   3.728E-06
 68   4.140E-06   2.866E-06
 69   3.529E-06   2.379E-06
 70   2.947E-06   2.247E-06
 71   2.668E-06   1.801E-06
 72   2.405E-06   1.465E-06
 73   2.137E-06   1.414E-06
 74   1.946E-06   1.645E-06
 75   1.950E-06   1.925E-06
 76   1.962E-06   2.108E-06
 77   1.976E-06   2.259E-06
 78   2.118E-06   2.267E-06
 79   2.480E-06   4.646E-06
 80   2.788E-06   8.571E-06
 81   3.032E-06   1.103E-05
 82   3.487E-06   1.431E-05
 83   4.316E-06   1.844E-05
 84   4.854E-06   1.987E-05
 85   5.206E-06   2.021E-05
 86   5.625E-06   2.083E-05
 87   6.337E-06   2.227E-05
 88   6.648E-06   2.209E-05
 89   6.693E-06   2.144E-05
 90   6.672E-06   2.083E-05
 91   6.852E-06   2.067E-05
 92   6.893E-06   1.999E-05
 93   6.815E-06   1.913E-05
 94   6.852E-06   1.922E-05
 95   8.713E-06   2.421E-05
 96   1.027E-05   2.609E-05
 97   1.070E-05   2.433E-05
 98   1.052E-05   2.282E-05
 99   1.001E-05   2.259E-05
100   8.563E-06   2.062E-05
101   7.472E-08   1.941E-07
 NST=   120

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.795E-04   8.601E-04
  3   2.113E-04   5.759E-04
  4   7.511E-05   4.041E-04
  5   4.523E-05   2.883E-04
  6   4.032E-05   2.044E-04
  7   4.004E-05   1.424E-04
  8   4.053E-05   1.003E-04
  9   4.102E-05   7.385E-05
 10   4.157E-05   5.781E-05
 11   4.195E-05   4.906E-05
 12   4.236E-05   4.475E-05
 13   4.279E-05   4.316E-05
 14   4.337E-05   4.333E-05
 15   4.428E-05   4.461E-05
 16   4.560E-05   4.704E-05
 17   4.734E-05   5.010E-05
 18   4.945E-05   5.376E-05
 19   5.199E-05   5.769E-05
 20   5.492E-05   6.193E-05
 21   5.831E-05   6.617E-05
 22   6.209E-05   7.045E-05
 23   6.629E-05   7.452E-05
 24   7.083E-05   7.833E-05
 25   7.575E-05   8.166E-05
 26   8.094E-05   8.427E-05
 27   8.641E-05   8.634E-05
 28   9.186E-05   8.798E-05
 29   9.724E-05   8.941E-05
 30   1.023E-04   9.175E-05
 31   1.066E-04   9.589E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.057E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.009E-04
 36   9.401E-05   9.380E-05
 37   8.551E-05   8.563E-05
 38   7.762E-05   7.756E-05
 39   6.995E-05   6.996E-05
 40   6.362E-05   6.328E-05
 41   5.734E-05   5.713E-05
 42   5.196E-05   5.159E-05
 43   4.663E-05   4.641E-05
 44   4.182E-05   4.161E-05
 45   3.744E-05   3.710E-05
 46   3.341E-05   3.294E-05
 47   2.990E-05   2.971E-05
 48   2.689E-05   2.651E-05
 49   2.433E-05   2.382E-05
 50   2.218E-05   2.161E-05
 51   2.049E-05   1.981E-05
 52   1.905E-05   1.833E-05
 53   1.780E-05   1.710E-05
 54   1.677E-05   1.600E-05
 55   1.579E-05   1.497E-05
 56   1.481E-05   1.397E-05
 57   1.386E-05   1.296E-05
 58   1.288E-05   1.196E-05
 59   1.187E-05   1.095E-05
 60   1.087E-05   9.949E-06
 61   9.879E-06   8.935E-06
 62   8.886E-06   7.911E-06
 63   7.932E-06   6.905E-06
 64   7.079E-06   5.954E-06
 65   6.224E-06   5.089E-06
 66   5.370E-06   4.412E-06
 67   4.716E-06   3.747E-06
 68   4.140E-06   2.884E-06
 69   3.529E-06   2.396E-06
 70   2.947E-06   2.259E-06
 71   2.668E-06   1.811E-06
 72   2.405E-06   1.474E-06
 73   2.137E-06   1.408E-06
 74   1.946E-06   1.669E-06
 75   1.950E-06   1.889E-06
 76   1.962E-06   2.142E-06
 77   1.976E-06   2.256E-06
 78   2.118E-06   2.232E-06
 79   2.480E-06   4.719E-06
 80   2.788E-06   8.523E-06
 81   3.032E-06   1.101E-05
 82   3.487E-06   1.429E-05
 83   4.316E-06   1.843E-05
 84   4.854E-06   1.986E-05
 85   5.206E-06   2.021E-05
 86   5.625E-06   2.082E-05
 87   6.336E-06   2.227E-05
 88   6.648E-06   2.209E-05
 89   6.693E-06   2.144E-05
 90   6.672E-06   2.083E-05
 91   6.852E-06   2.067E-05
 92   6.893E-06   1.999E-05
 93   6.815E-06   1.913E-05
 94   6.852E-06   1.922E-05
 95   8.713E-06   2.420E-05
 96   1.027E-05   2.609E-05
 97   1.070E-05   2.433E-05
 98   1.052E-05   2.281E-05
 99   1.001E-05   2.259E-05
100   8.563E-06   2.062E-05
101   7.472E-08   1.941E-07
 NST=   121

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.743E-04
  3   2.113E-04   5.713E-04
  4   7.509E-05   4.018E-04
  5   4.523E-05   2.883E-04
  6   4.032E-05   2.036E-04
  7   4.004E-05   1.421E-04
  8   4.053E-05   1.005E-04
  9   4.102E-05   7.360E-05
 10   4.157E-05   5.796E-05
 11   4.195E-05   4.913E-05
 12   4.236E-05   4.484E-05
 13   4.279E-05   4.318E-05
 14   4.337E-05   4.331E-05
 15   4.428E-05   4.464E-05
 16   4.560E-05   4.706E-05
 17   4.734E-05   5.011E-05
 18   4.945E-05   5.376E-05
 19   5.199E-05   5.770E-05
 20   5.492E-05   6.194E-05
 21   5.831E-05   6.618E-05
 22   6.209E-05   7.045E-05
 23   6.629E-05   7.452E-05
 24   7.083E-05   7.833E-05
 25   7.575E-05   8.167E-05
 26   8.094E-05   8.428E-05
 27   8.641E-05   8.634E-05
 28   9.186E-05   8.799E-05
 29   9.724E-05   8.942E-05
 30   1.023E-04   9.176E-05
 31   1.066E-04   9.589E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.057E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.009E-04
 36   9.401E-05   9.380E-05
 37   8.551E-05   8.564E-05
 38   7.762E-05   7.757E-05
 39   6.995E-05   6.996E-05
 40   6.362E-05   6.328E-05
 41   5.734E-05   5.713E-05
 42   5.196E-05   5.160E-05
 43   4.663E-05   4.642E-05
 44   4.182E-05   4.162E-05
 45   3.744E-05   3.711E-05
 46   3.341E-05   3.295E-05
 47   2.990E-05   2.972E-05
 48   2.689E-05   2.652E-05
 49   2.433E-05   2.384E-05
