Type		STD		Rate at Bottom		Rate at Top
R		168		4.738239e-15		6.279487e-17
R		169		1.012655e-22		4.767279e-30
R		171		2.110139e-14		1.094682e-16
R		172		5.539872e-12		1.765044e-12
R		173		1.457553e-22		2.111427e-31
R		174		3.111135e-31		9.608054e-46
R		175		2.689922e-15		5.661032e-18
R		176		7.451278e-17		1.571535e-20
R		177		8.984710e-16		3.996818e-18
R		178		3.139597e-19		4.155674e-23
R		179		4.393436e-24		1.267494e-32
R		180		7.200000e-11		7.200000e-11
R		181		1.600000e-12		1.600000e-12
R		182		6.900000e-12		6.900000e-12
R		183		2.266038e-34		2.086961e-52
R		186		3.659009e-20		1.166295e-25
R		187		1.832870e-61		1.883914e-96
R		188		1.066154e-46		1.967595e-71
R		189		1.268228e-10		5.826548e-11
R		190		9.400000e-11		9.400000e-11
R		192		2.861039e-11		9.763023e-12
R		195		5.669451e-13		1.114969e-13
R		196		8.601032e-42		2.869519e-61
R		197		7.761834e-20		1.065041e-24
R		198		2.336425e-21		2.176722e-26
R		199		1.162824e-14		1.198222e-16
R		200		1.395389e-14		1.437867e-16
R		201		4.800982e-12		5.420032e-12
R		202		1.375333e-12		3.084731e-14
R		203		7.473997e-21		3.540937e-26
R		204		1.356807e-23		1.016606e-30
R		205		2.906791e-30		2.746518e-43
R		206		1.810688e-26		7.890953e-36
R		207		1.217330e-14		2.579858e-16
R		209		2.906791e-30		2.746518e-43
R		212		2.570212e-18		6.900600e-22
R		213		1.775301e-32		6.180693e-47
R		214		9.919853e-42		1.908668e-61
R		215		2.128672e-14		1.860556e-15
R		216		3.000000e-14		3.000000e-14
R		217		2.206801e-29		7.705722e-40
R		218		3.422636e-11		8.163685e-11
R		219		3.954663e-17		7.270991e-21
R		220		3.013094e-18		9.153214e-22
R		221		5.510651e-14		1.094585e-13
R		222		2.527756e-19		1.948470e-23
R		223		2.769612e-15		9.028376e-16
R		224		5.510651e-14		1.094585e-13
R		225		6.188053e-17		3.162418e-18
R		226		1.844356e-19		1.987941e-24
R		227		1.279996e-18		4.364499e-22
R		228		2.800000e-10		2.800000e-10
R		229		2.000000e-12		2.000000e-12
R		230		7.776433e-13		1.008069e-13
R		231		2.102569e-14		3.423509e-16
R		232		4.734636e-12		3.988182e-12
R		233		5.716445e-18		2.119182e-22
R		235		1.016937e-11		4.593780e-12
R		236		5.000000e-11		5.000000e-11
R		237		3.410020e-14		3.461535e-15
R		238		3.000000e-11		3.000000e-11
