Num	Type	Reaction Num.
1	P	1
2	P	2
3	P	3
4	P	4
5	P	5
6	P	6
7	P	7
8	P	8
9	P	9
10	P	10
11	P	11
12	P	12
13	P	13
14	P	14
15	P	15
16	P	16
17	P	17
18	P	18
19	P	19
20	P	20
21	P	21
22	P	22
23	P	23
24	P	24
25	P	25
26	P	26
27	P	27
28	P	28
29	P	29
30	P	32
31	P	33
32	P	34
33	P	35
34	P	36
35	P	37
36	P	38
37	P	39
38	P	40
39	P	41
40	P	42
41	P	43
42	P	44
43	P	56
44	P	57
45	P	58
46	P	59
47	P	60
48	P	61
49	P	62
50	P	63
51	P	64
52	P	65
53	P	66
54	P	67
55	P	68
56	P	69
57	P	70
58	P	71
670	P	72
671	P	73
59	R	1
60	R	2
61	R	3
62	R	5
63	R	6
64	R	9
65	R	10
66	R	11
67	R	12
68	R	13
69	R	14
70	R	15
71	R	16
72	R	17
73	R	18
74	R	19
75	R	20
76	R	21
77	R	22
78	R	23
79	R	24
80	R	25
81	R	26
82	R	27
83	R	28
84	R	29
85	R	30
86	R	31
87	R	32
88	R	33
89	R	34
90	R	35
91	R	36
92	R	37
93	R	38
94	R	39
95	R	40
96	R	41
97	R	44
98	R	45
99	R	46
100	R	47
101	R	48
102	R	49
103	R	50
104	R	51
105	R	52
106	R	53
107	R	54
108	R	55
109	R	56
110	R	57
111	R	59
112	R	60
113	R	61
114	R	62
115	R	63
116	R	64
117	R	65
118	R	66
119	R	67
120	R	68
121	R	69
122	R	70
123	R	71
124	R	72
125	R	73
126	R	74
127	R	75
128	R	76
129	R	77
130	R	78
131	R	79
132	R	80
133	R	81
134	R	82
135	R	83
136	R	84
137	R	85
138	R	86
139	R	87
140	R	91
142	R	93
143	R	94
144	R	95
145	R	96
146	R	97
147	R	98
148	R	99
149	R	100
150	R	101
151	R	108
152	R	109
153	R	110
154	R	111
155	R	112
156	R	113
157	R	114
158	R	115
159	R	116
160	R	117
161	R	118
162	R	119
163	R	120
164	R	121
165	R	122
166	R	123
167	R	124
168	R	127
169	R	128
170	R	129
171	R	130
172	R	131
173	R	132
174	R	133
175	R	134
176	R	135
177	R	136
178	R	137
179	R	138
180	R	140
181	R	141
182	R	142
183	R	143
184	R	145
185	R	146
187	R	148
188	R	149
189	R	150
190	R	152
191	R	153
192	R	154
193	R	155
194	R	156
195	R	157
196	R	159
197	R	160
198	R	161
199	R	162
200	R	163
201	R	164
202	R	165
203	R	166
204	R	167
