Type	Std	Rate
R1	2.668857e-121	1.885561e-121	2.589331e-121	3.615414e-121	3.819100e-121	2.874394e-121	1.547790e-121	9.149389e-122	2.007409e-122	7.138689e-123	3.728884e-123	1.945897e-123	8.172048e-124	2.296119e-124	4.194285e-125	5.177989e-126	4.937181e-127	3.938234e-128	2.283333e-129	7.381193e-131	1.199246e-132	1.602642e-134	0.000000e+00	7.850507e-138	0.000000e+00	0.000000e+00	1.248925e-140	5.551494e-141	0.000000e+00	1.063895e-141	8.394340e-143	1.302211e-142	4.978097e-142	3.194896e-141	1.126006e-138	5.539801e-136	1.621789e-133	2.987984e-131	6.246241e-129	4.793103e-126	3.730178e-123	1.737854e-120	4.640766e-118	7.016925e-116	6.358566e-114	7.724401e-112	1.074392e-108	1.809527e-105	7.616451e-103	8.289615e-101	3.041239e-99	4.939588e-98	4.699808e-97	3.526195e-96	2.598216e-95	1.944060e-94	1.365261e-93	8.143123e-93	3.601479e-92	9.070846e-92	
R2	4.729706e-88	2.577876e-88	1.908206e-88	1.398151e-88	8.730831e-89	4.481024e-89	1.872697e-89	6.359919e-90	1.814747e-90	4.903136e-91	1.431160e-91	3.788161e-92	8.065421e-93	1.260929e-93	1.435408e-94	1.247536e-95	9.124691e-97	5.963202e-98	2.734401e-99	5.957414e-101	6.433917e-103	4.886004e-105	3.254835e-107	2.001333e-109	1.120268e-111	3.504508e-113	6.938987e-114	1.465320e-114	3.335210e-115	8.320824e-116	2.330329e-116	7.516452e-117	2.851412e-117	3.635624e-117	2.200200e-113	4.385338e-109	4.987040e-105	3.159242e-101	1.074431e-97	1.902049e-94	1.841954e-91	1.024516e-88	3.258562e-86	5.854175e-84	6.063416e-82	5.093310e-80	1.285151e-77	3.413070e-75	3.864508e-73	1.929775e-71	4.942173e-70	7.528520e-69	7.919094e-68	6.736548e-67	5.227432e-66	3.793154e-65	2.478703e-64	1.376592e-63	5.889405e-63	1.541482e-62	
R3	2.428771e-49	1.875728e-49	2.018214e-49	2.190767e-49	2.067785e-49	1.646090e-49	1.107269e-49	6.388586e-50	3.339583e-50	1.819201e-50	1.199423e-50	7.893603e-51	4.654158e-51	2.241563e-51	8.685662e-52	2.777794e-52	7.746651e-53	1.957480e-53	4.019620e-54	5.564144e-55	5.207056e-56	3.798856e-57	2.386355e-58	1.334385e-59	6.677652e-61	9.019502e-62	3.580707e-62	1.440624e-62	5.930121e-63	2.526754e-63	1.130540e-63	5.390178e-64	2.771310e-64	2.605943e-64	1.684722e-62	1.964585e-60	1.726099e-58	1.129430e-56	5.404681e-55	1.863716e-53	4.748959e-52	9.161546e-51	1.335207e-49	1.461769e-48	1.225367e-47	1.097067e-46	3.518026e-45	1.366136e-43	2.587980e-42	2.448875e-41	1.333181e-40	4.799739e-40	1.314756e-39	3.179678e-39	7.592632e-39	1.823729e-38	4.237752e-38	9.062800e-38	1.664585e-37	2.266847e-37	
R5	2.270299e-69	8.605932e-70	4.456560e-70	2.281118e-70	9.938317e-71	3.571525e-71	1.059643e-71	2.631982e-72	5.774742e-73	1.285789e-73	3.370252e-74	8.565512e-75	1.891855e-75	3.305998e-76	4.494781e-77	4.869401e-78	4.432932e-79	3.516978e-80	2.176450e-81	8.695376e-83	2.243933e-84	4.302173e-86	6.749648e-88	8.931893e-90	9.991203e-92	6.238921e-93	2.477153e-93	9.967812e-94	4.103814e-94	1.748932e-94	7.826980e-95	3.732716e-95	1.919716e-95	1.805787e-95	1.167890e-93	1.362518e-91	1.197746e-89	7.841876e-88	3.755187e-86	1.295947e-84	3.305250e-83	6.383118e-82	9.314082e-81	1.021122e-79	8.573627e-79	7.690200e-78	2.471882e-76	9.628898e-75	1.831620e-73	1.742667e-72	9.556210e-72	3.473759e-71	9.638411e-71	2.371393e-70	5.794792e-70	1.436038e-69	3.482185e-69	7.899206e-69	1.576663e-68	2.422890e-68	
R6	5.594690e-24	9.305437e-24	2.202363e-23	5.375715e-23	1.167445e-22	2.190187e-22	3.559931e-22	5.094544e-22	6.788490e-22	9.699741e-22	1.728440e-21	3.171982e-21	5.389128e-21	7.740964e-21	9.274721e-21	9.526459e-21	8.879818e-21	7.821221e-21	5.851138e-21	3.091303e-21	1.159586e-21	3.570721e-22	9.997918e-23	2.639841e-23	6.631048e-24	2.056047e-24	8.165427e-25	3.285887e-25	1.352709e-25	5.763725e-26	2.578684e-26	1.229337e-26	6.319743e-27	5.941892e-27	3.840948e-25	4.478599e-23	3.934731e-21	2.574606e-19	1.232125e-17	4.249507e-16	1.083133e-14	2.090442e-13	3.048432e-12	3.340036e-11	2.802743e-10	2.512533e-09	8.071334e-08	3.142084e-06	5.972866e-05	5.678765e-04	3.111765e-03	1.130306e-02	3.133832e-02	7.704623e-02	1.881363e-01	4.659120e-01	1.129063e+00	2.559845e+00	5.107218e+00	7.846380e+00	
R9	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.448371e-134	0.000000e+00	7.102360e-136	8.472916e-138	1.043844e-138	0.000000e+00	4.298919e-144	0.000000e+00	2.223701e-147	0.000000e+00	0.000000e+00	9.702846e-78	1.306341e-77	0.000000e+00	1.237762e-73	4.480863e-78	9.871379e-80	1.066490e-80	1.601897e-81	3.361265e-82	1.000556e-82	4.267854e-83	2.715300e-83	3.339885e-83	9.028662e-83	3.125424e-82	1.017051e-81	2.917639e-81	7.406172e-81	1.689615e-80	3.523561e-80	7.112236e-80	1.407839e-79	2.718019e-79	5.114669e-79	9.391980e-79	1.686752e-78	2.964956e-78	5.136941e-78	8.740685e-78	1.459498e-77	2.370029e-77	3.989963e-77	5.378560e-77	7.820319e-77	
R10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.686530e-119	5.751640e-120	5.310894e-121	5.092334e-122	5.345139e-123	6.545273e-124	1.047656e-124	2.148040e-125	0.000000e+00	3.491329e-129	0.000000e+00	0.000000e+00	1.842426e-132	9.372915e-133	0.000000e+00	2.340188e-133	1.098743e-134	6.367079e-136	4.568431e-137	4.051636e-138	4.417137e-139	5.870204e-140	9.522856e-141	2.219900e-141	1.426898e-141	2.057856e-141	3.166588e-141	4.394090e-141	5.465996e-141	6.175768e-141	6.424881e-141	6.229388e-141	5.906593e-141	5.522938e-141	5.060544e-141	4.537505e-141	3.983081e-141	3.426232e-141	2.890709e-141	2.393427e-141	1.944575e-141	1.548225e-141	1.202417e-141	8.983371e-142	6.225624e-142	3.729996e-142	
R11	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.417509e-139	3.396257e-140	8.848411e-140	3.164999e-137	0.000000e+00	1.994769e-140	0.000000e+00	0.000000e+00	7.093857e-71	9.192557e-71	0.000000e+00	1.201894e-70	2.595900e-75	6.241541e-79	3.684097e-80	3.320268e-81	3.578005e-82	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
R12	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
R13	0.000000e+00	1.121934e-114	6.831037e-116	0.000000e+00	0.000000e+00	6.093238e-119	3.567350e-118	2.698285e-119	0.000000e+00	0.000000e+00	2.485412e-120	2.231833e-121	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.422387e-129	4.613694e-130	9.962259e-133	4.742595e-134	2.644754e-135	8.882957e-137	3.771989e-139	2.336240e-68	2.674566e-68	0.000000e+00	3.242142e-69	0.000000e+00	1.823785e-67	0.000000e+00	4.043851e-68	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.334672e-68	2.682322e-68	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.504906e-67	0.000000e+00	6.249091e-67	2.805890e-67	0.000000e+00	5.298705e-67	0.000000e+00	1.331669e-66	0.000000e+00	0.000000e+00	3.280925e-68	1.351442e-66	0.000000e+00	3.064497e-67	
