Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 4.53e+12

  M10	H	+ CHO		= CH2O			2.795560e+11
  R180	H	+ HO2		= OH	+ OH		2.050210e+11
  R148	H	+ CH2O		= H2	+ CHO		1.470755e+11
  M16	H	+ O		= OH			1.403887e+11
  M13	H	+ H		= H2			1.034189e+11 (x2)
  M18	H	+ OH		= H2O			5.112363e+10
  M57	H	+ CH3		= CH4			2.583066e+10
  R182	H	+ HO2		= H2	+ O2		1.964785e+10
  R192	H	+ O3		= OH	+ O2		1.188677e+10
  R157	H	+ CH4		= CH3	+ H2		6.196978e+09
  R181	H	+ HO2		= O	+ H2O		4.556022e+09
  R152	H	+ CH3O		= CH4O			1.458955e+09
  M88	H	+ CH2O		= CH3O			1.028674e+09
  R159	H	+ CH4O		= CH3O	+ H2		9.111402e+08
  R153	H	+ CH3O		= CH3	+ OH		8.105575e+08
  R154	H	+ CH3O		= CH2O	+ H2		5.065984e+07
  R146	H	+ CH2		= CH	+ H2		5.814832e+06
  R166	H	+ H2O		= H2	+ OH		5.270348e+06
  R167	H	+ H2O2		= OH	+ H2O		2.142467e+06
  R138	H	+ C2H4O		= CH4	+ CHO		1.901134e+06
  R133	H	+ C2H3O		= CHO	+ CH3		1.604808e+06
  R137	H	+ C2H4O		= C2H3O	+ H2		1.168846e+06
  R134	H	+ C2H3O		= C2H2O	+ H2		8.753498e+05
  R145	H	+ CH		= C	+ H2		8.125038e+05
  R168	H	+ H2O2		= H2	+ HO2		2.392229e+05
  R142	H	+ C2H5O		= C2H4O	+ H2		2.298411e+05
  M9	H	+ C2H4		= C2H5			1.293699e+05
  R130	H	+ C2H2O		= CO	+ CH3		1.062230e+05
  R140	H	+ C2H5		= CH3	+ CH3		7.910842e+04
  M58	H	+ C2H5		= C2H6			6.580819e+04
  R143	H	+ C2H6		= C2H5	+ H2		4.139344e+04
  M15	H	+ NO		= HNO			2.078336e+04
  R172	H	+ HNO		= H2	+ NO		1.782995e+04
  R189	H	+ NO2		= OH	+ NO		5.105547e+03
  R136	H	+ C2H4O		= C2H5O			4.792710e+03
  R141	H	+ C2H5		= C2H4	+ H2		3.955421e+03
  M56	H	+ CH2		= CH3			3.401159e+03
  R127	H	+ C2H		= C2H2			7.260244e+02
  M7	H	+ C2H2		= C2H3			6.269219e+02
  R131	H	+ C2H3		= C2H4			3.571956e+02
  R132	H	+ C2H3		= C2H2	+ H2		3.911761e+01
  R165	H	+ CO2		= CO	+ OH		3.801905e+01
  R155	H	+ CH3O2		= CH3O	+ OH		2.777350e+01
  R190	H	+ NO3		= OH	+ NO2		2.332584e+01
  M23	N	+ H		= NH			5.365839e+00
  R171	H	+ HCNO		= CO	+ NH2		7.333357e-01
  R175	H	+ HNO2		= OH	+ HNO		1.566158e-01
  M14	H	+ NH2		= NH3			1.009807e-01
  R177	H	+ HNO2		= H2O	+ NO		5.818954e-02
  R149	H	+ CH3		= CH2	+ H2		2.020811e-02
  R150	H	+ CH3NO2	= CH4O	+ NO		8.907878e-03
  R176	H	+ HNO2		= H2	+ NO2		3.266898e-03
  R163	H	+ CNO		= CO	+ NH		1.223780e-03
  R161	H	+ CH4O2		= H2	+ CH3O2		1.456443e-04
  R160	H	+ CH4O2		= CH3O	+ H2O		1.207052e-04
  R135	H	+ C2H4		= C2H3	+ H2		3.281462e-06
  M11	H	+ CN		= HCN			1.694005e-06
  R173	H	+ HNO		= OH	+ NH		1.054529e-07
  R178	H	+ HNO3		= H2O	+ NO2		1.385467e-08
  R186	H	+ NH3		= H2	+ NH2		6.085524e-09
  R164	H	+ CNO		= HCN	+ O		3.529222e-10
  R169	H	+ HCNO		= H2	+ CNO		1.406844e-13
  R179	H	+ HNO3		= H2	+ NO3		1.466631e-14
  R641	N2H3	+ H		= NH2	+ NH2		4.334540e-15
  M51	H	+ SO		= HSO			2.400618e-16
  R183	H	+ N2O		= NO	+ NH		2.395833e-16
  R639	N2H4	+ H		= N2H3	+ H2		2.255878e-16
  R575	HSO	+ H		= HS	+ OH		1.799245e-16
  R174	H	+ HNO		= NH2	+ O		1.442859e-16
  R560	HS	+ H		= H2	+ S		1.260365e-16
  M48	SO2	+ H		= HSO2			4.783070e-17
  R567	HSO3	+ H		= H2	+ SO3		1.699272e-17
  R576	HSO	+ H		= H2	+ SO		1.599329e-17
  R156	H	+ CH3O2		= CH4	+ O2		2.551303e-18
  R129	H	+ C2H2		= C2H	+ H2		1.232663e-18
  R230	H2S	+ H		= H2	+ HS		3.805487e-19
  R554	SO3	+ H		= OH	+ SO2		6.637727e-20
  R188	H	+ NO		= OH	+ N		1.661826e-31
  R128	H	+ C2H		= H2	+ C2		9.972892e-33
  R187	H	+ NO		= NH	+ O		1.412907e-46
  R103	CH4S	+ H		= CH3	+ H2S		0.000000e+00
  R104	CH4S	+ H		= H2	+ CH3S		0.000000e+00

************************************************************

OH				PRODUCTION RXS		INT RX RATE	TP = 2.82e+12

  P6	H2O			= H	+ OH		1.862255e+12
  R441	O	+ HO2		= OH	+ O2		2.955618e+11
  R180	H	+ HO2		= OH	+ OH		2.050210e+11 (x2)
  M16	H	+ O		= OH			1.403887e+11
  R428	O	+ CHO2		= CO2	+ OH		8.320788e+10
  R192	H	+ O3		= OH	+ O2		1.188677e+10
  R426	O	+ CHO		= CO	+ OH		7.280123e+09
  R433	O	+ H2		= H	+ OH		4.420167e+09
  P5	HO2			= O	+ OH		3.108282e+09
  R153	H	+ CH3O		= CH3	+ OH		8.105575e+08
  R413	O	+ CH2O		= CHO	+ OH		8.050038e+08
  P7	H2O2			= OH	+ OH		1.064254e+08 (x2)
  T17	CH3O2			= CH2O	+ OH		6.068905e+07
  R455	O(1D)	+ H2		= H	+ OH		2.443918e+07
  R423	O	+ CH4		= CH3	+ OH		2.375611e+07
  R424	O	+ CH4O		= CH3O	+ OH		6.001293e+06
  R166	H	+ H2O		= H2	+ OH		5.270348e+06
  R419	O	+ CH3O		= CH2O	+ OH		5.235484e+06
  R167	H	+ H2O2		= OH	+ H2O		2.142467e+06
  R409	O	+ CH2		= CH	+ OH		3.055090e+05
  R401	O	+ C2H4O		= C2H3O	+ OH		4.652021e+04
  R247	HO2	+ C2H3O		= OH	+ CH3	+ CO2	4.437735e+04
  R450	O(1D)	+ CH4		= CH3	+ OH		2.979830e+04
  R434	O	+ H2O2		= OH	+ HO2		1.183652e+04
  R456	O(1D)	+ H2O		= OH	+ OH		1.073529e+04 (x2)
  R404	O	+ C2H5		= C2H4	+ OH		6.198735e+03
  R189	H	+ NO2		= OH	+ NO		5.105547e+03
  R439	O	+ HNO		= OH	+ NO		2.347677e+03
  R261	HO2	+ O3		= OH	+ O2	+ O2	2.261079e+03
  R259	HO2	+ NO		= OH	+ NO2		1.107542e+03
  R394	O	+ C2H3		= C2H2	+ OH		8.609327e+02
  R406	O	+ C2H6		= C2H5	+ OH		3.895217e+02
  P14	HNO2			= NO	+ OH		3.512654e+02
  R397	O	+ C2H4		= C2H3	+ OH		5.694316e+01
  R165	H	+ CO2		= CO	+ OH		3.801905e+01
  R155	H	+ CH3O2		= CH3O	+ OH		2.777350e+01
  R190	H	+ NO3		= OH	+ NO2		2.332584e+01
  R407	O	+ CH		= OH	+ C		6.304375e+00
  R246	HO2	+ C2H3		= OH	+ CH3	+ CO	2.879011e+00
  P15	HNO3			= NO2	+ OH		1.514422e+00
  R369	NO2	+ CHO		= NO	+ CO	+ OH	7.849641e-01
  R453	O(1D)	+ CH4O		= CH3O	+ OH		6.283950e-01
  R305	NH	+ O		= OH	+ N		4.970464e-01
  R215	H2O	+ C2H		= C2H2	+ OH		1.614254e-01
  R175	H	+ HNO2		= OH	+ HNO		1.566158e-01
  P27	CH2O2			= CHO	+ OH		1.386459e-01
  R323	NH2	+ O		= OH	+ NH		1.046778e-01
  P24	CH4O2			= CH3O	+ OH		6.607032e-02
  P19	HNO4			= NO3	+ OH		5.198858e-02
  R448	O(1D)	+ C2H6		= C2H5	+ OH		4.820678e-02
  R447	O(1D)	+ C2H4		= C2H3	+ OH		3.334183e-02
  T37	C2H5O			= C2H4	+ OH		3.324756e-02
  R342	NO	+ CH		= CN	+ OH		4.684735e-03
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	4.013047e-03
  R45	CH2	+ CH3O		= C2H4	+ OH		6.744243e-04
  R306	NH	+ O2		= OH	+ NO		5.608097e-04
  R425	O	+ CH4O2		= CH3O2	+ OH		2.441756e-05
  T31	C2H3O			= C2H2	+ OH		1.824951e-05
  R220	H2O	+ CNO		= HCNO	+ OH		1.155257e-05
  R417	O	+ CH3NO2	= OH	+ CH2O	+ NO	9.913706e-07
  R217	H2O	+ C2H5		= C2H6	+ OH		6.782298e-07
  R219	H2O	+ CN		= HCN	+ OH		4.657740e-07
  R173	H	+ HNO		= OH	+ NH		1.054529e-07
  R319	NH2	+ H2O		= OH	+ NH3		1.004984e-07
  R248	HO2	+ C2H4		= C2H4O	+ OH		5.553031e-08
  R418	O	+ CH3NO3	= OH	+ CH2O	+ NO2	3.623011e-08
  R245	HO2	+ C2H2		= C2H2O	+ OH		2.757556e-08
  R201	NH	+ NO		= OH	+ N2		1.162902e-08
  R303	NH	+ NO2		= OH	+ N2O		3.121072e-10
  R437	O	+ HCNO		= CNO	+ OH		1.419293e-10
  R461	O(1D)	+ NH3		= OH	+ NH2		3.202754e-11
  T3	H2O2			= OH	+ OH		3.061870e-14 (x2)
  R575	HSO	+ H		= HS	+ OH		1.799245e-16
  R578	HSO	+ O		= OH	+ SO		4.395812e-17
  R274	HSO3	+ O		= OH	+ SO3		9.697891e-18
  T9	HNO2			= OH	+ NO		2.655122e-18
  R571	S	+ HO2		= SO	+ OH		2.101712e-18
  R554	SO3	+ H		= OH	+ SO2		6.637727e-20
  R263	HS	+ HO2		= OH	+ HSO		5.937858e-21
  R558	HSO	+ O2		= OH	+ SO2		1.180450e-21
  T10	HNO3			= OH	+ NO2		2.255712e-22
  R231	H2S	+ O		= OH	+ HS		1.447499e-22
  T23	CH4O2			= CH3O	+ OH		5.002304e-23
  T20	CH4O			= CH3	+ OH		1.510595e-23
  T53	HSO3			= OH	+ SO2		1.506826e-23
  T48	CHO2			= CO	+ OH		7.065548e-24
  R268	HS	+ O2		= SO	+ OH		1.859572e-25
  R287	N	+ H2O		= OH	+ NH		6.200822e-26
  R188	H	+ NO		= OH	+ N		1.661826e-31
  R122	CO	+ CH3		= C2H2	+ OH		2.004850e-34
  R214	H2O	+ C		= CH	+ OH		5.880786e-35

OH				LOSS RXS		INT RX RATE	TL = 2.82e+12

  R512	OH	+ H2		= H2O	+ H		1.766155e+12
  M89	OH	+ CO		= CO2	+ H		5.719475e+11
  R445	O	+ OH		= O2	+ H		2.578365e+11
  M39	OH	+ CO		= CHO2			1.197631e+11
  M18	H	+ OH		= H2O			5.112363e+10
  R501	OH	+ CH4		= CH3	+ H2O		1.934493e+10
  R505	OH	+ CHO2		= CO2	+ H2O		1.782026e+10
  R493	OH	+ CH2O		= CHO	+ H2O		1.015958e+10
  R522	OH	+ HO2		= H2O	+ O2		4.949646e+09
  R504	OH	+ CHO		= CO	+ H2O		3.924448e+08
  R502	OH	+ CH4O		= CH3O	+ H2O		3.315626e+08
  R526	OH	+ OH		= H2O	+ O		1.075038e+08 (x2)
  M44	OH	+ OH		= H2O2			2.918761e+07 (x2)
  R513	OH	+ H2O2		= H2O	+ HO2		6.874643e+06
  R483	OH	+ C2H2O		= CO	+ CH3O		8.295413e+05
  R489	OH	+ C2H4O		= C2H3O	+ H2O		3.040427e+05
  M38	OH	+ C2H4		= C2H5O			1.861866e+05
  R491	OH	+ C2H6		= C2H5	+ H2O		1.003557e+05
  R499	OH	+ CH3O		= CH2O	+ H2O		3.219976e+04
  R525	OH	+ O3		= HO2	+ O2		2.826247e+04
  R487	OH	+ C2H3O		= C2H2O	+ H2O		1.366761e+04
  R496	OH	+ CH3		= CH2	+ H2O		1.202584e+04
  R481	OH	+ C2H2		= C2HO	+ H2		1.733388e+03
  M37	OH	+ C2H2		= C2H3O			9.961342e+02
  R492	OH	+ CH2		= CH2O	+ H		8.214418e+02
  M42	OH	+ NO		= HNO2			3.532820e+02
  R490	OH	+ C2H5		= C2H4	+ H2O		1.775192e+02
  R295	N	+ OH		= NO	+ H		3.856693e+01
  R519	OH	+ HNO		= H2O	+ NO		9.993605e+00
  R485	OH	+ C2H3		= C2H4O			2.327378e+00
  R486	OH	+ C2H3		= C2H2	+ H2O		2.327378e+00
  R520	OH	+ HNO2		= H2O	+ NO2		2.104057e+00
  R482	OH	+ C2H2		= CO	+ CH3		2.094359e+00
  M43	OH	+ NO2		= HNO3			2.035789e+00
  R477	OH	+ C2H		= CO	+ CH2		1.208269e+00
  R478	OH	+ C2H		= C2H2	+ O		1.208269e+00
  R500	OH	+ CH3O2		= CH4O	+ O2		3.774567e-01
  M41	OH	+ HNO3		= H2O	+ NO3		1.556624e-01
  R503	OH	+ CH4O2		= CH3O2	+ H2O		5.664620e-02
  R524	OH	+ NO3		= HO2	+ NO2		2.197653e-02
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	1.908620e-02
  R494	OH	+ CH2O2		= CHO2	+ H2O		1.340036e-02
  R308	NH	+ OH		= H	+ HNO		1.170160e-02
  R488	OH	+ C2H4		= C2H3	+ H2O		7.034538e-03
  R517	OH	+ HCNO		= CNO	+ H2O		1.314526e-03
  R309	NH	+ OH		= H2O	+ N		6.127534e-04
  R523	OH	+ NH3		= H2O	+ NH2		3.060083e-04
  R506	OH	+ CN		= H	+ CNO		2.957870e-05
  R326	NH2	+ OH		= H2O	+ NH		1.287003e-05
  R644	NH2	+ OH		= NH3	+ O		8.642935e-06
  R495	OH	+ CH3		= CH3O	+ H		4.257312e-06
  R516	OH	+ HCN		= CN	+ H2O		2.068792e-06
  R498	OH	+ CH3NO3	= CH2O	+ NO2	+ H2O	3.072396e-08
  R507	OH	+ CN		= O	+ HCN		1.633556e-08
  R515	OH	+ HCN		= CO	+ NH2		1.108040e-09
  R509	OH	+ CNO		= HCNO	+ O		2.145099e-10
  R480	OH	+ C2H2		= C2H	+ H2O		5.790337e-13
  R479	OH	+ C2H2		= C2H2O	+ H		4.860672e-14
  R40	NH	+ OH		= NH2	+ O		2.899213e-15
  R528	OH	+ SO		= SO2	+ H		4.125027e-16
  R527	OH	+ S		= H	+ SO		6.689712e-17
  M47	SO	+ OH		= HSO2			4.867999e-17
  M50	SO2	+ OH		= HSO3			2.710323e-17
  R574	HSO	+ OH		= H2O	+ SO		5.446662e-19
  R566	HSO3	+ OH		= H2O	+ SO3		4.869424e-20
  R232	H2S	+ OH		= H2O	+ HS		3.917642e-21
  R473	OCS	+ OH		= CO2	+ HS		4.983296e-37
  R556	SO3	+ OH		= HO2	+ SO2		1.356766e-50
  R107	CH4S	+ OH		= H2O	+ CH3S		0.000000e+00

************************************************************

CO				PRODUCTION RXS		INT RX RATE	TP = 2.19e+12

  R162	H	+ CHO		= CO	+ H2		1.414088e+12
  P36	CO2			= CO	+ O		6.643986e+11
  P21	CH2O			= CO	+ H2		5.041776e+10
  P37	CO2			= CO	+ O(1D)		4.791227e+10
  R426	O	+ CHO		= CO	+ OH		7.280123e+09
  R118	CHO	+ O2		= CO	+ HO2		1.544147e+09
  R504	OH	+ CHO		= CO	+ H2O		3.924448e+08
  R561	CHO	+ CHO		= CH2O	+ CO		3.348698e+08
  R416	O	+ CH3		= CO	+ H2	+ H	2.901243e+08
  R6	C	+ O2		= CO	+ O		9.517751e+07
  R123	CO2	+ CH2		= CH2O	+ CO		2.493077e+07
  R71	CH3	+ CHO		= CH4	+ CO		2.397852e+07
  R408	O	+ CH		= CO	+ H		9.122704e+06
  R411	O	+ CH2		= CO	+ H	+ H	5.091818e+06
  R412	O	+ CH2		= CO	+ H2		3.097523e+06
  R200	H2	+ C2HO		= CH3	+ CO		1.979004e+06
  R113	CHO	+ CH3O		= CH4O	+ CO		1.074408e+06
  T32	C2H3O			= CO	+ CH3		1.068523e+06
  R483	OH	+ C2H2O		= CO	+ CH3O		8.295413e+05
  R130	H	+ C2H2O		= CO	+ CH3		1.062230e+05
  R111	CHO	+ C2H4O		= CH4	+ CO	+ CHO	1.059171e+05
  P23	C2H4O			= CO	+ CH4		3.574453e+04
  R391	O	+ C2H2		= CO	+ CH2		2.009067e+04
  R348	NO	+ CHO		= CO	+ HNO		4.311737e+02
  R35	CH2	+ C2H2O		= C2H4	+ CO		3.370057e+02
  R112	CHO	+ C2H5		= C2H6	+ CO		2.640524e+02
  R389	O	+ C2H		= CO	+ CH		2.135349e+02
  R110	CHO	+ C2H3O		= C2H4O	+ CO		1.218240e+02
  R60	CH3	+ C2H3O		= C2H6	+ CO		6.690240e+01
  R165	H	+ CO2		= CO	+ OH		3.801905e+01
  R246	HO2	+ C2H3		= OH	+ CH3	+ CO	2.879011e+00
  R482	OH	+ C2H2		= CO	+ CH3		2.094359e+00
  R477	OH	+ C2H		= CO	+ CH2		1.208269e+00
  R369	NO2	+ CHO		= NO	+ CO	+ OH	7.849641e-01
  R336	NO	+ C2HO		= CO	+ HCNO		7.344657e-01
  R171	H	+ HCNO		= CO	+ NH2		7.333357e-01
  R50	CH2	+ CHO		= CO	+ CH3		1.875230e-01
  R430	O	+ CN		= CO	+ N		3.630059e-02
  P29	CH2O2			= H2O	+ CO		2.970983e-02
  R296	N2O	+ C		= CO	+ N2		1.051020e-02
  R340	NO	+ CH		= CO	+ NH		8.365598e-03
  R431	O	+ CNO		= CO	+ NO		1.930377e-03
  R109	CHO	+ C2H3		= C2H4	+ CO		1.642793e-03
  R163	H	+ CNO		= CO	+ NH		1.223780e-03
  R108	CHO	+ C2H		= C2H2	+ CO		6.862049e-04
  R361	NO2	+ C2HO		= CO	+ CHO	+ NO	3.268617e-04
  R436	O	+ HCN		= CO	+ NH		2.113080e-04
  R331	NO	+ C		= CO	+ N		4.359319e-05
  R333	NO	+ C2H		= HCN	+ CO		2.035415e-06
  R117	CHO	+ CNO		= HCNO	+ CO		1.043511e-07
  R116	CHO	+ CN		= HCN	+ CO		8.868025e-09
  R355	NO2	+ C		= CO	+ NO		8.650952e-09
  R421	O3	+ C2H2		= CO	+ CH2O2		3.440591e-09
  R515	OH	+ HCN		= CO	+ NH2		1.108040e-09
  R350	NO	+ CNO		= CO	+ N2O		4.623776e-12
  R352	NO	+ CNO		= CO	+ N2	+ O	2.713450e-12
  R372	NO2	+ CN		= CO	+ N2O		1.055684e-14
  R375	NO2	+ CNO		= CO	+ NO	+ NO	1.337122e-15
  R572	S	+ CO2		= SO	+ CO		5.642285e-17
  R568	NO2	+ CHO		= CO	+ HNO2		3.054189e-17
  R569	S	+ CHO		= HS	+ CO		2.341885e-17
  T16	CH2O2			= CO	+ H2O		6.968040e-18
  R543	SO	+ CHO		= HSO	+ CO		8.161804e-19
  R267	HS	+ CHO		= H2S	+ CO		9.275610e-20
