Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 4.75e+12

  P6	H2O			= H	+ OH		2.422731e+12
  R512	OH	+ H2		= H2O	+ H		1.416618e+12
  M89	OH	+ CO		= CO2	+ H		5.668037e+11
  R445	O	+ OH		= O2	+ H		3.269223e+11
  P20	CH2O			= CHO	+ H		1.263917e+10
  R415	O	+ CH3		= CH2O	+ H		6.371629e+08
  R597	CH21	+ H2		= CH3	+ H		3.865704e+08
  P32	CH4			= CH3	+ H		3.411451e+08
  R416	O	+ CH3		= CO	+ H2	+ H	2.603266e+08
  R427	O	+ CHO		= CO2	+ H		2.310423e+08
  P73	H2O			= H	+ H	+ O	2.197591e+08 (x2)
  R433	O	+ H2		= H	+ OH		1.353468e+08
  T46	CHO			= CO	+ H		8.887138e+07
  P34	CH4			= CH	+ H2	+ H	4.992367e+07
  R408	O	+ CH		= CO	+ H		2.766506e+07
  P40	CH4O			= CH3O	+ H		1.242703e+07
  R411	O	+ CH2		= CO	+ H	+ H	8.720047e+06 (x2)
  R455	O(1D)	+ H2		= H	+ OH		4.173203e+06
  R33	CH	+ CH4		= C2H4	+ H		1.233543e+06
  R202	H2	+ CH		= CH2	+ H		3.795979e+05
  R396	O	+ C2H4		= C2H3O	+ H		1.406534e+05
  R403	O	+ C2H5		= C2H4O	+ H		7.810869e+04
  P59	C2H4			= C2H2	+ H	+ H	8.085756e+03 (x2)
  P56	C2H2			= C2H	+ H		4.966389e+03
  R449	O(1D)	+ CH4		= CH3O	+ H		4.556126e+03
  R492	OH	+ CH2		= CH2O	+ H		2.586829e+03
  P60	C2H4			= C2H3	+ H		1.617151e+03
  R195	H2	+ C2H		= C2H2	+ H		1.516718e+03
  R203	H2	+ CH3		= CH4	+ H		1.336054e+03
  R395	O	+ C2H3		= C2H2O	+ H		7.380728e+02
  P71	HNO			= NO	+ H		6.111291e+02
  T47	CH3O			= CH2O	+ H		4.755666e+02
  P57	C2H3			= C2H2	+ H		3.039355e+02
  P63	C2H6			= C2H4	+ H	+ H	1.123618e+02 (x2)
  R390	O	+ C2H2		= H	+ C2HO		2.546802e+01
  R452	O(1D)	+ CH4O		= CH3O2	+ H		1.600118e+01
  R44	CH2	+ CH3		= C2H4	+ H		3.656970e+00
  R295	N	+ OH		= NO	+ H		1.380775e+00
  P42	NH3			= NH2	+ H		1.304591e+00
  T38	C2H5O			= C2H4O	+ H		7.937366e-01
  R206	H2	+ CHO		= CH2O	+ H		1.717816e-01
  R204	H2	+ CH3O		= CH4O	+ H		1.551038e-01
  R322	NH2	+ O		= H	+ HNO		1.270297e-01
  T49	CHO2			= CO2	+ H		9.758433e-02
  R304	NH	+ O		= NO	+ H		4.923796e-02
  P41	HCN			= H	+ CN		4.848188e-03
  R308	NH	+ OH		= H	+ HNO		4.153395e-03
  R198	H2	+ C2H5		= C2H6	+ H		2.243428e-03
  R370	NO2	+ CHO		= NO	+ CO2	+ H	9.600352e-04
  R339	NO	+ CH		= H	+ CNO		4.493019e-04
  R281	N	+ CH		= CN	+ H		1.258806e-04
  R506	OH	+ CN		= H	+ CNO		1.164890e-04
  R435	O	+ HCN		= H	+ CNO		6.474919e-05
  R212	H2	+ NH2		= NH3	+ H		5.655413e-05
  R207	H2	+ CN		= HCN	+ H		1.434734e-05
  R495	OH	+ CH3		= CH3O	+ H		2.289144e-06
  R197	H2	+ C2H3		= C2H4	+ H		1.790022e-06
  P28	CH2O2			= CHO2	+ H		1.378288e-07
  R327	NH3	+ CH		= HCN	+ H2	+ H	3.265403e-08
  R277	N	+ C2H3		= C2H2N	+ H		1.215921e-09
  R301	NH	+ NO		= N2O	+ H		7.608238e-10
  R209	H2	+ HO2		= H2O2	+ H		2.222453e-10
  P70	C2H5N			= HCN	+ CH3	+ H	4.980480e-12
  T27	C2H5			= C2H4	+ H		2.166838e-12
  R479	OH	+ C2H2		= C2H2O	+ H		1.216840e-13
  P68	N2H4			= N2H3	+ H		6.858348e-14
  R289	N	+ NH		= N2	+ H		1.538686e-14
  R205	H2	+ CH3O2		= CH4O2	+ H		2.640225e-16
  R213	H2	+ NO2		= H	+ HNO2		1.541598e-19
  R3	C	+ H2		= CH	+ H		7.365884e-20
  T2	HO2			= O2	+ H		2.361451e-20
  T8	HNO			= H	+ NO		6.133110e-21
  T25	C2H3			= C2H2	+ H		1.581947e-28
  R10	H2	+ C2H4		= C2H5	+ H		3.641169e-45
  R41	H2	+ C2H2		= C2H3	+ H		5.696825e-50
  T19	CH4O			= CH3O	+ H		4.510228e-51
  T28	C2H6			= C2H5	+ H		4.342925e-51
  T57	HCN			= H	+ CN		1.012667e-73
  R266	HS	+ O		= H	+ SO		0.000000e+00
  R527	OH	+ S		= H	+ SO		0.000000e+00
  R528	OH	+ SO		= SO2	+ H		0.000000e+00
  R533	S	+ HS		= H	+ S2		0.000000e+00
  R546	SO2	+ C2H		= CO	+ OCS	+ H	0.000000e+00
  T42	HSO			= SO	+ H		0.000000e+00
  T43	HOSO			= SO2	+ H		0.000000e+00
  T59	H2S			= HS	+ H		0.000000e+00
  P38	H2			= H	+ H		0.000000e+00 (x2)
  P45	H2S			= HS	+ H		0.000000e+00

H				LOSS RXS		INT RX RATE	TL = 4.74e+12

  M18	H	+ OH		= H2O			8.121535e+11
  M17	H	+ O2		= HO2			7.380837e+11
  M13	H	+ H		= H2			6.948884e+11 (x2)
  M12	H	+ CO		= CHO			6.127925e+11
  R162	H	+ CHO		= CO	+ H2		5.962931e+11
  R180	H	+ HO2		= OH	+ OH		2.966987e+11
  M10	H	+ CHO		= CH2O			1.178193e+11
  R148	H	+ CH2O		= H2	+ CHO		7.568821e+10
  M16	H	+ O		= OH			4.646875e+10
