Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       10.000000   1.6300465e-18
       14.000000   1.1017930e-18
       18.000000   7.7268059e-19
       22.000000   5.6636969e-15
       26.000000   1.9324132e-11
       30.000000   2.2772463e-08
       34.000000   1.6764863e-06
       38.000000   8.9804893e-06
       42.000000   2.9180989e-07
       46.000000   3.9819885e-05
       50.000000   2.3409924e-06
       54.000000   6.1887081e-07
       58.000000   2.3856130e-06
       62.000000   3.6190951e-06
       66.000000   2.1998851e-06
       70.000000   8.3061544e-06
       74.000000   9.3089350e-06
       78.000000   7.2493656e-05
       82.000000    0.0019462562
       86.000000   0.00063168418
       90.000000   0.00011056050
       94.000000      0.18573767
       98.000000    0.0017864876
       102.00000    0.0025521136
       106.00000   0.00012826259
       110.00000   1.5034881e-05
       114.00000      0.22604765
       118.00000    0.0029546089
       122.00000   0.00017434119
       125.05644   5.0559177e-05
       125.13658   5.2191527e-05
       125.15644     0.017127738
       125.23658   6.4209605e-05
       125.24285   6.5720370e-05
       125.34285     0.010113466
       125.37060   0.00025959720
       125.47060    0.0010216450
       126.00000   0.00053284390
       128.06212   0.00053051785
       128.09559   4.5972699e-05
       128.16212   4.6355364e-05
       128.19559   4.6547890e-05
       128.20559   4.6612243e-05
       128.30559   0.00013986209
       128.37135    0.0072828271
       128.47135   4.8473011e-05
       128.48676   4.8562384e-05
       128.58676   4.9476617e-05
       129.30207   5.6859102e-05
       129.34907   5.7809605e-05
       129.40207   5.9047294e-05
       129.44907      0.33014141
       129.68320   6.3430772e-05
       129.70739    0.0035416040
       129.72364    0.0030775137
       129.78320       1.5184483
       129.80435   6.6542636e-05
       129.80739   6.6634631e-05
       129.82364   0.00014374740
       129.90435     0.011439314
       130.00000       2.2371752
       132.74045   8.7740479e-05
       132.80867    0.0013341357
       132.84045    0.0033759810
       132.90867     0.016888847
       134.00000     0.029275209
       137.39627    0.0055898480
       137.46082    0.0018382306
       137.49627     0.014015223
       137.56082     0.058992935
       138.00000    0.0091748717
       142.00000    0.0051097541
       146.00000    0.0021817250
       150.00000     0.017680722
       154.00000    0.0015980855
       154.60248      0.95301558
       154.70248    0.0022961486
       157.50048     0.084469515
       157.98245      0.85408285
       158.00000       36.399884
       159.93430     0.057796295
       160.03430       15.991898
       160.05789     0.057003300
       160.15694       8.1208222
       160.15789       14.161198
       160.25694     0.035123679
       162.00000     0.052384162
       162.65092       4.9283325
       162.98495      0.12808551
       163.17073     0.069151244
       163.76701     0.028326962
       164.14564     0.030881615
       164.22384     0.070080953
       164.75938       714.49633
       164.79837      0.16398344
       165.10213     0.025287157
       165.18925     0.051097541
       165.22808     0.032018428
       165.28925       2.3528812
       165.30333     0.078632123
       165.32808      0.10000000
       165.40333      0.65993323
       165.40895       3.8414926
       165.50006      0.25101519
       165.50895       2.8009155
       165.54046       4.1696538
       165.64046     0.031776057
       165.97078     0.032862455
       166.00000     0.033511973
       166.37908      0.15378005
       169.11743       1.0796923
       169.14157      0.25562304
       169.54736      0.39920870
       169.58865      0.42218228
       169.74274      0.53064002
       169.76900      0.75840293
       169.82937      0.73451387
       170.00000      0.82167486
       170.08171      0.96294171
       170.19356       1.2291362
       170.46834       2.6272415
       170.50938       3.0290051
       170.70404       7.1285303
       170.79661       12.743831
       170.80405       13.307608
       170.85606       20.744358
       171.09468       2437.8108
       171.10835       826.03795
       171.39415       9.6006359
       171.60795       3.5375289
       171.81393       1.8582323
       171.89966       1.4976144
       172.03344       295.12092
       172.13344      0.92597657
       172.29372      0.70274862
       172.30573      0.69119406
       172.38096      0.62201377
       172.39372      0.60617776
       172.40573      0.59429216
       172.47103      0.54275021
       172.48096       2.0244171
       172.57103       89.577719
       172.75137      0.38229622
       172.83877      0.34970352
       172.85137      0.34474661
       172.86318      0.34182199
       172.90259      0.45435990
       172.93877       706.31755
       172.94868       5.7623549
       172.96318      0.65267954
       173.00259      0.54789836
       173.04868      0.64298375
       173.30551       50.722424
       173.35880       22.557969
       173.44938      0.69422460
       173.45880      0.19692461
       173.75773      0.15977175
       173.85751      0.14842259
       173.85773      0.14842259
       173.94322      0.14226563
       173.95751      0.66420173
       174.00000      0.14282361
       174.02936      0.17326067
       174.04322      0.18945235
       174.10419      0.39201258
       174.22125      0.74644876
       174.92111     0.087216770
       175.03856     0.079836226
       175.82819     0.056441689
       175.84175      0.12980756
       175.88150     0.055080770
       175.92819     0.053839374
       175.93321     0.053715547
       175.94175       6.0855523
       175.98150      0.14447743
       176.03321       2.2382057
       176.11508     0.050769163
       176.21508     0.051227127
       176.77637      0.17799180
       176.87637     0.040860154
       177.49974     0.032092238
       177.78966       333.42641
       178.00000     0.028800498
       178.88410     0.035310186
       178.98410     0.042461956
       179.22175     0.022777182
       179.24204     0.022402681
       179.28837     0.021857475
       179.32175     0.027371588
       179.34204     0.021438777
       179.38837     0.021178734
       179.73534     0.020300185
       179.96131      0.89825574
       180.30526      0.89289420
       180.75013      0.67189282
       180.79276     0.019493957
       180.85013      0.81376686
       180.85344       1.1114758
       180.89276     0.047391450
       180.95344      0.49465226
       180.97173      0.32107020
       181.07173       1.7635996
       181.14971     0.029957116
       181.27554      0.22604765
       181.27643      0.21364857
       182.00000      0.82375867
       182.24208       6.5042916
       182.39332       6.9008089
       182.55267      0.76102689
       182.66652       8.2546754
       182.74663       2.0026267
       182.97204      0.55692921
       183.57078      0.20753913
       183.72964       10.221156
       183.74719       5.3076222
       184.01268       4.1181295
       184.11268       124.16523
       184.14284       1.0784500
       184.17102      0.55526462
       184.18572     0.020197611
       184.19202     0.020337614
       184.20966     0.022714334
       184.24284       1.0678248
       184.27102       60.297596
       184.28572      0.37549140
       184.37263      0.32553673
       184.47263       18.264172
       184.54492      0.80779284
       184.64492       2.7158139
       185.40217       4.3211565
       185.53492     0.037549140
