# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	8.482610e-61
R2	3.449856e-50
R3	1.048730e-17
R4	1.409663e-41
R5	9.665951e-38
R6	9.060003e+07
R7	2.672336e-44
R8	4.771681e-24
R9	6.786072e-21
R10	1.527953e-42
R11	4.550940e-15
R12	7.536993e-10
R13	1.296863e-16
R14	2.422979e-08
R15	1.749676e-27
R16	2.121364e-06
R17	4.926887e-20
R18	7.173819e-11
R19	1.318930e-20
R20	7.448224e-17
R21	5.047551e-09
R22	2.753210e-09
R23	9.895510e-08
R24	6.701580e-15
R25	8.473262e-13
R26	8.926119e+03
R27	7.788410e-16
R28	6.867631e-15
R29	9.045891e-14
R30	3.664614e-07
R31	1.031211e-09
R32	3.533069e-04
R33	1.693572e-01
R34	2.839344e-19
R35	3.249473e-07
R36	1.135192e-16
R37	2.669168e-10
R38	6.208360e-11
R39	1.368866e-12
R40	4.747473e-15
R41	5.743858e-45
R44	1.320713e-06
R45	3.192222e-08
R46	1.596111e-09
R47	2.576388e-14
R48	1.991984e-08
R49	1.784012e-13
R50	9.735601e-05
R51	1.940545e-09
R52	9.098649e-08
R53	4.178118e-03
R54	2.620090e-10
R55	2.949809e-10
R56	3.837585e-07
R57	8.227815e-19
R59	1.441164e-05
R60	2.496320e+01
R61	1.758981e+00
R62	1.482379e-10
R63	5.728991e-03
R64	2.428228e-01
R65	2.610254e-05
R66	7.837814e+01
R67	1.842647e+03
R68	2.255385e-03
R69	1.043696e-02
R70	5.625310e+06
R71	3.750206e+07
R72	2.880296e-12
R73	4.224640e-13
R74	4.830521e-13
R75	2.213067e-07
R76	1.729875e-02
R77	1.729875e-01
R78	1.011246e-03
R79	1.787360e+03
R80	4.420979e-07
R81	2.564643e+07
R82	6.420679e-12
R83	2.676882e-06
R84	1.326127e-03
R85	3.013527e-11
R86	1.838763e-11
R87	1.899778e-12
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	1.368120e-04
R93	4.027613e-06
R94	3.500086e-07
R95	3.037044e-07
R96	3.028552e+01
R97	1.219335e-13
R98	3.120338e-06
R99	2.337163e-09
R100	4.403460e-10
R101	8.266387e-11
R102	0.000000e+00
R103	0.000000e+00
R104	0.000000e+00
R105	0.000000e+00
R106	0.000000e+00
R107	0.000000e+00
R108	1.717264e-09
R109	3.150553e-03
R110	8.264553e+02
R111	1.037388e+06
R112	3.451855e+03
R113	2.017346e+06
R114	4.034691e+06
R115	1.921453e-02
R116	4.230328e-12
R117	2.374287e-08
R118	1.820332e+10
R119	5.195990e-18
R120	8.782514e-76
R121	4.392877e-60
R122	2.265130e-34
R123	2.699792e+04
R124	2.079816e-23
R125	6.186524e-44
R126	3.653383e-53
R127	3.834933e-07
R128	4.248459e-31
R129	1.806938e-16
R130	3.991699e+03
R131	1.030114e-01
R132	1.039270e-02
R133	3.110734e+04
R134	1.696763e+04
R135	2.667556e-06
R136	2.918776e+03
R137	6.835173e+05
R138	1.111745e+06
R140	3.487059e+04
R141	1.743529e+03
R142	5.367356e+03
R143	3.193848e+03
R145	4.821584e+00
R146	2.853713e+01
R148	1.753891e+10
R149	1.905318e-03
R150	1.668674e+00
R152	1.651534e+08
R153	9.156135e+07
R154	5.722583e+06
R155	1.309927e+01
R156	2.858108e-14
R157	4.870076e+07
R159	2.922847e+07
