Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

O				PRODUCTION RXS		INT RX RATE	TP = 5.37e+13

  R458	O(1D)	+ N2		= O	+ N2		3.120626e+13
  R454	O(1D)	+ CO2		= CO2	+ O		1.242590e+13
  P3	O3			= O2	+ O		7.163727e+12
  P36	CO2			= CO	+ O		2.708699e+12
  P1	O2			= O	+ O		8.195775e+10 (x2)
  P2	O2			= O	+ O(1D)		3.460342e+10
  P5	HO2			= O	+ OH		2.585667e+10
  R181	H	+ HO2		= O	+ H2O		3.133474e+09
  R464	O(1D)	+ O2		= O	+ O2		1.053944e+09
  P35	CO			= C	+ O		9.060004e+07
  R6	C	+ O2		= CO	+ O		9.060003e+07
  P8	NO2			= NO	+ O		1.630677e+07
  R526	OH	+ OH		= H2O	+ O		3.817889e+06
  P10	NO3			= NO2	+ O		1.782692e+06
  R466	O(1D)	+ O3		= O2	+ O	+ O	3.541224e+05 (x2)
  P73	H2O			= H	+ H	+ O	2.553169e+03
  P44	NO			= N	+ O		1.867360e+03
  T1	O3			= O2	+ O		1.012833e+03
  P16	HNO3			= HNO2	+ O		5.169333e+01
  R291	N	+ NO		= O	+ N2		4.247310e+01
  R293	N	+ O2		= NO	+ O		3.220420e+01
  R292	N	+ NO2		= N2O	+ O		2.160779e-01
  P13	N2O5			= NO3	+ NO	+ O	1.451178e-02
  R332	NO	+ C		= CN	+ O		4.491060e-05
  R341	NO	+ CH		= O	+ HCN		1.200556e-06
  R644	NH2	+ OH		= NH3	+ O		3.127767e-07
  R307	NH	+ O2		= O	+ HNO		3.336055e-08
  R478	OH	+ C2H		= C2H2	+ O		1.185673e-08
  R352	NO	+ CNO		= CO	+ N2	+ O	7.163747e-11
  R509	OH	+ CNO		= HCNO	+ O		4.608414e-12
  R164	H	+ CNO		= HCN	+ O		3.425823e-12
  R174	H	+ HNO		= NH2	+ O		4.345175e-14
  R40	NH	+ OH		= NH2	+ O		4.747473e-15
  P46	SO2			= SO	+ O		4.613881e-15
  R507	OH	+ CN		= O	+ HCN		2.743707e-15
  P51	SO			= S	+ O		1.064621e-15
  R536	S	+ O2		= SO	+ O		1.050338e-15
  R544	SO	+ O2		= SO2	+ O		2.497281e-17
  P30	SO3			= SO2	+ O		3.876321e-18
  P49	HSO			= HS	+ O		4.318046e-19
  T4	N2O			= N2	+ O		6.442354e-23
  R562	SO21	+ O2		= O	+ SO3		5.154286e-24
  T5	NO2			= NO	+ O		8.234086e-37
  R187	H	+ NO		= NH	+ O		3.848179e-44
  R540	CS	+ O2		= OCS	+ O		2.719175e-51
  T41	SO3			= SO2	+ O		6.049984e-73

O				LOSS RXS		INT RX RATE	TL = 5.37e+13

  M35	O	+ O2		= O3			5.082831e+13
  R441	O	+ HO2		= OH	+ O2		2.347368e+12
  M34	O	+ O		= O2			1.794627e+11 (x2)
  R445	O	+ OH		= O2	+ H		1.746271e+11
  M31	O	+ CO		= CO2			1.402834e+10
  R428	O	+ CHO2		= CO2	+ OH		4.083411e+09
  M16	H	+ O		= OH			1.732481e+09
  R433	O	+ H2		= H	+ OH		1.070899e+09
