Total_Molecules: 84
Total_Reactions: 735
Sorting by     : TP Descending
************************************************************

O				PRODUCTION RXS		INT RX RATE	TP = 7.39e+12

  P36	CO2			= CO	+ O		4.004789e+12
  R454	O(1D)	+ CO2		= CO2	+ O		2.739881e+12
  P3	O3			= O2	+ O		3.428451e+11
  R458	O(1D)	+ N2		= O	+ N2		9.489025e+10
  P1	O2			= O	+ O		5.556305e+10 (x2)
  P2	O2			= O	+ O(1D)		4.239164e+10
  P35	CO			= C	+ O		2.286244e+10
  R6	C	+ O2		= CO	+ O		2.285310e+10
  P5	HO2			= O	+ OH		3.956360e+09
  P46	SO2			= SO	+ O		2.093932e+09
  R544	SO	+ O2		= SO2	+ O		1.632051e+09
  R181	H	+ HO2		= O	+ H2O		3.518977e+08
  R464	O(1D)	+ O2		= O	+ O2		3.162802e+08
  R536	S	+ O2		= SO	+ O		1.462847e+08
  P51	SO			= S	+ O		1.452011e+08
  T1	O3			= O2	+ O		1.528325e+05
  R466	O(1D)	+ O3		= O2	+ O	+ O	1.178051e+05 (x2)
  P30	SO3			= SO2	+ O		3.041391e+04
  R526	OH	+ OH		= H2O	+ O		1.124053e+03
  P73	H2O			= H	+ H	+ O	3.418797e+02
  P10	NO3			= NO2	+ O		1.679715e+02
  P8	NO2			= NO	+ O		9.296020e+01
  P49	HSO			= HS	+ O		4.830299e+01
  R562	SO21	+ O2		= O	+ SO3		1.767327e+00
  P44	NO			= N	+ O		7.024935e-01
  R293	N	+ O2		= NO	+ O		1.498120e-02
  T44	HSO2			= O	+ HSO		9.289439e-03
  P16	HNO3			= HNO2	+ O		3.098428e-03
  R332	NO	+ C		= CN	+ O		6.243881e-05
  R291	N	+ NO		= O	+ N2		5.717768e-05
  R292	N	+ NO2		= N2O	+ O		2.327121e-06
  P13	N2O5			= NO3	+ NO	+ O	2.103709e-06
  R341	NO	+ CH		= O	+ HCN		3.115309e-08
  R307	NH	+ O2		= O	+ HNO		2.637780e-10
  R644	NH2	+ OH		= NH3	+ O		1.939729e-10
  R478	OH	+ C2H		= C2H2	+ O		2.383833e-13
  R352	NO	+ CNO		= CO	+ N2	+ O	1.467453e-17
  R507	OH	+ CN		= O	+ HCN		4.656826e-18
  R164	H	+ CNO		= HCN	+ O		1.129400e-18
  R509	OH	+ CNO		= HCNO	+ O		3.371587e-19
  T4	N2O			= N2	+ O		2.677630e-23
  R40	NH	+ OH		= NH2	+ O		5.236345e-24
  R540	CS	+ O2		= OCS	+ O		3.129294e-27
  R174	H	+ HNO		= NH2	+ O		2.817008e-31
  T5	NO2			= NO	+ O		1.096582e-38
  T41	SO3			= SO2	+ O		3.582911e-49
  R187	H	+ NO		= NH	+ O		4.645907e-60

O				LOSS RXS		INT RX RATE	TL = 7.39e+12

  M35	O	+ O2		= O3			3.810031e+12
  R441	O	+ HO2		= OH	+ O2		2.302816e+12
  M31	O	+ CO		= CO2			7.468502e+11
  M34	O	+ O		= O2			2.127752e+11 (x2)
  R445	O	+ OH		= O2	+ H		9.718625e+10
  M16	H	+ O		= OH			2.975264e+09
  R426	O	+ CHO		= CO	+ OH		1.569416e+09
  R427	O	+ CHO		= CO2	+ H		1.569416e+09
  R444	O	+ O3		= O2	+ O2		9.525334e+08
  R433	O	+ H2		= H	+ OH		1.864703e+08
  R413	O	+ CH2O		= CHO	+ OH		1.609259e+08
  M46	SO	+ O		= SO2			1.514399e+08
  R415	O	+ CH3		= CH2O	+ H		8.719882e+07
  R428	O	+ CHO2		= CO2	+ OH		8.136569e+07
  R434	O	+ H2O2		= OH	+ HO2		4.863009e+07
  R416	O	+ CH3		= CO	+ H2	+ H	3.562695e+07
  R411	O	+ CH2		= CO	+ H	+ H	1.027017e+07
  R408	O	+ CH		= CO	+ H		7.985282e+06
  R412	O	+ CH2		= CO	+ H2		6.247684e+06
  R423	O	+ CH4		= CH3	+ OH		1.975113e+06
  M49	SO2	+ O		= SO3			1.402544e+06
  R409	O	+ CH2		= CH	+ OH		6.162099e+05
  R419	O	+ CH3O		= CH2O	+ OH		4.165003e+05
  R420	O	+ CH3O		= CH3	+ O2		1.487501e+05
  R414	O	+ CH3		= CH3O			2.403654e+04
  R578	HSO	+ O		= OH	+ SO		1.979264e+04
  M90	O	+ NO2		= NO	+ O2		1.609132e+04
  R424	O	+ CH4O		= CH3O	+ OH		1.095703e+03
  R231	H2S	+ O		= OH	+ HS		8.850679e+02
  R398	O	+ C2H4		= CH3	+ CHO		8.452125e+02
  R266	HS	+ O		= H	+ SO		5.553890e+02
  R400	O	+ C2H4		= CH2O	+ CH2		4.905146e+02
  M33	O	+ NO2		= NO3			4.502401e+02
  M32	O	+ NO		= NO2			3.705485e+02
  R396	O	+ C2H4		= C2H3O	+ H		3.687929e+02
  R443	O	+ NO3		= NO2	+ O2		2.855547e+02
  R399	O	+ C2H4		= C2H2O	+ H2		5.268470e+01
  R422	O	+ CH3O2		= CH3O	+ O2		5.138445e+01
  R401	O	+ C2H4O		= C2H3O	+ OH		1.354359e+01
  R274	HSO3	+ O		= OH	+ SO3		8.576201e+00
  R407	O	+ CH		= OH	+ C		3.782177e+00
  R439	O	+ HNO		= OH	+ NO		3.046495e+00
