# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R319	2.121172e-10
R320	1.815960e-09
R321	1.043511e-09
R322	4.798515e-02
R323	7.451509e-03
R324	5.331683e-03
R325	3.445874e-04
R326	2.807780e-10
R327	2.681837e-21
R328	1.570394e-21
R329	9.052781e-31
R330	1.247745e-25
R331	3.334812e-05
R332	6.243881e-05
R333	6.747190e-19
R334	5.074286e-17
R335	3.793333e-11
R336	9.842685e-06
R337	3.179679e-06
R338	3.024351e-09
R339	9.095793e-09
R340	5.684871e-08
R341	3.115309e-08
R342	3.183528e-08
R346	2.353397e-05
R347	3.159868e-07
R348	2.370588e+00
R350	2.476421e-17
R351	2.766620e-17
R352	1.467453e-17
R353	8.022441e-05
R354	6.691611e+01
R355	9.822887e-12
R356	3.571754e-19
R357	2.504606e-16
R358	2.456789e-05
R359	1.673109e-11
R360	5.415346e-12
R361	8.134160e-12
R362	3.556636e-14
R363	5.608808e-15
R364	3.951275e-03
R365	9.441100e-04
R366	2.042826e-08
R367	8.684986e-20
R368	1.867031e+00
R369	2.755766e+00
R370	7.804174e-02
R371	8.127597e-26
R372	4.990967e-27
R373	3.650215e-27
R374	1.845475e-17
R375	1.462877e-18
R376	7.593811e-11
R377	8.304470e-03
R378	1.631140e-07
R379	1.140601e-11
R380	6.250443e-12
R381	2.212424e-04
R382	1.251857e-07
R383	1.043214e-07
R384	7.760266e-10
R385	7.930617e-11
R387	7.003018e-14
R389	3.042187e-05
R390	2.303191e-04
R391	8.533027e-02
R392	1.844415e-16
R393	1.804349e-02
R394	1.804349e-02
R395	1.709038e-02
R396	3.687929e+02
R397	4.565626e-02
R398	8.452125e+02
R399	5.268470e+01
R400	4.905146e+02
R401	1.354359e+01
R402	8.145643e-02
R403	5.621926e-02
R404	8.145643e-03
R405	1.128612e-02
R406	9.338340e-03
R407	3.782177e+00
R408	7.985282e+06
R409	6.162099e+05
R411	1.027017e+07
R412	6.247684e+06
R413	1.609259e+08
R414	2.403654e+04
R415	8.719882e+07
R416	3.562695e+07
R417	2.429857e-07
R418	3.779978e-09
R419	4.165003e+05
R420	1.487501e+05
R421	3.055938e-12
R422	5.138445e+01
R423	1.975113e+06
R424	1.095703e+03
R425	3.137075e-02
R426	1.569416e+09
R427	1.569416e+09
R428	8.136569e+07
R429	3.136140e-38
R430	6.354757e-05
R431	3.827711e-08
R432	9.120766e-16
R433	1.864703e+08
R434	4.863009e+07
R435	2.899763e-08
R436	1.242756e-08
R437	4.524527e-14
R438	1.401855e-10
R439	3.046495e+00
R440	1.082464e-03
R441	2.302816e+12
R443	2.855547e+02
R444	9.525334e+08
R445	9.718625e+10
R446	1.605863e-07
R447	4.290889e-05
R448	3.736092e-03
R449	3.445835e+07
R450	1.297931e+08
R451	8.614589e+06
R452	9.469558e-02
R453	4.419127e-01
R454	2.739881e+12
R455	2.913606e+09
R456	2.240164e+06
R457	1.813244e-07
R458	9.489025e+10
R459	3.978229e-01
R460	6.229408e-01
R461	1.084820e-08
R462	1.450432e-04
R463	9.380075e-05
R464	3.162802e+08
R465	1.178051e+05
R466	1.178051e+05
R467	3.701966e-18
R468	7.760854e-08
R469	1.807904e-04
R470	5.362435e+05
R471	8.261571e+01
R472	2.334171e-05
R473	4.657131e-21
R474	3.390230e-20
R475	2.359141e-14
R477	2.383833e-13
R478	2.383833e-13
R479	3.650503e-23
R480	1.221484e-22
R481	6.079884e-09
R482	7.703920e-12
R483	8.583647e+01
R485	2.682496e-11
R486	2.682496e-11
R487	3.192336e-03
