0.0    5.011755      283.6
0.1864    5.001703      282.54
0.5627    4.981254      280.41
0.94716    4.960205      278.16
1.3393    4.938545      275.81
1.7387    4.916288      273.32
2.145    4.893424      270.92
2.558    4.869955      268.38
2.9773    4.845879      265.68
3.4025    4.821201      262.81
3.8332    4.795917      259.74
4.269    4.770035      256.49
4.7091    4.743545      253.03
5.1531    4.716443      249.38
5.6003    4.688746      245.54
6.05    4.660442      241.53
6.5017    4.631533      237.37
6.9548    4.602028      233.1
7.4087    4.571907      228.74
7.863    4.541188      224.31
8.3172    4.509861      219.83
8.7708    4.477932      215.32
9.2235    4.445397      210.81
9.6787    4.412257      209.78
10.14    4.378518      209.11
10.609    4.344173      208.52
11.085    4.309215      207.94
11.567    4.273662      207.35
12.056    4.237492      206.67
12.552    4.20073      205.89
13.054    4.163355      204.97
13.562    4.125401      203.9
14.075    4.086812      202.69
14.593    4.047622      201.36
15.115    4.007839      199.94
15.641    3.967451      198.46
16.172    3.926455      196.97
16.706    3.884858      195.49
17.244    3.842654      194.01
17.786    3.799842      192.53
18.331    3.756433      191.04
18.88    3.712417      189.55
19.432    3.667794      188.05
19.987    3.62257      186.56
20.545    3.576738      185.11
21.107    3.530307      183.71
21.671    3.483272      182.37
22.239    3.435614      181.07
22.81    3.387373      179.8
23.384    3.338519      178.5
23.961    3.289063      177.16
24.54    3.239017      175.77
25.123    3.188331      174.34
25.707    3.137079      172.91
26.293    3.085187      171.53
26.882    3.03274      170.25
27.474    2.979638      169.09
28.068    2.92595      168.08
28.666    2.871661      167.19
29.268    2.816762      166.4
29.874    2.761264      165.67
30.484    2.705164      165.08
31.098    2.648448      164.53
31.718    2.591143      164.13
32.343    2.533218      163.89
32.974    2.474699      163.8
33.611    2.415582      163.82
34.255    2.355848      163.89
34.906    2.295506      163.93
35.564    2.234579      163.89
36.228    2.173034      163.78
36.898    2.110886      163.66
37.575    2.048135      163.6
38.258    1.984773      163.71
38.949    1.92081      164.07
39.649    1.856246      164.69
40.358    1.791075      165.56
41.079    1.725305      166.62
41.811    1.658929      167.75
42.555    1.591944      168.87
43.311    1.524349      169.9
44.078    1.456166      170.77
44.855    1.387373      171.44
45.642    1.317979      171.94
46.438    1.24796      172.29
47.243    1.177355      172.59
48.056    1.106156      172.89
48.878    1.034329      173.25
49.709    0.961904      173.64
50.548    0.888878      174.02
51.397    0.815249      174.37
52.255    0.741012      174.68
53.121    0.666174      174.95
53.996    0.590726      175.2
54.879    0.514677      175.42
55.77    0.438028      175.6
56.67    0.360766      175.72
57.577    0.282913      175.7
58.49    0.204456      175.34
59.407    0.125368      174.3
60.323    0.045686      172.12
61.239    -0.033997      172.12
62.155    -0.11368      172.12
63.071    -0.193362      172.12
63.987    -0.273045      172.12
64.903    -0.352728      172.12
65.819    -0.432411      172.12
66.735    -0.512093      172.12
67.651    -0.591776      172.12
68.567    -0.671459      172.12
69.483    -0.751141      172.12
70.399    -0.830824      172.12
71.315    -0.910507      172.12
72.231    -0.990189      172.12
73.147    -1.069872      172.12
74.063    -1.149555      172.12
74.979    -1.229237      172.12
75.895    -1.30892      172.12
76.811    -1.388603      172.12
77.727    -1.468286      172.12
78.643    -1.547968      172.12
79.559    -1.627651      172.12
80.475    -1.707334      172.12
81.391    -1.787016      172.12
82.307    -1.866699      172.12
83.223    -1.946382      172.12
84.139    -2.026064      172.12
85.055    -2.105747      172.12
85.971    -2.18543      172.12
86.887    -2.265113      172.12
87.803    -2.344795      172.12
88.719    -2.424478      172.12
89.635    -2.504161      172.12
90.551    -2.583843      172.12
91.467    -2.663526      172.12
92.383    -2.743209      172.12
93.299    -2.822891      172.12
94.215    -2.902574      172.12
95.131    -2.982257      172.12
96.047    -3.061939      172.12
96.963    -3.141622      172.12
97.879    -3.221305      172.12
98.795    -3.300988      172.12
99.711    -3.38067      172.12
100.627    -3.460353      172.12
