Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 5.13e+12

  P6	H2O			= H	+ OH		2.519900e+12
  M89	OH	+ CO		= CO2	+ H		1.150873e+12
  R512	OH	+ H2		= H2O	+ H		9.890853e+11
  R445	O	+ OH		= O2	+ H		4.642167e+11
  P20	CH2O			= CHO	+ H		6.209105e+09
  R415	O	+ CH3		= CH2O	+ H		2.844902e+08
  R427	O	+ CHO		= CO2	+ H		2.786315e+08
  T46	CHO			= CO	+ H		2.481034e+08
  R433	O	+ H2		= H	+ OH		1.187099e+08
  R416	O	+ CH3		= CO	+ H2	+ H	1.162346e+08
  P73	H2O			= H	+ H	+ O	2.033485e+07 (x2)
  R597	CH21	+ H2		= CH3	+ H		1.584572e+07
  P32	CH4			= CH3	+ H		1.407448e+07
  P40	CH4O			= CH3O	+ H		3.024709e+06
  R408	O	+ CH		= CO	+ H		2.209759e+06
  P34	CH4			= CH	+ H2	+ H	2.059680e+06
  R455	O(1D)	+ H2		= H	+ OH		1.419163e+06
  R411	O	+ CH2		= CO	+ H	+ H	1.080052e+06 (x2)
  R403	O	+ C2H5		= C2H4O	+ H		2.449955e+04
  R449	O(1D)	+ CH4		= CH3O	+ H		7.673503e+03
  T47	CH3O			= CH2O	+ H		1.847248e+03
  R33	CH	+ CH4		= C2H4	+ H		9.867772e+02
  R203	H2	+ CH3		= CH4	+ H		8.924675e+02
  R396	O	+ C2H4		= C2H3O	+ H		3.694014e+02
  R202	H2	+ CH		= CH2	+ H		1.050218e+02
  P71	HNO			= NO	+ H		2.228018e+01
  T38	C2H5O			= C2H4O	+ H		1.020088e+01
  P63	C2H6			= C2H4	+ H	+ H	5.613173e+00 (x2)
  R492	OH	+ CH2		= CH2O	+ H		1.104352e+00
  R452	O(1D)	+ CH4O		= CH3O2	+ H		1.013758e+00
  T49	CHO2			= CO2	+ H		7.527625e-01
  P59	C2H4			= C2H2	+ H	+ H	4.277223e-01 (x2)
  P56	C2H2			= C2H	+ H		1.139740e-01
  P60	C2H4			= C2H3	+ H		8.554447e-02
  R206	H2	+ CHO		= CH2O	+ H		7.128236e-02
  R395	O	+ C2H3		= C2H2O	+ H		6.268937e-02
  R295	N	+ OH		= NO	+ H		5.987165e-02
  R204	H2	+ CH3O		= CH4O	+ H		4.435418e-02
  P57	C2H3			= C2H2	+ H		4.253499e-02
  R390	O	+ C2H2		= H	+ C2HO		1.914307e-02
  R195	H2	+ C2H		= C2H2	+ H		1.179437e-02
  R198	H2	+ C2H5		= C2H6	+ H		7.412908e-03
  R44	CH2	+ CH3		= C2H4	+ H		3.458694e-03
  P42	NH3			= NH2	+ H		1.629319e-03
  R304	NH	+ O		= NO	+ H		1.331431e-03
