# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R319	9.260409e-08
R320	2.159582e-13
R321	2.520033e-14
R322	2.968881e-04
R323	4.610311e-05
R324	3.298757e-05
R325	1.327988e-08
R326	4.934469e-07
R327	1.131472e-14
R328	2.170991e-15
R329	9.254157e-22
R330	3.507320e-23
R331	1.518099e-05
R332	2.835161e-05
R333	4.945697e-13
R334	4.158558e-12
R335	2.163560e-05
R336	1.161480e-03
R337	3.747940e-04
R338	6.397272e-08
R339	1.923992e-07
R340	1.202495e-06
R341	6.589671e-07
R342	6.733970e-07
R346	1.097132e-03
R347	6.341289e-02
R348	1.571787e+00
R350	2.061924e-16
R351	2.531343e-16
R352	1.135063e-16
R353	3.627964e-11
R354	3.221785e-03
R355	5.412500e-12
R356	1.381255e-14
R357	1.417617e-12
R358	8.023955e-06
R359	3.613677e-06
R360	1.455399e-07
R361	2.186093e-07
R362	3.985067e-11
R363	4.344311e-11
R364	5.424711e-03
R365	1.296170e-03
R366	6.661165e-07
R367	8.030532e-27
R368	1.889409e-03
R369	2.788796e-03
R370	2.527045e-04
R371	5.131217e-20
R372	4.007651e-21
R373	2.931053e-21
R374	2.392952e-17
R375	1.896852e-18
R376	9.656917e-18
R377	5.248430e-08
R378	2.393439e-09
R379	4.585737e-13
R380	1.426193e-09
R381	8.980282e-06
R382	2.097735e-08
R383	1.748112e-08
R384	9.252545e-07
R385	5.933559e-10
R387	7.163145e-22
R389	3.679156e-02
R390	1.914307e-02
R391	5.543156e+00
R392	3.140010e-15
R393	6.098342e-02
R394	6.098342e-02
R395	6.268937e-02
R396	3.694014e+02
R397	2.692646e-01
R398	8.795190e+02
R399	5.277162e+01
R400	6.010303e+02
R401	2.049726e+03
R402	2.753050e+04
R403	2.449955e+04
R404	2.753050e+03
R405	4.918331e+03
R406	1.109501e+02
R407	1.774511e+00
R408	2.209759e+06
R409	6.480310e+04
R411	1.080052e+06
R412	6.570314e+05
R413	7.060332e+07
R414	6.723666e+04
R415	2.844902e+08
R416	1.162346e+08
R417	6.974263e-08
R418	3.685927e-08
R419	4.381442e+06
R420	1.564801e+06
R421	1.749371e-12
R422	2.014191e+08
R423	1.798702e+06
R424	4.910449e+05
R425	1.015526e+04
R426	2.786315e+08
R427	2.786315e+08
R428	1.072703e+10
R429	2.878867e-33
R430	5.340287e-05
R431	1.072112e-06
R432	6.600912e-13
R433	1.187099e+08
R434	1.732519e+06
R435	3.773619e-06
R436	1.617265e-06
R437	1.364967e-13
R438	2.243018e-10
R439	7.296193e+00
R440	1.031455e-06
R441	9.480407e+11
R443	2.158760e-02
R444	4.676554e+06
R445	4.642167e+11
R446	2.324884e-30
R447	5.153147e-06
R448	7.969386e-02
R449	7.673503e+03
R450	2.890353e+04
R451	1.918376e+03
R452	1.013758e+00
