0.000000 1.015415e-02 4.950509e-03 59.000000 56
0.000010 1.531816e-03 9.331187e-04 59.000000 56
0.000110 2.157838e-04 1.972049e-04 81.000000 56
0.001110 1.845868e-05 1.633811e-05 81.000000 56
0.011110 1.866684e-06 1.070271e-06 65.000000 5
0.111110 3.026197e-07 2.791032e-07 65.000000 5
1.111110 3.220823e-08 2.753205e-08 25.000000 71
11.111110 3.637174e-09 3.175288e-09 25.000000 71
111.111110 3.057963e-10 2.649022e-10 25.000000 71
1111.111110 5.857959e-11 5.395764e-11 25.000000 71
11111.111110 5.249255e-12 3.508157e-12 7.000000 71
111111.111110 6.712636e-13 4.487253e-13 7.000000 71
1111111.111110 6.776972e-14 4.310043e-14 7.000000 71
11111111.111110 9.475799e-16 7.024123e-16 7.000000 71
111111111.111110 3.799848e-17 3.785117e-17 7.000000 36
1111111111.111110 4.381162e-18 3.673851e-18 7.000000 71
11111111111.111111 5.321644e-20 4.220402e-20 7.000000 71
111111111111.111115 1.150614e-22 1.142477e-22 27.000000 32
1111111111111.111084 1.081123e-24 1.015356e-24 49.000000 22
11111111111111.111328 2.833529e-26 2.827059e-26 51.000000 33
111111111111111.109375 4.207030e-27 3.331793e-27 7.000000 71
1111111111111111.125000 2.037301e-28 1.669863e-28 7.000000 71
11111111111111112.000000 5.415279e-29 4.401546e-29 7.000000 71
111111111111111104.000000 6.175765e-30 5.041769e-30 7.000000 71
1111111111111111168.000000 3.216298e-31 2.660070e-31 7.000000 71
11111111111111110656.000000 8.770691e-32 7.102197e-32 7.000000 71
111111111111111114752.000000 6.886914e-33 5.586879e-33 7.000000 71
1111111111111111081984.000000 3.316289e-34 2.683960e-34 7.000000 71
11111111111111111344128.000000 2.110667e-35 1.663500e-35 7.000000 71
111111111111111109246976.000000 1.432613e-36 1.143441e-36 7.000000 71
1111111111111111092469760.000000 4.464493e-37 3.620800e-37 7.000000 71
11111111111111108777213952.000000 5.152849e-38 4.196314e-38 7.000000 71
111111111111111104952008704.000000 7.367351e-39 5.997882e-39 7.000000 71
1111111111111110912081133568.000000 8.261217e-40 6.720030e-40 7.000000 71
11111111111111109670567149568.000000 9.772677e-41 7.933982e-41 7.000000 71
111111111111111105501764517888.000000 3.511378e-43 2.628130e-43 7.000000 71
1111111111111110914280156823552.000000 3.065855e-43 2.514943e-43 7.000000 71
11111111111111109705751521656832.000000 4.514669e-44 3.673220e-44 7.000000 71
111111111111111097057515216568320.000000 4.398707e-45 3.527957e-45 7.000000 71
1111111111111111114690340241539072.000000 3.404592e-46 2.737668e-46 7.000000 71
11111111111111109993981897808543744.000000 5.948795e-47 4.877219e-47 7.000000 71
111111111111111113774877033367601152.000000 8.338419e-48 6.821302e-48 7.000000 71
1111111111111111027068305891418701824.000000 6.527992e-50 6.427560e-50 3.000000 12
11111111111111108499795627838070063104.000000 3.345857e-50 2.690870e-50 7.000000 71
111111111111111089720322761250345844736.000000 8.505830e-52 7.183815e-52 7.000000 71
1111111111111110859424295749546296737792.000000 8.472660e-53 7.638857e-53 7.000000 71
11111111111111107687548592784491086348288.000000 6.132164e-54 5.842313e-54 1.000000 12
111111111111111081711189206303427562307584.000000 3.391040e-54 2.747079e-54 7.000000 71
1111111111111110971854396973706809985466368.000000 6.719903e-55 5.424112e-55 7.000000 71
11111111111111110028028979558413168579444736.000000 4.942652e-56 3.944468e-56 7.000000 71
111111111111111107707930031296413335189192704.000000 2.905295e-57 2.296469e-57 7.000000 71
1111111111111110997851137798699795758347976704.000000 4.343369e-58 3.499480e-58 7.000000 71
11111111111111110612336678101112658331831369728.000000 1.998026e-59 1.615298e-59 7.000000 71
111111111111111113729270382380502992298532929536.000000 3.493650e-61 2.639334e-61 7.000000 71
1111111111111111177857523031108370770879831867392.000000 2.959376e-61 2.443183e-61 7.000000 71
11111111111111112103093783969510434491954339250176.000000 1.392865e-62 1.173318e-62 7.000000 71
111111111111111128819383127497345787715287886331904.000000 6.243061e-64 6.211797e-64 13.000000 36
1111111111111111122040331801858973764176996328275968.000000 2.856270e-64 2.346744e-64 7.000000 71
11111111111111110888096319072360769415818198212673536.000000 1.013376e-65 9.700181e-66 1.000000 12
111111111111111100905595216014112456735339620444667904.000000 1.376918e-66 1.312126e-66 1.000000 12
1111111111111111179197135620610356299040699920330784768.000000 2.553863e-67 2.054423e-67 7.000000 71
11111111111111112132253723127042026453781606635076059136.000000 3.091551e-68 2.513926e-68 7.000000 71
111111111111111121322537231270420264537816066350760591360.000000 5.531023e-69 4.520937e-69 7.000000 71
1111111111111111126113086380943955998754261160974943780864.000000 1.674042e-70 1.308251e-70 7.000000 71
11111111111111112654927438717603506333525003650272031932416.000000 8.773529e-72 8.406515e-72 1.000000 12
111111111111111115398901787910723492567390900178539566333952.000000 4.995886e-72 4.064149e-72 7.000000 71
1111111111111111332394979467352220057959655182972287711182848.000000 3.674050e-73 3.043675e-73 7.000000 71
11111111111111112610325948320542260050453567104975308920455168.000000 1.010461e-74 7.807083e-75 7.000000 71
111111111111111117539773326969663314154819854352782270908071936.000000 7.459916e-76 7.388381e-76 1.000000 12
1111111111111111358085437936059497917008802633063200166072287232.000000 2.559424e-76 2.095960e-76 7.000000 71
11111111111111112484728151362417790517324401793419736918773465088.000000 9.739145e-77 7.920650e-77 7.000000 71
111111111111111133616291337609595414395353014231895487123329908736.000000 6.570583e-78 5.305003e-78 7.000000 71
1111111111111111195858756192329273996399786201555784984263774961664.000000 1.118632e-79 9.871254e-80 7.000000 71
11111111111111113081020819393426181144427813541663208938393942622208.000000 3.067061e-80 2.545453e-80 7.000000 71
111111111111111121830742134173194282000838523207789216617889882177536.000000 5.478000e-81 4.507043e-81 7.000000 71
1111111111111111170416935689672915996310040633630730178093301253537792.000000 4.865823e-82 4.019553e-82 7.000000 71
11111111111111112087293242113201374552687163123884597685617793081278464.000000 7.889386e-84 6.446669e-84 7.000000 71
111111111111111123937923502863791462243565685539464344093656175179988992.000000 3.444343e-84 2.798264e-84 7.000000 71
1111111111111111288419092336346358089902761724204537316736213661675159552.000000 1.179653e-85 9.317720e-86 7.000000 71
11111111111111112491872064901796033159290778291566222160964921337749438464.000000 2.536680e-86 2.043615e-86 7.000000 71
111111111111111115503068045937939185839223648104162597456116046681442615296.000000 1.289973e-87 1.025004e-87 7.000000 71
1111111111111111230355901284019561024421709559533622967789425800382840307712.000000 3.188129e-88 2.617683e-88 7.000000 71
11111111111111111098355479645952903587745526339464277786242012666733776601088.000000 3.114789e-89 2.550498e-89 7.000000 71
111111111111111120625183062013470689129227817441618392995638089364094777819136.000000 2.527303e-90 2.108918e-90 7.000000 71
1111111111111111257673848036422395708635065129333387210666876694690318507835392.000000 6.814423e-91 5.587276e-91 7.000000 71
11111111111111112576738480364223957086350651293333872106668766946903185078353920.000000 4.026004e-92 3.306960e-92 7.000000 71
111111111111111125767384803642239570863506512933338721066687669469031850783539200.000000 3.681948e-93 2.991148e-93 7.000000 71
1111111111111111257673848036422395708635065129333387210666876694690318507835392000.000000 2.266599e-94 2.215750e-94 1.000000 12
11111111111111112576738480364223957086350651293333872106668766946903185078353920000.000000 1.704178e-95 1.683770e-95 1.000000 12
111111111111111132507371470429899519530260284688246389475973775104174971059441762304.000000 1.445170e-96 1.146222e-96 7.000000 71
1111111111111111486833394707202833963304693369000247936582604286285184597216079118336.000000 1.764201e-97 1.479554e-97 7.000000 71
11111111111111115299693093746438576347719175082316570144020353623501005669818555170816.000000 1.520297e-98 1.240775e-98 7.000000 71
111111111111111149546057764069103869759813819684652975214649050149816779116923439808512.000000 5.918303e-99 4.782881e-99 7.000000 71
1111111111111111605888519189340059296554231993278936991364234056224352673769621978873856.000000 4.724068e-100 3.835580e-100 7.000000 71
11111111111111116942308724282592757757191070304248627827384289000053005798499320435048448.000000 2.000073e-101 1.655430e-101 7.000000 71
111111111111111162355698983712390259238720700070812214963907302498054225498568399180005376.000000 6.519524e-102 5.286998e-102 7.000000 71
1111111111111111651826542873578051865719967012594818402878815374990445584931383212481970176.000000 3.973222e-103 3.215395e-103 7.000000 71
11111111111111115613639731569247741910551349745573903925116398549587549291051457062998376448.000000 1.403329e-104 1.321757e-104 1.000000 12
111111111111111170610408470357001847051886623541727520909912068700945997842712571619124969472.000000 5.904377e-105 4.776275e-105 7.000000 71
1111111111111111648208040084911920758733373731073321282464128354189177958698333712234684874752.000000 3.571172e-106 2.905861e-106 7.000000 71
11111111111111118334753828646178334364469497449739738476961038192140804218304681248956922986496.000000 4.188282e-107 3.374738e-107 7.000000 71
111111111111111175936844575273546836536151933941371282160331363320411943657761435983128932909056.000000 5.416843e-108 4.399497e-108 7.000000 71
1111111111111111877939545131747252479098207988310130463351777930820057012982180383934334080385024.000000 1.848751e-109 1.503417e-109 7.000000 71
11111111111111117830826656285378251881088570691929963499530064927273069518585275646518982793494528.000000 3.104822e-110 2.513699e-110 7.000000 71
111111111111111178308266562853782518810885706919299634995300649272730695185852756465189827934945280.000000 2.469946e-111 2.047036e-111 7.000000 71
1111111111111111722374262746483791721875672480958030517377792772347946912739389760311139366686687232.000000 6.970285e-112 5.705676e-112 7.000000 71
11111111111111118195077073577702452678487678221339758494981347249549229753300102472563536269471121408.000000 6.258820e-113 5.100002e-113 7.000000 71
