Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 3.43e+12

  P6	H2O			= H	+ OH		1.321215e+12
  M89	OH	+ CO		= CO2	+ H		1.159809e+12
  R512	OH	+ H2		= H2O	+ H		5.074543e+11
  R445	O	+ OH		= O2	+ H		4.353277e+11
  P20	CH2O			= CHO	+ H		6.811254e+09
  T46	CHO			= CO	+ H		5.047358e+08
  R427	O	+ CHO		= CO2	+ H		4.645296e+08
  R433	O	+ H2		= H	+ OH		1.837814e+08
  R415	O	+ CH3		= CH2O	+ H		1.186794e+08
  R416	O	+ CH3		= CO	+ H2	+ H	4.848903e+07
  P73	H2O			= H	+ H	+ O	3.898940e+06 (x2)
  R597	CH21	+ H2		= CH3	+ H		3.525191e+06
  P32	CH4			= CH3	+ H		3.114576e+06
  P40	CH4O			= CH3O	+ H		2.838478e+06
  R455	O(1D)	+ H2		= H	+ OH		1.564050e+06
  R408	O	+ CH		= CO	+ H		4.773395e+05
  P34	CH4			= CH	+ H2	+ H	4.557916e+05
  R411	O	+ CH2		= CO	+ H	+ H	2.602881e+05 (x2)
  R403	O	+ C2H5		= C2H4O	+ H		1.630478e+04
  R449	O(1D)	+ CH4		= CH3O	+ H		4.840328e+03
  T47	CH3O			= CH2O	+ H		3.143607e+03
  R203	H2	+ CH3		= CH4	+ H		2.780567e+02
  T38	C2H5O			= C2H4O	+ H		2.404617e+02
  R396	O	+ C2H4		= C2H3O	+ H		1.406082e+02
  P71	HNO			= NO	+ H		9.449679e+01
  R33	CH	+ CH4		= C2H4	+ H		3.532795e+01
  R202	H2	+ CH		= CH2	+ H		7.373635e+00
  R452	O(1D)	+ CH4O		= CH3O2	+ H		2.263270e+00
  P63	C2H6			= C2H4	+ H	+ H	1.907381e+00 (x2)
  T49	CHO2			= CO2	+ H		1.555229e+00
  R492	OH	+ CH2		= CH2O	+ H		1.743980e-01
  R295	N	+ OH		= NO	+ H		1.726908e-01
  P57	C2H3			= C2H2	+ H		9.499592e-02
  R206	H2	+ CHO		= CH2O	+ H		6.765714e-02
  R204	H2	+ CH3O		= CH4O	+ H		3.751095e-02
  P59	C2H4			= C2H2	+ H	+ H	3.360134e-02 (x2)
  R395	O	+ C2H3		= C2H2O	+ H		3.212567e-02
  P56	C2H2			= C2H	+ H		1.814101e-02
  P60	C2H4			= C2H3	+ H		6.720267e-03
  R390	O	+ C2H2		= H	+ C2HO		6.164133e-03
  R370	NO2	+ CHO		= NO	+ CO2	+ H	6.114974e-03
  R198	H2	+ C2H5		= C2H6	+ H		6.097164e-03
  R304	NH	+ O		= NO	+ H		2.583791e-03
  R195	H2	+ C2H		= C2H2	+ H		2.266983e-03
  P42	NH3			= NH2	+ H		1.263141e-03
  R44	CH2	+ CH3		= C2H4	+ H		7.093767e-04
  R322	NH2	+ O		= H	+ HNO		2.015745e-04
  R495	OH	+ CH3		= CH3O	+ H		9.990021e-05
  P41	HCN			= H	+ CN		1.252186e-05
  R435	O	+ HCN		= H	+ CNO		8.423103e-06
  R308	NH	+ OH		= H	+ HNO		7.861862e-06
  P28	CH2O2			= CHO2	+ H		1.197899e-06
  R209	H2	+ HO2		= H2O2	+ H		1.195165e-06
  R281	N	+ CH		= CN	+ H		3.033979e-07
  R197	H2	+ C2H3		= C2H4	+ H		1.984293e-07
  R212	H2	+ NH2		= NH3	+ H		1.794240e-07
  R339	NO	+ CH		= H	+ CNO		7.448461e-08
  R207	H2	+ CN		= HCN	+ H		3.108455e-08
  R506	OH	+ CN		= H	+ CNO		2.483010e-09
  R205	H2	+ CH3O2		= CH4O2	+ H		6.146681e-10
  T27	C2H5			= C2H4	+ H		2.394521e-10
  R301	NH	+ NO		= N2O	+ H		3.210007e-13
  R479	OH	+ C2H2		= C2H2O	+ H		1.731908e-13
  R528	OH	+ SO		= SO2	+ H		1.894727e-15
  R277	N	+ C2H3		= C2H2N	+ H		7.816945e-16
  T2	HO2			= O2	+ H		5.422033e-16
  P70	C2H5N			= HCN	+ CH3	+ H	1.353525e-16
  R289	N	+ NH		= N2	+ H		1.299472e-16
  R527	OH	+ S		= H	+ SO		9.831995e-17
  R327	NH3	+ CH		= HCN	+ H2	+ H	7.110456e-17
  R266	HS	+ O		= H	+ SO		1.585704e-17
  R213	H2	+ NO2		= H	+ HNO2		2.065335e-18
  P68	N2H4			= N2H3	+ H		3.972734e-19
  T8	HNO			= H	+ NO		3.716099e-20
  P45	H2S			= HS	+ H		3.089932e-20
  R3	C	+ H2		= CH	+ H		5.968966e-22
  T25	C2H3			= C2H2	+ H		6.020106e-26
  R546	SO2	+ C2H		= CO	+ OCS	+ H	2.036291e-30
  R10	H2	+ C2H4		= C2H5	+ H		1.658532e-43
  R533	S	+ HS		= H	+ S2		1.109421e-43
  T43	HOSO			= SO2	+ H		1.116122e-47
  T28	C2H6			= C2H5	+ H		3.755629e-48
  R41	H2	+ C2H2		= C2H3	+ H		3.674184e-48
  T19	CH4O			= CH3O	+ H		1.449689e-48
  T42	HSO			= SO	+ H		2.666155e-50
  T57	HCN			= H	+ CN		2.392030e-72
  T59	H2S			= HS	+ H		2.358684e-73
  P38	H2			= H	+ H		0.000000e+00 (x2)

H				LOSS RXS		INT RX RATE	TL = 3.43e+12

  M17	H	+ O2		= HO2			1.575807e+12
  R180	H	+ HO2		= OH	+ OH		4.582283e+11
  M12	H	+ CO		= CHO			3.673090e+11
