Type	Std	Rate
R1	4.019926e-90	2.731338e-92	1.258233e-94	4.528186e-97	5.978678e-100	6.427155e-103	7.064307e-104	4.298275e-104	9.422373e-104	3.397160e-103	3.171097e-102	8.644318e-101	7.850906e-99	2.299531e-96	1.659087e-93	1.761720e-90	1.468423e-87	6.602361e-85	1.377726e-82	1.055400e-80	2.211259e-79	1.046145e-78	1.569791e-78	1.390163e-78	8.263534e-79	3.256056e-79	8.813161e-80	1.718100e-80	2.408047e-81	2.411416e-82	1.644933e-83	6.972336e-85	1.569943e-86	5.235872e-88	3.034346e-89	5.041180e-86	8.240455e-82	3.206148e-77	2.389334e-75	3.528786e-74	2.426821e-73	8.515907e-73	2.282462e-71	
R2	7.670055e-79	1.924828e-80	1.934795e-82	1.914640e-84	1.108280e-86	3.504588e-89	1.192612e-89	2.384484e-89	8.413404e-89	2.776994e-88	1.774346e-87	2.736768e-86	1.160558e-84	1.298500e-82	3.037810e-80	9.920976e-78	2.708570e-75	4.584501e-73	4.169637e-71	1.648643e-69	2.141458e-68	7.359377e-68	8.617799e-68	6.386243e-68	3.494814e-68	1.393796e-68	4.195319e-69	9.785655e-70	1.753122e-70	2.391780e-71	2.388184e-72	1.623415e-73	6.646768e-75	5.024005e-76	1.203783e-76	4.323737e-72	1.863240e-68	2.437481e-64	3.422449e-62	1.362016e-60	1.984951e-59	1.391496e-58	8.738355e-57	
R3	2.930769e-47	4.529809e-48	2.325540e-49	2.023073e-50	2.357440e-51	8.539773e-53	1.156797e-52	3.745649e-52	1.205627e-51	2.954428e-51	8.820741e-51	4.031425e-50	3.165659e-49	4.359472e-48	9.281307e-47	2.386992e-45	5.520831e-44	9.746322e-43	1.216859e-41	9.495509e-41	3.997979e-40	8.418085e-40	1.121120e-39	1.330531e-39	1.357936e-39	1.107042e-39	7.261417e-40	3.968263e-40	1.818908e-40	7.028012e-41	2.242094e-41	5.654221e-42	1.053345e-42	5.280569e-43	1.750327e-42	2.102991e-39	2.355650e-37	5.316723e-35	6.966710e-34	4.434541e-33	1.656101e-32	4.336015e-32	6.624379e-31	
R4	3.548864e-35	9.863431e-36	1.412912e-36	7.075579e-37	1.196770e-36	5.182773e-37	1.236296e-36	1.938902e-36	1.681106e-36	6.990422e-37	1.778468e-37	3.348365e-38	5.373466e-39	2.719818e-39	1.077700e-38	3.981471e-38	9.919815e-38	1.658606e-37	1.971736e-37	1.633977e-37	9.062013e-38	3.176551e-38	8.100418e-39	1.727264e-39	3.228848e-40	1.441403e-40	2.506495e-40	4.830907e-40	8.227545e-40	1.286703e-39	1.876915e-39	2.578782e-39	3.436026e-39	2.018351e-38	2.377534e-36	2.418644e-32	1.584226e-31	2.713746e-30	1.500088e-29	3.704990e-30	1.699229e-31	3.067032e-33	6.499404e-34	
R5	1.162996e-58	3.933464e-60	3.177167e-62	2.401316e-64	1.200440e-66	2.316902e-69	4.877658e-70	4.880259e-70	5.571398e-70	5.758458e-70	1.143279e-69	5.774476e-69	8.478360e-68	3.557937e-66	3.595441e-64	5.773228e-62	8.259078e-60	7.257670e-58	3.255491e-56	5.948195e-55	3.530897e-54	6.304298e-54	5.156529e-54	3.432089e-54	1.888801e-54	7.892817e-55	2.492056e-55	6.044842e-56	1.117521e-56	1.548369e-57	1.539907e-58	1.010912e-59	3.783095e-61	2.380542e-62	3.344520e-63	5.145448e-61	6.401942e-58	1.306638e-54	1.727229e-53	1.213419e-52	5.217884e-52	1.650139e-51	3.328318e-50	
R6	3.649773e-25	2.964080e-25	1.137858e-25	1.395355e-25	4.880575e-25	4.382708e-25	4.925114e-24	6.160977e-23	6.081280e-22	3.720486e-21	1.743835e-20	7.451273e-20	3.246974e-19	1.526635e-18	7.087052e-18	2.990628e-17	1.146448e-16	4.262303e-16	1.588352e-15	5.794384e-15	1.933171e-14	5.448838e-14	1.338379e-13	3.188658e-13	6.727997e-13	1.193841e-12	1.817697e-12	2.487360e-12	3.136544e-12	3.709175e-12	4.123717e-12	4.293744e-12	4.203716e-12	1.763518e-11	1.503276e-09	1.449040e-05	1.172071e-04	2.359260e-03	3.118678e-02	2.190945e-01	9.421390e-01	2.979485e+00	6.009600e+01	
R7	7.073701e-34	5.612846e-34	2.104910e-34	2.521140e-34	8.601081e-34	7.389744e-34	7.667670e-33	8.570056e-32	7.328743e-31	3.652142e-30	1.304178e-29	3.986352e-29	1.147323e-28	3.182055e-28	7.555759e-28	1.327167e-27	1.694271e-27	1.637338e-27	1.267514e-27	7.748065e-28	3.625429e-28	1.226970e-28	3.422299e-29	9.137847e-30	2.247703e-30	5.148249e-31	9.740636e-32	1.632415e-32	2.513314e-33	3.668316e-34	5.118433e-35	6.838728e-36	8.819888e-37	4.986509e-37	5.855933e-36	8.186697e-33	1.566335e-32	4.991918e-31	2.084060e-30	1.072515e-30	1.085205e-31	2.679029e-33	3.285382e-34	
R8	6.065324e-34	3.009422e-34	7.544484e-35	6.464049e-35	1.714697e-34	1.169093e-34	6.689995e-34	2.828776e-33	8.581357e-33	3.648321e-32	1.759815e-31	7.152558e-31	2.830844e-30	1.239929e-29	5.347297e-29	1.822116e-28	4.427996e-28	7.950703e-28	1.248798e-27	2.201827e-27	5.357787e-27	1.648270e-26	5.574773e-26	1.987288e-25	6.255324e-25	1.580256e-24	3.457212e-24	6.771474e-24	1.209120e-23	2.010897e-23	3.122684e-23	4.517095e-23	6.151009e-23	3.601316e-22	4.290641e-20	5.680236e-16	6.209991e-15	1.750017e-13	3.042249e-12	2.551086e-11	1.277415e-10	4.868651e-10	1.163319e-08	
R9	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.181694e-45	5.847214e-47	1.243201e-48	3.927582e-48	2.595417e-50	5.135514e-51	1.435310e-49	1.240326e-47	1.219498e-45	1.001088e-43	5.693305e-42	1.866573e-40	4.192748e-39	4.763690e-38	2.493521e-37	5.296245e-37	5.291804e-37	3.302457e-37	1.557685e-37	6.070503e-38	2.084951e-38	6.452581e-39	1.841858e-39	4.882397e-40	1.211433e-40	2.834990e-41	7.341361e-42	2.083191e-41	3.611782e-38	1.208493e-36	4.931178e-35	8.366434e-36	1.054819e-38	3.387416e-41	1.543850e-43	3.099040e-45	
R10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.556784e-72	1.304427e-74	1.976001e-75	1.061208e-78	8.079923e-82	1.567307e-82	1.362420e-84	1.174107e-84	8.462797e-83	2.734108e-80	2.036531e-77	1.288896e-74	3.435910e-72	3.074511e-70	6.025087e-69	2.350185e-68	1.575328e-68	2.986368e-69	3.294363e-70	2.743534e-71	1.761888e-72	8.657778e-74	3.201848e-75	8.555521e-77	1.579945e-78	1.879500e-80	1.272847e-82	3.897355e-85	2.739576e-88	9.448874e-93	1.657046e-93	1.438648e-89	8.147840e-86	6.132509e-86	5.366550e-87	4.436891e-88	2.895478e-89	1.851704e-90	
