Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 8.10e+12

  R162	H	+ CHO		= CO	+ H2		4.381835e+11
  R182	H	+ HO2		= H2	+ O2		7.606137e+10
  R192	H	+ O3		= OH	+ O2		6.754806e+10
  M10	H	+ CHO		= CH2O			5.680723e+10
  M16	H	+ O		= OH			3.641892e+10
  R148	H	+ CH2O		= H2	+ CHO		3.167487e+10
  M57	H	+ CH3		= CH4			1.958042e+10
  R181	H	+ HO2		= O	+ H2O		1.763742e+10
  R167	H	+ H2O2		= OH	+ H2O		3.735228e+09
  R157	H	+ CH4		= CH3	+ H2		8.133691e+08
  R166	H	+ H2O		= H2	+ OH		6.239211e+08
  R152	H	+ CH3O		= CH4O			5.323932e+08
  R155	H	+ CH3O2		= CH3O	+ OH		5.163408e+08
  R168	H	+ H2O2		= H2	+ HO2		4.480294e+08
  R153	H	+ CH3O		= CH3	+ OH		2.950691e+08
  M88	H	+ CH2O		= CH3O			2.343656e+08
  R159	H	+ CH4O		= CH3O	+ H2		1.556820e+08
  R154	H	+ CH3O		= CH2O	+ H2		1.844182e+07
  R165	H	+ CO2		= CO	+ OH		2.506775e+05
  R133	H	+ C2H3O		= CHO	+ CH3		8.942305e+04
  R140	H	+ C2H5		= CH3	+ CH3		8.623155e+04
  M58	H	+ C2H5		= C2H6			6.204614e+04
  R161	H	+ CH4O2		= H2	+ CH3O2		5.882483e+04
  R134	H	+ C2H3O		= C2H2O	+ H2		4.877621e+04
  R160	H	+ CH4O2		= CH3O	+ H2O		4.875207e+04
  R138	H	+ C2H4O		= CH4	+ CHO		4.024515e+04
  R137	H	+ C2H4O		= C2H3O	+ H2		2.474331e+04
  R142	H	+ C2H5O		= C2H4O	+ H2		1.192238e+04
  R130	H	+ C2H2O		= CO	+ CH3		6.181875e+03
  M9	H	+ C2H4		= C2H5			4.524892e+03
  R143	H	+ C2H6		= C2H5	+ H2		4.317476e+03
  R141	H	+ C2H5		= C2H4	+ H2		4.311577e+03
  M15	H	+ NO		= HNO			1.868736e+03
  R172	H	+ HNO		= H2	+ NO		1.815737e+03
  R146	H	+ CH2		= CH	+ H2		1.384292e+03
  R145	H	+ CH		= C	+ H2		2.547449e+02
  R136	H	+ C2H4O		= C2H5O			1.213853e+02
  R189	H	+ NO2		= OH	+ NO		7.345149e+01
  M56	H	+ CH2		= CH3			1.042732e+00
  R175	H	+ HNO2		= OH	+ HNO		9.742167e-01
  R177	H	+ HNO2		= H2O	+ NO		3.254502e-01
  R190	H	+ NO3		= OH	+ NO2		1.337069e-01
  R131	H	+ C2H3		= C2H4			1.217210e-01
  R149	H	+ CH3		= CH2	+ H2		5.894116e-02
  M7	H	+ C2H2		= C2H3			5.034371e-02
  R176	H	+ HNO2		= H2	+ NO2		2.734091e-02
  R132	H	+ C2H3		= C2H2	+ H2		1.236769e-02
  M23	N	+ H		= NH			1.191027e-03
