X3	1.179818e+16	5.211404e-10
X53	1.167698e+19	5.157867e-07
X1	2.777385e+17	1.226806e-08
X56	2.207514e+08	9.750864e-18
X54	1.195420e+18	5.280321e-08
X2	1.751864e+14	7.738204e-12
X4	7.636423e+13	3.373103e-12
X5	1.224989e+14	5.410930e-12
X7	9.016440e+23	3.982674e-02
X6	5.468075e+14	2.415317e-11
X52	2.263894e+24	9.999903e-02
X20	2.832711e+18	1.251244e-07
X22	8.297445e+13	3.665085e-12
X61	4.521621e+11	1.997257e-14
X19	7.499775e+09	3.312744e-16
X58	1.307625e+04	5.775942e-22
X59	4.186121e+03	1.849062e-22
X80	1.172673e+08	5.179841e-18
X60	3.817610e+10	1.686286e-15
X21	1.740525e+17	7.688119e-09
X62	1.314833e+09	5.807782e-17
X24	2.720877e+13	1.201845e-12
X63	4.800700e+13	2.120529e-12
X23	2.171409e-01	9.591387e-27
X71	5.220500e+10	2.305960e-15
X25	3.537111e+11	1.562386e-14
X26	4.062826e-32	1.794601e-57
X64	2.487546e-03	1.098780e-28
X27	3.369468e+03	1.488336e-22
X28	3.098073e+00	1.368458e-25
X29	1.271120e+07	5.614696e-19
X30	2.636151e+06	1.164421e-19
X31	3.239806e+10	1.431063e-15
X32	4.717529e+06	2.083792e-19
X33	6.137424e+07	2.710977e-18
X34	4.777699e+06	2.110369e-19
X35	1.584976e+08	7.001035e-18
X36	3.780434e+06	1.669865e-19
X40	3.118127e-14	1.377316e-39
X41	1.509077e-28	6.665780e-54
X76	8.001204e-30	3.534232e-55
X77	6.018693e-63	2.658532e-88
X42	5.450314e-12	2.407472e-37
X43	3.389227e-11	1.497064e-36
X74	1.454204e-19	6.423402e-45
X75	5.005378e-19	2.210938e-44
X44	6.752476e-14	2.982653e-39
X45	3.057444e-20	1.350511e-45
X46	4.682111e-18	2.068147e-43
X47	2.834538e-17	1.252051e-42
X48	5.812364e-14	2.567394e-39
X68	3.399020e-16	1.501390e-41
X73	4.014120e-11	1.773087e-36
X78	0.000000e+00	0.000000e+00
X79	9.077567e-126	4.009675e-151
X111	0.000000e+00	0.000000e+00
X8	2.097279e+04	9.263942e-22
X9	2.657974e-01	1.174060e-26
X10	2.398342e-04	1.059378e-29
X57	8.478609e-04	3.745108e-29
X11	1.305325e+12	5.765786e-14
X12	9.130355e+05	4.032992e-20
X13	2.215025e+04	9.784044e-22
X14	2.153467e+01	9.512132e-25
X15	1.340584e-09	5.921526e-35
X16	4.582537e+04	2.024164e-21
X17	6.836907e+04	3.019947e-21
X18	4.849219e+04	2.141961e-21
X70	5.788430e+03	2.556822e-22
X37	8.224494e+02	3.632862e-23
X38	8.340974e-04	3.684313e-29
X39	7.096108e-07	3.134440e-32
X72	7.372082e+00	3.256341e-25
X65	9.552944e+00	4.219655e-25
X66	4.173889e+00	1.843659e-25
X109	1.612630e-04	7.123187e-30
X67	5.444004e-16	2.404685e-41
X110	9.169520e-14	4.050292e-39
X106	1.996867e-52	8.820412e-78
X107	3.106862e-20	1.372340e-45
X108	3.493670e-20	1.543198e-45
X49	6.285568e-27	2.776414e-52
X50	6.180648e-38	2.730069e-63
X51	0.000000e+00	0.000000e+00
X69	0.000000e+00	0.000000e+00
