Type	Std	Rate
R11	6.432962e-50	7.018628e-51	1.128511e-51	1.425931e-52	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.681149e-92	1.009484e-44	2.930334e-43	7.994870e-42	2.175046e-40	5.194665e-39	9.567416e-38	1.255056e-36	1.206324e-35	7.940118e-35	3.278193e-34	7.819249e-34	1.124751e-33	1.174232e-33	9.310177e-34	6.084896e-34	3.467141e-34	1.642292e-34	6.938973e-35	2.591308e-35	8.781343e-36	3.048252e-36	1.120869e-36	8.773891e-37	1.977484e-35	3.279754e-34	4.422171e-32	4.292095e-30	5.193620e-28	7.767668e-31	2.787698e-37	5.026340e-42	
R12	4.946248e-45	1.190161e-45	2.677870e-46	4.653057e-47	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.573816e-85	4.198131e-38	5.633807e-37	7.689748e-36	1.125356e-34	1.600978e-33	2.068266e-32	2.271074e-31	2.123513e-30	1.548514e-29	7.894990e-29	2.471802e-28	4.730219e-28	6.444035e-28	6.617007e-28	5.598849e-28	4.117892e-28	2.563942e-28	1.432660e-28	7.182631e-29	3.315763e-29	1.537951e-29	7.381670e-30	7.456894e-30	1.479323e-28	6.457986e-28	4.418802e-27	2.261456e-26	1.013782e-25	7.970011e-28	1.234142e-31	1.519129e-34	
R13	1.937596e-37	2.101721e-38	3.193416e-39	3.858272e-40	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.489661e-81	1.933875e-33	2.093438e-32	2.143223e-31	2.102878e-30	1.817775e-29	1.312342e-28	7.863319e-28	4.028960e-27	1.643721e-26	4.655899e-26	8.055320e-26	8.456057e-26	6.473562e-26	3.943325e-26	2.009031e-26	9.207850e-27	3.688581e-27	1.366525e-27	4.628421e-28	1.458461e-28	4.634976e-29	1.509899e-29	1.011547e-29	1.261745e-28	3.178867e-28	1.141285e-27	3.038029e-27	2.051547e-26	1.484480e-28	6.939716e-33	1.122143e-35	
R14	6.756384e-37	1.403516e-37	2.635053e-38	3.755664e-39	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.504671e-80	1.635917e-32	1.699173e-31	1.667176e-30	1.564081e-29	1.286137e-28	8.873176e-28	5.081019e-27	2.475040e-26	9.527459e-26	2.519036e-25	3.995969e-25	3.801193e-25	2.600207e-25	1.429255e-25	6.647959e-26	2.839098e-26	1.125246e-26	4.493680e-27	1.905821e-27	9.254154e-28	5.565844e-28	4.088731e-28	7.091181e-28	2.621998e-26	2.349639e-25	3.685533e-24	4.831813e-23	6.272808e-22	1.691962e-23	8.259951e-27	6.530537e-29	
R15	6.992019e-52	2.810423e-53	1.130723e-54	1.383739e-56	1.451485e-68	2.077476e-75	5.709485e-72	9.212338e-85	3.122374e-85	2.233537e-75	4.217766e-76	8.154888e-74	2.931198e-61	9.229904e-60	2.439713e-58	8.547934e-57	3.436203e-55	1.014360e-53	1.938495e-52	2.618727e-51	2.154418e-50	1.040058e-49	3.046547e-49	5.202394e-49	6.456667e-49	5.018116e-49	2.596882e-49	1.029727e-49	2.534201e-50	4.679493e-51	5.831337e-52	4.825166e-53	3.771464e-54	2.940284e-55	4.529896e-56	2.997265e-55	2.363954e-54	1.646725e-52	9.309039e-51	6.592403e-49	2.250436e-51	3.123014e-57	4.972602e-62	
R16	9.790296e-33	3.049026e-33	7.174943e-34	6.712973e-35	7.757725e-46	2.395497e-51	5.878990e-46	9.492091e-57	8.471228e-57	2.882587e-47	1.319783e-48	3.747811e-47	2.165898e-35	1.366727e-34	8.630386e-34	6.509615e-33	5.356403e-32	4.195082e-31	2.880138e-30	1.749861e-29	8.550301e-29	3.127254e-28	7.956520e-28	1.366117e-27	1.785316e-27	1.759110e-27	1.398598e-27	9.552949e-28	5.254272e-28	2.507893e-28	1.012242e-28	3.496857e-29	1.177431e-29	4.002770e-30	2.808743e-30	4.223951e-29	1.581256e-28	9.900242e-28	4.947568e-27	2.125403e-26	7.042539e-28	8.863573e-31	2.024633e-33	
R17	1.749453e-29	3.669137e-30	7.861538e-31	6.868123e-32	6.587313e-43	1.391357e-48	1.853941e-43	8.877283e-55	1.032047e-54	6.877120e-45	6.612035e-46	3.986118e-44	4.392895e-32	4.599784e-31	4.174860e-30	4.033643e-29	3.960586e-28	3.529383e-27	2.776485e-26	1.995724e-25	1.147538e-24	4.307965e-24	8.744226e-24	9.800898e-24	7.999677e-24	5.058315e-24	2.657598e-24	1.266579e-24	5.051209e-25	1.840270e-25	5.894312e-26	1.669936e-26	4.921263e-27	1.560344e-27	1.069094e-27	1.542608e-25	4.211155e-24	5.104524e-22	4.941624e-20	6.421012e-18	1.487764e-18	2.871220e-21	4.149859e-23	
R18	5.668192e-51	2.296325e-48	3.305140e-62	6.307305e-64	6.012469e-56	6.910423e-49	6.099778e-49	2.253257e-50	8.092142e-51	5.066221e-41	1.713076e-44	3.579223e-43	2.995437e-40	1.487916e-41	2.186624e-41	8.336606e-40	2.839122e-38	2.974210e-37	2.790395e-36	2.455769e-35	1.477362e-34	5.729790e-34	1.343408e-33	1.931257e-33	2.064902e-33	1.637874e-33	1.032744e-33	5.578751e-34	2.362301e-34	8.559238e-35	2.544791e-35	6.216049e-36	1.457163e-36	3.327427e-37	7.716724e-38	2.343467e-36	2.868277e-35	3.088049e-33	2.713636e-31	2.821242e-29	4.089041e-31	2.149398e-36	6.679152e-41	
R19	2.038341e-46	1.087365e-46	3.217831e-58	3.498691e-61	3.644863e-60	3.984615e-61	1.027894e-51	3.094031e-64	3.537819e-68	8.826888e-56	8.101312e-57	1.289258e-55	4.189315e-54	1.118857e-52	2.577596e-51	7.068402e-50	2.008848e-48	3.949785e-47	5.134512e-46	5.026538e-45	3.348803e-44	1.410489e-43	3.718545e-43	5.910021e-43	6.933374e-43	5.377862e-43	2.933015e-43	1.267636e-43	3.640982e-44	8.139869e-45	1.293783e-45	1.436107e-46	1.483258e-47	1.462261e-48	1.408186e-49	1.835470e-48	1.287361e-47	1.002057e-45	6.257323e-44	5.365084e-42	4.570804e-44	1.298057e-49	2.600108e-54	
R20	3.549444e-27	7.749955e-27	9.215059e-38	5.066756e-40	3.214104e-38	3.104963e-38	2.017738e-27	1.045076e-38	3.607002e-42	9.292505e-30	5.206590e-31	3.319219e-30	4.125698e-29	4.389816e-28	4.070212e-27	3.742175e-26	3.256393e-25	2.369635e-24	1.511625e-23	9.230427e-23	4.882405e-22	1.766066e-21	3.507189e-21	3.870847e-21	3.117892e-21	1.975978e-21	1.057168e-21	5.181875e-22	2.166494e-22	8.337566e-23	2.842748e-23	8.564111e-24	2.608789e-24	8.098882e-25	2.647223e-25	6.129359e-23	1.308938e-21	1.564852e-19	1.494190e-17	2.109014e-15	1.065098e-15	3.567533e-18	5.497507e-20	
R21	9.413217e-39	2.019530e-38	2.604941e-49	4.917752e-54	1.049545e-56	6.777122e-50	3.996368e-39	1.169175e-51	8.935954e-54	1.408365e-41	9.686137e-43	8.221607e-42	1.580033e-40	3.061656e-39	5.984386e-38	1.264591e-36	2.519874e-35	3.720943e-34	3.693120e-33	2.611603e-32	1.242462e-31	3.817280e-31	7.452490e-31	9.571880e-31	9.499114e-31	7.243048e-31	4.513853e-31	2.443089e-31	1.061972e-31	4.005121e-32	1.265417e-32	3.364658e-33	8.660794e-34	2.190474e-34	5.666597e-35	1.558626e-33	1.743378e-32	2.132656e-30	2.001307e-28	2.553595e-26	3.255392e-28	1.601472e-33	5.721254e-38	
