# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R319	2.361540e-08
R320	7.951089e-15
R321	1.315229e-15
R322	1.101961e-06
R323	1.711211e-07
R324	1.224401e-07
R325	1.618624e-10
R326	6.489017e-09
R327	1.257819e-22
R328	6.409665e-17
R329	1.313855e-26
R330	3.530306e-27
R331	8.542971e-05
R332	1.584564e-04
R333	9.255893e-14
R334	6.325864e-11
R335	2.604528e-05
R336	7.166803e-06
R337	2.315021e-06
R338	2.957610e-10
R339	8.895068e-10
R340	5.559417e-09
R341	3.046561e-09
R342	3.113274e-09
R346	5.946130e-03
R347	3.862849e-01
R348	1.242430e+01
R350	2.387238e-17
R351	3.002198e-17
R352	1.268424e-17
R353	6.213052e-09
R354	3.939238e-01
R355	5.556752e-12
R356	1.219868e-14
R357	5.499333e-11
R358	1.223776e-05
R359	6.587880e-06
R360	2.640059e-09
R361	3.965520e-09
R362	1.058566e-14
R363	7.119262e-11
R364	3.450393e-02
R365	8.244302e-03
R366	1.398036e-05
R367	1.609295e-24
R368	4.569465e-02
R369	6.744597e-02
R370	1.074210e-02
R371	1.551087e-20
R372	1.348905e-21
R373	9.865412e-22
R374	6.730920e-18
R375	5.335486e-19
R376	4.920712e-15
R377	9.366815e-06
R378	2.634410e-09
R379	1.224664e-11
R380	8.185699e-09
R381	3.274768e-05
R382	1.024549e-07
R383	8.537912e-08
R384	6.648211e-06
R385	3.686073e-08
R387	4.309574e-19
R389	2.400005e-04
R390	6.919344e-04
R391	7.314774e-02
R392	6.958865e-18
R393	2.112579e-02
R394	2.112579e-02
R395	2.848842e-02
R396	8.677046e+01
R397	4.596572e-01
R398	2.211099e+02
R399	1.239578e+01
R400	1.941113e+02
R401	2.252341e+03
R402	8.546401e+03
R403	8.804858e+03
R404	8.546401e+02
R405	1.767592e+03
R406	6.149582e+01
R407	1.286109e-02
R408	1.751502e+04
R409	6.126367e+02
R411	1.021061e+04
R412	6.211455e+03
R413	4.984580e+07
R414	1.248534e+04
R415	6.336221e+07
R416	2.588799e+07
R417	1.530544e-06
R418	8.470168e-07
R419	1.840834e+06
R420	6.574405e+05
R421	5.487394e-11
R422	1.143352e+08
R423	9.321973e+05
R424	9.746205e+05
R425	6.338976e+04
R426	3.020146e+08
R427	3.020146e+08
R428	6.082907e+09
R429	2.114026e-33
R430	1.585060e-04
R431	8.082455e-09
R432	3.400885e-14
R433	1.376348e+08
R434	2.720526e+07
R435	3.121275e-08
R436	1.337689e-08
R437	1.733221e-14
R438	4.814895e-12
R439	1.907408e+01
R440	1.507472e-04
R441	1.381959e+12
R443	2.014884e+00
R444	1.454251e+08
R445	6.627708e+11
R446	2.716442e-31
R447	2.226797e-07
R448	3.886830e-02
R449	3.183580e+03
R450	1.199149e+04
R451	7.958950e+02
R452	2.917404e+00
R453	1.361455e+01
R454	7.967394e+11
R455	1.297551e+06
R456	1.863564e+08
R457	1.925285e-10
R458	2.001800e+12
R459	5.456194e-01
R460	8.543717e-01
R461	6.619463e-15
R462	3.380580e-05
R463	1.530103e-07
R464	1.281469e+07
R465	2.764510e+03
R466	2.764510e+03
R467	2.580814e-42
R468	3.042531e-05
R469	2.407691e-01
R470	5.374699e+04
R471	3.705096e+01
R472	1.518459e+00
R473	4.632493e-52
R474	1.482684e-48
R475	3.613921e-41
R477	1.578396e-07
R478	1.578396e-07
R479	2.085786e-12
R480	6.782773e-12
R481	3.961536e-02
R482	3.769632e-05
R483	2.143319e+04
R485	1.913002e-02
R486	1.913002e-02
R487	3.646082e+03
R488	6.198572e-02
R489	2.925614e+05
R490	6.084869e+03
R491	1.333325e+05
R492	4.743255e-02
R493	1.562623e+10
R494	1.463107e-05
R495	7.461354e-04
R496	1.262508e+06
R498	2.441673e-05
R499	2.389869e+06
R500	2.105104e+08
R501	5.100424e+09
R502	5.724741e+08
R503	1.288113e+08
R504	3.312938e+09
R505	1.640060e+11
R506	4.411981e-12
R507	1.871390e-14
R509	2.328349e-13
R512	5.226273e+11
R513	5.489939e+10
R515	3.824877e-12
R516	5.140871e-09
R517	4.652941e-08
R519	2.645652e+01
R520	2.454209e+01
R521	2.756355e+00
R522	5.813065e+11
R523	2.748530e-06
R524	2.927017e-02
R525	9.367508e+06
R526	2.736698e+09
R527	0.000000e+00
R528	0.000000e+00
R533	0.000000e+00
R534	0.000000e+00
R535	0.000000e+00
R536	0.000000e+00
R537	0.000000e+00
R538	0.000000e+00
R540	2.383889e-50
R541	0.000000e+00
R542	6.327597e-67
R543	0.000000e+00
R544	0.000000e+00
R545	0.000000e+00
R546	1.332144e-39
R547	7.170066e-32
