Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       188.78158    0.0022059720
       188.85823      0.61944108
       188.87110    0.0021702012
       188.91939    0.0021527817
       189.17656    0.0020979735
       189.27656       46.633713
       189.34682     0.010648784
       190.00000    0.0020999067
       191.55870    0.0031550046
       191.58329    0.0019624563
       191.60652      0.22871782
       191.63112    0.0019728770
       191.64908    0.0019929665
       191.65092    0.0019938845
       191.67410    0.0020253496
       191.67998    0.0020332932
       191.69923    0.0020868921
       191.70199    0.0020994232
       191.72702    0.0021374699
       191.74801    0.0021958365
       191.74812    0.0021963422
       192.13802       7.0404432
       192.14173       2.6284517
       192.16287    0.0025433141
       192.18613    0.0023834168
       192.20032      0.85901352
       192.23135     0.058076442
       192.24173    0.0021687026
       192.25464    0.0019462562
       192.82294    0.0016099041
       192.91348       1.6447504
       193.01348       64.461440
       193.03139    0.0016050923
       193.12812       5.8505945
       193.13139       6.4091436
       193.22812    0.0016338042
       193.33668       11.770638
       193.43668    0.0016931678
       193.68038       1.6691678
       193.78038    0.0021592354
       193.80446    0.0022745736
       194.00000     0.018840829
       194.03724    0.0053456436
       194.12199     0.033419504
       194.31901    0.0055847019
       194.63822      0.38141696
       195.52854      0.49739338
       195.53050      0.49340097
       195.56377      0.21095994
       195.63050    0.0025304630
       195.66377    0.0027390503
       195.83946    0.0088247010
       195.85964     0.013520726
       195.93946      0.11827692
       196.00610      0.10801896
       196.00779     0.097476516
       197.22781       8.5940920
       197.26049      0.36391504
       197.26715      0.16764863
       197.36049       207.49135
       197.36715       167.88040
       198.00000    0.0014236394
       198.32518       2.1717008
       200.91904    0.0017668513
       200.92623    0.0017226617
       200.93185    0.0016822867
       200.96616    0.0017725561
       200.99391    0.0022845465
       201.01880     0.016417234
       201.02070     0.040049768
       201.02623      0.59347168
       201.03185       3.6762074
       201.07337    0.0029840081
       201.09375       2.2320299
       202.00000    0.0015434764
       202.14849     0.076067650
       202.18247       2.4434306
       202.25864    0.0015083426
       202.35864       5.4890856
       202.49177    0.0018293635
       202.70836    0.0013212956
       202.71887    0.0013332144
       202.76077    0.0014358200
       203.05354      0.67050188
       203.28191    0.0014384673
       203.32404    0.0013561259
       205.83683    0.0015685559
       205.93912    0.0057703214
       205.96588     0.064848510
       206.00000    0.0024333243
       206.00046    0.0023566767
       206.02644    0.0020715718
       206.02699    0.0020763473
       206.56716    0.0030429863
       206.63258      0.73113908
       206.63360      0.82985077
       206.66716     0.079542640
       206.87292    0.0027618494
       207.29590    0.0026822546
       207.45930     0.052287756
       207.88469    0.0038530088
       207.99568     0.017619760
       209.40606    0.0034490540
       209.46922    0.0034889922
       210.00000    0.0043112182
       211.40340    0.0068596191
       212.35083    0.0097543874
       212.41177     0.087538681
       212.41394      0.15816122
       212.41570      0.23420707
       212.41804      0.34260997
       212.97499     0.012305521
       213.05667     0.012770268
       213.06298     0.012782035
       214.00000     0.018693904
       214.23000     0.025153591
       214.23750     0.022935066
       214.24388     0.022192182
       214.27468     0.021232445
       214.28106     0.021222669
       214.58679     0.023735588
       214.85890       6.6973038
       214.86958       12.229255
       215.04552       1207.8138
       215.07903      0.12702816
       215.21779     0.030967062
       215.22442     0.031067049
       215.33617     0.060869537
       215.48141     0.034769624
       215.66044     0.038220820
       215.67922      0.27906155
       216.11769     0.047271567
       216.94044      0.20701413
       217.04044       1.1171204
       217.28307      0.18552396
       217.38307      0.12248982
       217.51695      0.19002030
       217.54670      0.10524464
       217.61695      0.15014124
       217.64670       2.0902585
       217.92832     0.099815963
       218.00000      0.44309821
       218.02832      0.10192952
       218.20962       1.7717400
       218.30962       1.1641260
       218.41489      0.11686918
       218.51489      0.12699891
       218.92657      0.14325177
       218.99236      0.14652104
       219.02657      0.14859356
       219.06875      0.15121678
       219.09236      0.15272144
       219.16875      0.23035625
       219.29971      0.16657123
       219.34530      0.16982437
       219.39718      0.17366008
       219.39971      0.17382010
       219.44530      0.18871221
       219.49112      0.29147412
       219.49647      0.30248232
       219.49718      0.30556246
       219.59112      0.21983660
       219.59647      0.35571322
       219.81230      0.82356902
       219.87363       1.9076557
       219.88035       2.1256903
       219.89099      0.24740017
       219.91230       2.8444611
       219.99589      0.22371752
       220.09589       341.97944
       220.27999      0.25275514
       220.36953       1.4210194
       220.46953       1.4750271
       220.60528      0.29100470
       220.70528      0.30380856
       222.00000      0.53653740
       222.10350      0.56195301
       222.20350      0.58748935
       222.45327       1.3753081
       222.48929      0.70925107
       222.55114      0.73097075
       222.55327      0.72510350
       222.58929      0.79670951
       222.62597      0.71252482
       222.65114      0.72160577
       222.72597      0.84352897
       222.75848      0.75980124
       222.76537      0.76260562
       222.77535      0.76102689
       222.78225      0.74593331
       222.78518      0.74028679
       222.78870      0.74319024
       223.51649       1.1660039
       223.61649       1.2217997
       223.73131       1.2433689
       223.73827       1.1792340
       223.84094       1.5146071
       225.10821       3.1332857
       225.13715       2.2646443
       225.14019       2.2682974
       225.17443       2.3078097
       225.20915       2.3762931
       225.21016       2.3850638
       225.21320       2.4204716
       225.27443       2.4344452
       225.29591       2.4479357
       225.29802       2.4496272
       225.39802       2.6007583
       225.45903       2.8353064
       225.55903       2.7714050
       225.58981       2.8131961
       225.64747       2.8926774
       225.68981       3.4363706
       225.74587       3.5505857
       225.74747       3.4609873
       225.84587       3.1827315
       226.00000       3.4284672
       226.03374       3.2092238
       226.14433       3.6812897
       226.24433       4.0299532
       226.53156       4.4606690
       226.63156       4.6892134
       226.82954       5.1808379
       226.92954       5.4500439
       227.22402       6.3372377
       227.32402       9.6983979
       227.37740       6.8533041
       227.47740       7.2177195
       227.57700       7.5997621
       227.63025       7.8306894
       227.67700       9.2405964
       227.73025       8.2337941
       227.73771       8.2660875
       227.83771       8.7760684
       228.05792    0.0011773349
       228.15792    0.0014534497
       228.65871    0.0015584756
       228.75871    0.0019669803
       228.82641   0.00099288740
       228.87441    0.0066038926
       228.88568    0.0013176498
       228.97441    0.0022777182
       228.98684      0.15279178
       229.04908    0.0056053147
       229.14908    0.0021130024
       229.26647     0.012240524
       229.36647    0.0032136605
       229.75636       3.1702974
       229.85636    0.0021271592
       229.87026    0.0017607593
       229.99287    0.0022371752
       230.00000    0.0020970076
       230.09287       2.0878534
       230.15010       2.1433841
       230.35562     0.097881361
       230.45562    0.0035834389
       230.45636    0.0035018698
       230.55636    0.0032501245
       230.57730    0.0027912581
       230.59449    0.0022423324
       230.67730    0.0039273536
       230.67912    0.0050257398
       230.69671       1.1686918
       230.75844    0.0029491713
       231.03092     0.036584742
       231.07010      0.25585859
       231.10049       258.82129
       231.13969     0.065735504
       231.20019     0.015342637
       231.23879     0.010282530
       231.29933    0.0068438424
       231.46524       4.4637514
       231.73360    0.0071350989
       232.10672    0.0093842593
       232.14072     0.010519619
       232.21834    0.0042874592
       232.59545       3.3427200
       233.29297     0.012410806
       233.31558    0.0045373262
       233.39297    0.0048741625
       233.41558    0.0049158656
       233.45074    0.0051617861
       233.46627    0.0048887744
       233.49620    0.0051641637
       233.52177     0.011360567
       233.53731    0.0050968283
       233.56219     0.012737963
       233.59732     0.059060892
       233.62292     0.043361071
       234.00000    0.0086976114
       234.12092    0.0051772603
       234.13720    0.0067019317
       234.14447    0.0061972640
       234.17180     0.010784500
       234.19988    0.0048707967
       234.20257    0.0062646960
       234.24447    0.0055042734
       234.25079    0.0070745692
       234.26440    0.0080537844
       234.35856       3.5091344
       235.03151    0.0093799387
       235.13151       2.6454527
       235.24300    0.0090053376
       235.34300      0.90844785
       235.42997      0.13530069
       235.52997     0.010392021
       236.06798       1.5977175
       236.41132     0.013356725
       236.51132     0.013436928
       237.34229       3.6475395
       237.40249    0.0043401026
       237.50249    0.0021193369
       238.00000    0.0022253586
